x,y,v'v',vrms
-3.397784881288E-1,6.003867458976E-1,0.2,0.4472
-2.659481253454E-1,5.997158323605E-1,0.4,0.6325
-2.219640794319E-1,5.997855376631E-1,0.6,0.7746
-1.630568750834E-1,5.998788929790E-1,0.8,0.8944
-1.198582585612E-1,5.999473535440E-1,1.0,1.0000
-7.508878325642E-2,6.000183035841E-1,1.2,1.0954
5.450706631015E-2,6.002236852792E-1,1.2,1.0954
8.985138891921E-2,6.002796984687E-1,1.0,1.0000
1.141997000499E-1,6.003182853326E-1,0.8,0.8944
1.848883452680E-1,6.004303117117E-1,0.6,0.7746
2.327995306477E-1,5.997183218238E-1,0.4,0.6325
3.404033572575E-1,5.998888508675E-1,0.2,0.4472
