x,y,u'u',urms
-4.164193484708E-1,6.001307723420E-1,0.1,0.3162
-3.514654472663E-1,6.001307723420E-1,0.15,0.3873
-2.739398232480E-1,6.001307723420E-1,0.2,0.4472
-2.180693792722E-2,6.001307723420E-1,0.2,0.4472
1.241647538360E-1,6.001307723420E-1,0.2,0.4472
2.072778102160E-1,6.001307723420E-1,0.2,0.4472
3.099468798618E-1,6.001307723420E-1,0.15,0.3873
3.860756457897E-1,6.001307723420E-1,0.1,0.3162
