x,y,v
-3.901453957997E-1,1.992137507081E-1,0
-3.470841546685E-1,2.004256941917E-1,0.2
-3.152174520605E-1,2.003222308715E-1,0.4
-2.875996431336E-1,2.002325626607E-1,0.6
-2.631685044675E-1,2.001532407820E-1,0.8
-2.397995892217E-1,2.000773676805E-1,1.0
-2.111195568745E-1,1.999842506924E-1,1.2
-1.707550669044E-1,1.998531971535E-1,1.4
-6.665717171847E-2,1.995152169743E-1,1.6
4.275184056884E-2,2.002273894947E-1,1.6
1.638453104791E-1,1.998342288781E-1,1.4
2.169564814923E-1,1.996617900112E-1,1.2
2.466987372597E-1,1.995652242457E-1,1.0
2.742874150654E-1,2.002010366026E-1,0.8
3.023991877854E-1,2.001097646132E-1,0.6
3.305109605053E-1,2.000184926239E-1,0.4
3.634418942630E-1,1.999115740078E-1,0.2
4.132398916526E-1,1.997498921981E-1,0
