x,y,Yvar,Yrms
-2.928502819234E-1,2.004356479449E-1,0.002,0.0447
-2.408208605008E-1,2.004356479449E-1,0.004,0.0632
-1.897731262748E-1,1.999440662359E-1,0.006,0.0775
-1.225275533040E-1,2.004356479449E-1,0.008,0.0894
-5.184607514499E-2,1.999440662359E-1,0.010,0.1000
-1.306943087719E-2,1.999440662359E-1,0.012,0.1095
-5.215933303958E-3,1.999440662359E-1,0.012,0.1095
6.595635849469E-2,1.999440662359E-1,0.014,0.1183
1.420371162353E-1,1.999440662359E-1,0.014,0.1183
1.675609833483E-1,1.999440662359E-1,0.012,0.1095
2.087918456078E-1,1.999440662359E-1,0.010,0.1000
2.524769258588E-1,1.999440662359E-1,0.008,0.0894
2.937077881183E-1,2.004356479449E-1,0.006,0.0775
3.280668400011E-1,2.004356479449E-1,0.004,0.0632
3.634075790807E-1,2.004356479449E-1,0.002,0.0447
