x,y,u
-3.894042082207E-1,1.998629298110E-1,0.2
-2.966775497168E-1,1.997136115204E-1,0.3
-2.197565716397E-1,1.995897452111E-1,0.4
-1.618024100748E-1,2.005552237041E-1,0.4
-1.043981670387E-1,1.999998998576E-1,0.3
-6.704544146116E-2,1.999397505411E-1,0.2
-3.812720230437E-2,2.004985570948E-1,0.1
-1.463113298949E-2,1.998553474679E-1,0.0
1.067232627270E-2,2.004199749232E-1,-0.1
3.115607900875E-2,2.003869898141E-1,-0.2
6.007431816553E-2,1.997350488348E-1,-0.3
1.052590668480E-1,1.996622875647E-1,-0.4
2.546699323866E-1,2.000270641243E-1,-0.4
3.125064107002E-1,1.999339296987E-1,-0.3
3.872118618552E-1,2.004190048322E-1,-0.2
