x,y,Yvar,Yrms
-2.884326895384E-1,4.000178217992E-1,0.002,0.0447
-2.025350598313E-1,4.000178217992E-1,0.004,0.0632
-7.884247305296E-2,4.000178217992E-1,0.006,0.0775
1.098190544082E-2,3.995262400902E-1,0.008,0.0894
9.933375313962E-2,3.995262400902E-1,0.008,0.0894
1.601983293734E-1,4.000178217992E-1,0.006,0.0775
2.298981203358E-1,4.000178217992E-1,0.004,0.0632
3.300302143944E-1,4.000178217992E-1,0.002,0.0447
