x,y,v
-4.903653279022E-1,6.003955702283E-1,0
-3.940077158935E-1,6.000827208386E-1,0.2
-3.573918233301E-1,5.999638380706E-1,0.4
-3.255938113672E-1,5.998605977720E-1,0.6
-2.995772561249E-1,5.997761284368E-1,0.8
-2.764514292427E-1,5.997010445833E-1,1.0
-2.562163307209E-1,5.996353462114E-1,1.2
-2.350176560790E-1,5.995665193457E-1,1.4
-2.118918291969E-1,6.004597043531E-1,1.6
-1.945474590353E-1,6.004033914630E-1,1.8
-1.743123605134E-1,6.003376930912E-1,2.0
-1.531136858715E-1,6.002688662254E-1,2.2
-1.309514351095E-1,6.001969108658E-1,2.4
-1.087891843475E-1,6.001249555062E-1,2.6
-7.891832462476E-2,6.000279721954E-1,2.8
-2.977594250028E-2,5.998684190067E-1,3.0
3.671080766073E-2,5.996525677094E-1,3.0
7.525385246424E-2,5.995274279535E-1,2.8
1.022339838267E-1,6.004080989853E-1,2.6
1.243962345887E-1,6.003361436257E-1,2.4
1.455949092306E-1,6.002673167600E-1,2.2
1.658300077525E-1,6.002016183882E-1,2.0
1.870286823944E-1,6.001327915225E-1,1.8
2.072637809163E-1,6.000670931506E-1,1.6
2.274988794381E-1,6.000013947788E-1,1.4
2.467704018399E-1,5.999388249009E-1,1.2
2.718233809621E-1,5.998574840596E-1,1.0
2.988035123246E-1,5.997698862305E-1,0.8
3.296379481674E-1,5.996697744258E-1,0.6
3.652902646107E-1,5.995540201516E-1,0.4
4.105783422548E-1,6.003752497994E-1,0.2
