x,y,v'v',vrms
-3.179435936045E-1,4.004561336506E-1,0.2,0.4472
-2.479526897888E-1,4.003425120535E-1,0.4,0.6325
-1.699168545000E-1,4.002158305027E-1,0.6,0.7746
-1.007304438316E-1,4.001035149009E-1,0.8,0.8944
5.373224045137E-2,3.998527637901E-1,0.8,0.8944
1.526848975701E-1,4.004992314977E-1,0.6,0.7746
2.146308699128E-1,4.003986698543E-1,0.4,0.6325
3.385228391492E-1,4.001975465276E-1,0.2,0.4472
