x,y,v'v',vrms
-3.461008537602E-1,5.998568125856E-1,0.2,0.4472
-2.672605253241E-1,5.997288250394E-1,0.4,0.6325
-2.133594844546E-1,5.996413233497E-1,0.6,0.7746
-1.562404709958E-1,6.003557028165E-1,0.8,0.8944
-1.087753753046E-1,6.002786490898E-1,1.0,1.0000
6.419065136636E-2,5.999978600854E-1,1.0,1.0000
1.237231688183E-1,5.999012163883E-1,0.8,0.8944
1.864736343082E-1,5.997993487495E-1,0.6,0.7746
2.435926477670E-1,5.997066230783E-1,0.4,0.6325
3.465677706223E-1,6.003465608091E-1,0.2,0.4472
