x,y,v
-3.922061719696E-1,1.997832779437E-1,0
-3.503137975830E-1,1.997165703412E-1,0.2
-3.123722753536E-1,2.004478367009E-1,0.4
-2.815458111824E-1,2.003987499746E-1,0.6
-2.570427242770E-1,2.003597323202E-1,0.8
-2.341217403222E-1,1.995315511417E-1,1.0
-2.056652839916E-1,2.002779211096E-1,1.2
-1.487548885986E-1,2.001872994609E-1,1.4
1.160365427969E-1,1.997656570542E-1,1.4
2.029842388370E-1,2.004188881054E-1,1.2
2.377628137994E-1,2.003635082089E-1,1.0
2.709605444454E-1,2.003106455805E-1,0.8
3.017870086166E-1,2.002615588541E-1,0.6
3.286613619967E-1,2.002187652978E-1,0.4
3.634399369591E-1,2.001633854013E-1,0.2
4.243024431433E-1,2.000664705826E-1,0
