x,y,u'u',urms
-4.113898730573E-1,5.995747491437E-1,0.1,0.3162
-3.592949830578E-1,6.001035847735E-1,0.15,0.3873
-2.832484194953E-1,5.999978176476E-1,0.2,0.4472
-3.115706395331E-2,6.002484940763E-1,0.2,0.4472
3.083579088021E-1,6.003775799387E-1,0.15,0.3873
3.945839336289E-1,6.002576550085E-1,0.1,0.3162
