x,y,v
-3.907801395979E-1,5.995808435546E-1,0.2
-3.465152401026E-1,6.003020408423E-1,0.4
-3.141079316149E-1,6.002504368478E-1,0.6
-2.888144225513E-1,6.002101605595E-1,0.8
-2.658921799625E-1,6.001736601732E-1,1.0
-2.461316260065E-1,6.001421943230E-1,1.2
-2.239985469419E-1,6.008986333630E-1,1.4
-2.002871408288E-1,6.000691935504E-1,1.6
-1.797361647146E-1,6.000364690662E-1,1.8
-1.583947664422E-1,6.000024859479E-1,2.0
-1.323108352204E-1,5.999609510256E-1,2.2
-1.062269039986E-1,5.999194161032E-1,2.4
-7.777170630205E-2,5.998741052789E-1,2.6
-4.220271285619E-2,5.998174667543E-1,2.8
8.384305270978E-3,5.997369141776E-1,3.0
4.711499102459E-2,5.996752411112E-1,3.0
9.137989051987E-2,6.003964383989E-1,2.8
1.135117230114E-1,6.003611966274E-1,2.6
1.364327069663E-1,5.995330154488E-1,2.4
1.561932609222E-1,5.995015495986E-1,2.2
1.791167621451E-1,6.002567300045E-1,2.0
2.012485825757E-1,6.002214882523E-1,1.8
2.241708251646E-1,6.001849878660E-1,1.6
2.447218012787E-1,6.001522633817E-1,1.4
2.676440438676E-1,6.001157629954E-1,1.2
2.945183972477E-1,6.000729694391E-1,1.0
3.213927506277E-1,6.000301758828E-1,0.8
3.585425920649E-1,5.999710200843E-1,0.6
3.964828556602E-1,5.999106056518E-1,0.4
4.565549396862E-1,5.998149494671E-1,0.2
