x,y,v
-4.261808094276E-1,3.997442582876E-1,0
-3.688066178534E-1,3.995579784448E-1,0.2
-3.336171136880E-1,4.002124416257E-1,0.4
-3.053125125114E-1,4.001205435700E-1,0.6
-2.808328574397E-1,4.000410641704E-1,0.8
-2.586481700310E-1,3.999690359645E-1,1.0
-2.395234395063E-1,3.999069426836E-1,1.2
-2.188687305396E-1,3.998398819402E-1,1.4
-1.974490323519E-1,3.997703374656E-1,1.6
-1.767943233852E-1,3.997032767222E-1,1.8
-1.538446467555E-1,4.003974796029E-1,2.0
-1.263050347999E-1,4.003080652784E-1,2.2
-1.002954012863E-1,4.002236184163E-1,2.4
-6.051596179489E-2,4.000944643920E-1,2.6
6.647223721648E-2,4.004508798624E-1,2.6
9.707180605604E-2,4.003515306129E-1,2.4
1.230814395697E-1,4.002670837508E-1,2.2
1.483260838623E-1,4.001851206200E-1,2.0
1.705107712710E-1,4.001130924142E-1,1.8
1.934604479006E-1,4.000385804770E-1,1.6
2.148801460883E-1,3.999690360024E-1,1.4
2.362998442760E-1,3.998994915278E-1,1.2
2.584845316847E-1,3.998274633219E-1,1.0
2.837291759773E-1,3.997455001911E-1,0.8
3.158587232589E-1,4.004098982970E-1,0.6
3.487532597614E-1,4.003030978538E-1,0.4
3.870027208109E-1,4.001789112919E-1,0.2
4.788014273295E-1,3.998808635435E-1,0
