x,y,v'v',vrms
-3.162156063894E-1,3.995047770910E-1,0.2,0.4472
-2.510249669104E-1,3.996080903073E-1,0.4,0.6325
-1.622714456921E-1,3.997487456500E-1,0.6,0.7746
-1.120039646481E-1,3.998284088529E-1,0.8,0.8944
1.016328297889E-1,4.001669774653E-1,0.8,0.8944
1.526857327338E-1,4.002478853939E-1,0.6,0.7746
2.084512195170E-1,3.995483428933E-1,0.4,0.6325
3.199821930834E-1,3.997250956247E-1,0.2,0.4472
