x,y,u
-4.137418304615E-1,2.001942742492E-1,0.2
-3.149378466759E-1,2.001942742492E-1,0.3
-2.438471754154E-1,2.001942742492E-1,0.4
-1.588998478924E-1,1.995889004827E-1,0.4
-9.684612636847E-2,1.995889004827E-1,0.3
-5.527615758059E-2,1.995889004827E-1,0.2
-2.274313852921E-2,1.995889004827E-1,0.1
-2.861849108924E-3,2.001942742492E-1,0.0
1.701944031136E-2,2.001942742492E-1,-0.1
3.569580310012E-2,2.001942742492E-1,-0.2
6.642143220420E-2,2.001942742492E-1,-0.3
1.037741577817E-1,2.001942742492E-1,-0.4
1.507663147972E-1,1.995889004827E-1,-0.5
2.483653719513E-1,2.001942742492E-1,-0.5
3.025870703703E-1,2.001942742492E-1,-0.4
3.477718190528E-1,2.001942742492E-1,-0.3
4.363339264704E-1,2.001942742492E-1,-0.2
