x,y,u'u',urms
-3.814978962103E-1,4.000568228545E-1,0.1,0.3162
-3.228298564127E-1,4.000568228545E-1,0.15,0.3873
-7.279225822754E-2,4.000568228545E-1,0.15,0.3873
1.639752094130E-1,4.000568228545E-1,0.15,0.3873
3.085500217714E-1,4.000568228545E-1,0.15,0.3873
3.811866424733E-1,4.000568228545E-1,0.1,0.3162
