x,y,v
-4.148099801155E-1,4.001150429286E-1,0
-3.594804290389E-1,4.000269385479E-1,0.2
-3.239114319183E-1,3.999703000175E-1,0.4
-2.938753899053E-1,3.999224719251E-1,0.6
-2.717435694746E-1,3.998872301728E-1,0.8
-2.488213268858E-1,3.998507297866E-1,1.0
-2.274799286134E-1,3.998167466683E-1,1.2
-2.053481081827E-1,3.997815049160E-1,1.4
-1.832162877521E-1,3.997462631637E-1,1.6
-1.595036230050E-1,3.997085041434E-1,1.8
-1.286771588337E-1,3.996594174170E-1,2.0
-9.943028034495E-2,4.004045287509E-1,2.2
-5.911875027487E-2,4.003403384164E-1,2.4
-1.169341239456E-2,4.002648203625E-1,2.6
6.418711479619E-2,4.001439914975E-1,2.6
9.580400112567E-2,4.000936461371E-1,2.4
1.203070880310E-1,4.000546284828E-1,2.2
1.471814414111E-1,4.000118349265E-1,2.0
1.732653726329E-1,3.999703000041E-1,1.8
1.977684595382E-1,3.999312823498E-1,1.6
2.214811242853E-1,3.998935233295E-1,1.4
2.451937890325E-1,3.998557643092E-1,1.2
2.689064537796E-1,3.998180052889E-1,1.0
2.997329179508E-1,3.997689185626E-1,0.8
3.305593821220E-1,3.997198318362E-1,0.6
3.645475349262E-1,3.996657105737E-1,0.4
4.048603236303E-1,4.003932010315E-1,0.2
