s,m/s
Time,"w"
 8.2122702E-001, 7.6397445E-002
 8.2323983E-001, 7.5803492E-002
 8.2525265E-001, 7.5206113E-002
 8.2726547E-001, 7.4778426E-002
 8.2927828E-001, 7.4654725E-002
 8.3129110E-001, 7.4456276E-002
 8.3330391E-001, 7.3991079E-002
 8.3531673E-001, 7.3888228E-002
 8.3732954E-001, 7.3966134E-002
 8.3934236E-001, 7.4388836E-002
 8.4135518E-001, 7.4742093E-002
 8.4336799E-001, 7.5714124E-002
 8.4538081E-001, 7.7128662E-002
 8.4739362E-001, 7.8315222E-002
 8.4940644E-001, 7.9999279E-002
 8.5141925E-001, 8.2738086E-002
 8.5343207E-001, 8.6357228E-002
 8.5544489E-001, 9.0201419E-002
 8.5745770E-001, 9.4613665E-002
 8.5921859E-001, 9.9179160E-002
 8.6097948E-001, 1.0522024E-001
 8.6274037E-001, 1.1260499E-001
 8.6450126E-001, 1.2078637E-001
 8.6626215E-001, 1.3016887E-001
 8.6802304E-001, 1.3985650E-001
 8.6978393E-001, 1.5137539E-001
 8.7154482E-001, 1.6506530E-001
 8.7330570E-001, 1.8055887E-001
 8.7506659E-001, 1.9772984E-001
 8.7682748E-001, 2.1685555E-001
 8.7837641E-001, 2.3643724E-001
 8.7992535E-001, 2.5824580E-001
 8.8147428E-001, 2.8187453E-001
 8.8302321E-001, 3.0678141E-001
 8.8457214E-001, 3.3410968E-001
 8.8612107E-001, 3.6372582E-001
 8.8767000E-001, 3.9515063E-001
 8.8921894E-001, 4.2720245E-001
 8.9076787E-001, 4.5936401E-001
 8.9231680E-001, 4.9161030E-001
 8.9386573E-001, 5.2459199E-001
 8.9541466E-001, 5.5684319E-001
 8.9696359E-001, 5.8735407E-001
 8.9851253E-001, 6.1609729E-001
 9.0006146E-001, 6.4236500E-001
 9.0161039E-001, 6.6678092E-001
 9.0315932E-001, 6.8921214E-001
 9.0470825E-001, 7.0965196E-001
 9.0625718E-001, 7.2777437E-001
 9.0780612E-001, 7.4366755E-001
 9.0935505E-001, 7.5719484E-001
 9.1090398E-001, 7.6952713E-001
 9.1245291E-001, 7.8161680E-001
 9.1400184E-001, 7.9249369E-001
 9.1555077E-001, 8.0214713E-001
 9.1709971E-001, 8.1099381E-001
 9.1864864E-001, 8.1797554E-001
 9.2019757E-001, 8.2356417E-001
 9.2174650E-001, 8.2743341E-001
 9.2329543E-001, 8.2995979E-001
 9.2484436E-001, 8.3048538E-001
 9.2639330E-001, 8.2906815E-001
 9.2794223E-001, 8.2616825E-001
 9.2949116E-001, 8.2117315E-001
 9.3104009E-001, 8.1427252E-001
 9.3258902E-001, 8.0586833E-001
 9.3413795E-001, 7.9542992E-001
 9.3568689E-001, 7.8228281E-001
 9.3723582E-001, 7.6452399E-001
 9.3878475E-001, 7.4700092E-001
 9.4033368E-001, 7.2827084E-001
 9.4188261E-001, 7.0659087E-001
 9.4343154E-001, 6.8373288E-001
 9.4498048E-001, 6.6186938E-001
 9.4652941E-001, 6.3907782E-001
 9.4807834E-001, 6.1669470E-001
 9.4962727E-001, 5.9534463E-001
 9.5117620E-001, 5.7594875E-001
 9.5272513E-001, 5.5991002E-001
 9.5427407E-001, 5.4672665E-001
 9.5582300E-001, 5.3717872E-001
 9.5737193E-001, 5.3132734E-001
 9.5892086E-001, 5.2928708E-001
 9.6046979E-001, 5.2699472E-001
 9.6201872E-001, 5.3048835E-001
 9.6339169E-001, 5.3494744E-001
 9.6476465E-001, 5.4008534E-001
 9.6613761E-001, 5.4469063E-001
 9.6751057E-001, 5.4711561E-001
 9.6888353E-001, 5.5325599E-001
 9.7025650E-001, 5.5793654E-001
 9.7162946E-001, 5.5817090E-001
 9.7300242E-001, 5.5653649E-001
 9.7437538E-001, 5.5129560E-001
 9.7560318E-001, 5.3917415E-001
 9.7683098E-001, 5.3948793E-001
 9.7805879E-001, 5.3904252E-001
 9.7928659E-001, 5.3830125E-001
 9.8051439E-001, 5.3561543E-001
 9.8174219E-001, 5.4617360E-001
 9.8296999E-001, 5.6248960E-001
 9.8419779E-001, 5.8969271E-001
 9.8542560E-001, 6.3815026E-001
 9.8665340E-001, 7.0418826E-001
 9.8788120E-001, 7.8827731E-001
 9.8910900E-001, 8.9786411E-001
 9.9033680E-001, 1.0263936E+000
 9.9156461E-001, 1.1957444E+000
 9.9279241E-001, 1.3932168E+000
 9.9402021E-001, 1.6125788E+000
 9.9524801E-001, 1.8571157E+000
 9.9630953E-001, 2.0689000E+000
 9.9737105E-001, 2.2776293E+000
 9.9843257E-001, 2.4761647E+000
 9.9949410E-001, 2.6561010E+000
 1.0005556E+000, 2.8044949E+000
 1.0016171E+000, 2.9306117E+000
 1.0026787E+000, 3.0350373E+000
 1.0037402E+000, 3.1040788E+000
 1.0048017E+000, 3.1368798E+000
 1.0058632E+000, 3.1252944E+000
 1.0069247E+000, 3.0826316E+000
 1.0079863E+000, 3.0188963E+000
 1.0090478E+000, 2.9211164E+000
 1.0101093E+000, 2.8025956E+000
 1.0111708E+000, 2.6695212E+000
 1.0122324E+000, 2.5381120E+000
 1.0134000E+000, 2.3958264E+000
 1.0145677E+000, 2.2566564E+000
 1.0157354E+000, 2.1708681E+000
 1.0169030E+000, 2.1214039E+000
 1.0180707E+000, 2.1268536E+000
 1.0192384E+000, 2.1517846E+000
 1.0204061E+000, 2.2301123E+000
 1.0215737E+000, 2.3342587E+000
 1.0227414E+000, 2.4640901E+000
 1.0239091E+000, 2.6269693E+000
 1.0250768E+000, 2.8070974E+000
 1.0262444E+000, 2.9903461E+000
 1.0274121E+000, 3.1707212E+000
 1.0285798E+000, 3.3338653E+000
 1.0297475E+000, 3.4573448E+000
 1.0309151E+000, 3.5421178E+000
 1.0320828E+000, 3.5805785E+000
 1.0332505E+000, 3.5787314E+000
 1.0344181E+000, 3.5379871E+000
 1.0355858E+000, 3.4561263E+000
 1.0367535E+000, 3.3422657E+000
 1.0379212E+000, 3.2395459E+000
 1.0390888E+000, 3.1455188E+000
 1.0402565E+000, 3.1375597E+000
 1.0414242E+000, 3.0450649E+000
 1.0425919E+000, 3.0283385E+000
 1.0437595E+000, 3.0308837E+000
 1.0449272E+000, 3.0797025E+000
 1.0460949E+000, 3.1709877E+000
 1.0472626E+000, 3.2687289E+000
 1.0484302E+000, 3.3610711E+000
 1.0495979E+000, 3.4605320E+000
 1.0507656E+000, 3.5416848E+000
 1.0519332E+000, 3.5933700E+000
 1.0531009E+000, 3.5899427E+000
 1.0542686E+000, 3.5397426E+000
 1.0554363E+000, 3.4749434E+000
 1.0566039E+000, 3.3858171E+000
 1.0577716E+000, 3.2852931E+000
 1.0589393E+000, 3.1823218E+000
 1.0601070E+000, 3.0361811E+000
 1.0612746E+000, 2.9617500E+000
 1.0624423E+000, 2.9186561E+000
