cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 7.4022081E+002, 7.6202038E+001,-9.5000000E+000, 1.0801536E+003, 1.5756392E+002, 1.0394169E+003, 2.3940809E+002, 8.9866393E+002, 2.6072253E+002, 7.6597879E+002, 2.3790247E+002, 6.4589857E+002, 2.0362930E+002, 5.2000000E+001, 1.0000000E-001, 0.0000000E+000, 1.0234995E+001, 8.8559646E+000, 7.7807406E+000, 0.0000000E+000, 7.0393809E-001
 4.4622642E+000, 7.9494093E+002, 7.5863643E+001,-5.2857143E+000, 1.0773522E+003, 1.3043790E+002, 1.1481950E+003, 1.8434614E+002, 9.8189729E+002, 2.4372383E+002, 8.2012127E+002, 2.4670823E+002, 6.6466426E+002, 2.0608656E+002, 5.6480000E+001, 2.9900000E-001, 0.0000000E+000, 9.1841218E+000, 7.9996752E+000, 7.0366675E+000, 4.5000000E+000, 6.6678104E-001
 8.4245283E+000, 9.0061868E+002, 1.1300756E+002,-1.0714286E+000, 1.0179024E+003, 1.3206888E+002, 1.2047644E+003, 1.3364981E+002, 1.1002231E+003, 2.0452588E+002, 8.8097116E+002, 2.5171141E+002, 6.9528704E+002, 2.0360794E+002, 6.0960000E+001, 4.9800000E-001, 0.0000000E+000, 8.2585464E+000, 7.2573357E+000, 6.4003727E+000, 9.0000000E+000, 7.1205549E-001
 1.2386792E+001, 9.3956721E+002, 1.2456573E+002, 3.1428571E+000, 1.0927312E+003, 1.4470927E+002, 1.1654422E+003, 1.5454625E+002, 1.0495508E+003, 2.2767152E+002, 8.4650539E+002, 2.4952128E+002, 6.8329200E+002, 2.0380051E+002, 6.5440000E+001, 6.9700000E-001, 0.0000000E+000, 7.4399512E+000, 6.6048195E+000, 5.8471854E+000, 1.3500000E+001, 8.8796677E-001
 1.6349057E+001, 1.0013883E+003, 1.3964786E+002, 7.3571429E+000, 1.1153763E+003, 1.3444862E+002, 1.1150407E+003, 1.9236244E+002, 9.7380021E+002, 2.4691941E+002, 7.9956386E+002, 2.4048258E+002, 6.6235780E+002, 1.9844770E+002, 6.9920000E+001, 8.9600000E-001, 0.0000000E+000, 7.0670457E+000, 6.3073868E+000, 5.5964382E+000, 1.8000000E+001, 1.0179256E+000
 2.0311321E+001, 1.0483862E+003, 1.4428852E+002, 1.1571429E+001, 1.0493788E+003, 2.0455446E+002, 8.9014675E+002, 2.4438674E+002, 7.7426728E+002, 2.3908048E+002, 6.7669164E+002, 2.1076374E+002, 6.0327288E+002, 1.7979291E+002, 7.4400000E+001, 1.0950000E+000, 0.0000000E+000, 6.3873359E+000, 5.7629855E+000, 5.1391734E+000, 2.2500000E+001, 1.0088722E+000
 2.4273585E+001, 1.0677212E+003, 1.4460910E+002, 1.5785714E+001, 8.7601165E+002, 2.4331054E+002, 6.8263630E+002, 2.2364577E+002, 6.4124955E+002, 2.1923124E+002, 5.8297979E+002, 1.8161340E+002, 5.4583916E+002, 1.6237243E+002, 7.8880000E+001, 1.2940000E+000, 0.0000000E+000, 5.7874576E+000, 5.2778257E+000, 4.7326661E+000, 2.7000000E+001, 9.7179085E-001
 2.8235849E+001, 1.1012646E+003, 1.4537708E+002, 2.0000000E+001, 7.8478501E+002, 2.2374150E+002, 6.0710565E+002, 1.9467150E+002, 5.9802873E+002, 2.0465984E+002, 5.4770197E+002, 1.6835112E+002, 5.1880522E+002, 1.5227561E+002, 8.3360000E+001, 1.4930000E+000, 0.0000000E+000, 5.2575007E+000, 4.8438330E+000, 4.3689231E+000, 3.1500000E+001, 8.9738377E-001
 3.2198113E+001, 1.1163940E+003, 1.4630847E+002, 2.4214286E+001, 6.4083773E+002, 1.7716200E+002, 4.8755353E+002, 1.2441731E+002, 5.0784822E+002, 1.6633797E+002, 4.8801085E+002, 1.4332200E+002, 4.7005020E+002, 1.3011738E+002, 8.7840000E+001, 1.6920000E+000, 0.0000000E+000, 4.7884863E+000, 4.4542978E+000, 4.0416628E+000, 3.6000000E+001, 8.6728536E-001
