s,kg/m2/s,kW/m2,kW/m2,C,C,m/s
Time,"MLRPUA","HEAT_FLUX","MLRPUA_ideal","T_SURF_MEAN","T_SURF_MAX","w"
 0.0000000E+000, 0.0000000E+000, 1.9999972E+001, 1.8199974E-002, 2.5000000E+001, 2.5000000E+001, 0.0000000E+000
 3.9916245E-002, 0.0000000E+000, 1.9999996E+001, 1.8199997E-002, 2.5000000E+001, 2.5000000E+001,-6.9862045E-006
 7.9832489E-002, 1.5848557E-005, 1.9999345E+001, 1.8199404E-002, 2.6260995E+001, 2.6263732E+001,-1.7680646E-005
 1.1974873E-001, 1.5848557E-005, 1.9999346E+001, 1.8199405E-002, 2.6260995E+001, 2.6263732E+001,-2.7532141E-005
 1.5966498E-001, 1.6844605E-005, 1.9991971E+001, 1.8192693E-002, 2.7472294E+001, 2.7476474E+001,-3.4962572E-005
 1.9958122E-001, 1.6844605E-005, 1.9991982E+001, 1.8192704E-002, 2.7472294E+001, 2.7476474E+001,-3.9654543E-005
 2.3949747E-001, 1.7883359E-005, 1.9984575E+001, 1.8185963E-002, 2.8639282E+001, 2.8645104E+001,-4.0241901E-005
 2.7941371E-001, 1.7883359E-005, 1.9984591E+001, 1.8185978E-002, 2.8639282E+001, 2.8645104E+001,-3.3549857E-005
 3.1932996E-001, 1.8974680E-005, 1.9977417E+001, 1.8179449E-002, 2.9765617E+001, 2.9772557E+001,-1.5148152E-005
 3.5924620E-001, 1.8974680E-005, 1.9977436E+001, 1.8179467E-002, 2.9765617E+001, 2.9772557E+001, 1.9380705E-005
 3.9916245E-001, 2.0138045E-005, 1.9970490E+001, 1.8173146E-002, 3.0854532E+001, 3.0861954E+001, 7.2786727E-005
 4.3907869E-001, 2.0138045E-005, 1.9970512E+001, 1.8173166E-002, 3.0854532E+001, 3.0861954E+001, 1.4442835E-004
 4.7899494E-001, 2.1416491E-005, 1.9963793E+001, 1.8167052E-002, 3.1908974E+001, 3.1916120E+001, 2.2913330E-004
 5.1891118E-001, 2.1416491E-005, 1.9963817E+001, 1.8167073E-002, 3.1908974E+001, 3.1916120E+001, 3.1736595E-004
 5.5882742E-001, 2.2857640E-005, 1.9957331E+001, 1.8161172E-002, 3.2931621E+001, 3.2938435E+001, 3.9705052E-004
 5.9874367E-001, 2.2857640E-005, 1.9957356E+001, 1.8161194E-002, 3.2931621E+001, 3.2938435E+001, 4.5662257E-004
 6.3865991E-001, 2.4575783E-005, 1.9951115E+001, 1.8155515E-002, 3.3924895E+001, 3.3931560E+001, 4.8828125E-004
 6.7857616E-001, 2.4575783E-005, 1.9951142E+001, 1.8155539E-002, 3.3924895E+001, 3.3931560E+001, 4.9022372E-004
 7.1849240E-001, 2.6740048E-005, 1.9945162E+001, 1.8150098E-002, 3.4890980E+001, 3.4898055E+001, 4.6710071E-004
 7.5840865E-001, 2.6740048E-005, 1.9945191E+001, 1.8150124E-002, 3.4890980E+001, 3.4898055E+001, 4.2860632E-004
 7.9832489E-001, 2.9578049E-005, 1.9939498E+001, 1.8144943E-002, 3.5831832E+001, 3.5839490E+001, 3.8685610E-004
 8.3824114E-001, 2.9578049E-005, 1.9939529E+001, 1.8144972E-002, 3.5831832E+001, 3.5839490E+001, 3.5347809E-004
 8.7815738E-001, 3.3287329E-005, 1.9934157E+001, 1.8140083E-002, 3.6749215E+001, 3.6758939E+001, 3.3734600E-004
 9.1807363E-001, 3.3287329E-005, 1.9934192E+001, 1.8140115E-002, 3.6749215E+001, 3.6758939E+001, 3.4342048E-004
 9.5798987E-001, 3.8006035E-005, 1.9929190E+001, 1.8135563E-002, 3.7644723E+001, 3.7654592E+001, 3.7279893E-004
 9.9790611E-001, 3.8006035E-005, 1.9929229E+001, 1.8135598E-002, 3.7644723E+001, 3.7654592E+001, 4.2359572E-004
