cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori,r_rad3,TC_03,TC_30,TC_41,TC_51,TC_61,TC_03_RMS,TC_30_RMS,TC_41_RMS,TC_51_RMS,TC_61_RMS
 1.0000000E+000, 5.6120727E+002, 5.5914789E+002, 1.4921549E-003, 1.3936195E+002, 1.4471540E+002, 3.9578517E-002, 1.1330903E-002, 1.8812404E-002, 1.4226028E-002, 7.1325181E-001, 5.2707972E-002, 1.4226028E-002, 1.7544485E-001, 0.0000000E+000,-4.0000000E+000, 2.2495209E+001, 2.1299006E+001, 0.0000000E+000, 9.6559439E-001, 1.6155494E+001, 4.0940011E+000,-4.0000000E+000, 8.3219276E+002, 9.5447683E+002, 8.3570590E+002, 7.1868838E+002, 6.2455429E+002, 2.4206767E+002, 2.0615702E+002, 2.1893129E+002, 2.1711347E+002, 1.9487690E+002
 3.0000000E+000, 7.2243554E+002, 7.2418947E+002, 7.8014016E-002, 1.9444688E+002, 2.0591799E+002, 1.4552139E-001, 1.6839300E-002, 3.1026481E-002, 2.2283851E-002, 5.4167204E-001, 8.5705675E-002, 2.2283851E-002, 2.8018880E-001, 0.0000000E+000,-3.0000000E+000, 2.2086727E+001, 2.0965585E+001, 2.5423729E+000, 8.6859525E-001, 1.8462585E+001, 3.1440803E+000,-2.0000000E+000, 7.1292511E+002, 1.1189403E+003, 9.5985390E+002, 7.9191206E+002, 6.7015930E+002, 1.6317016E+002, 1.7640066E+002, 2.2279655E+002, 2.3534461E+002, 2.1873276E+002
 5.0000000E+000, 8.5867419E+002, 8.6439565E+002, 4.0348341E-001, 2.4104999E+002, 2.5730080E+002, 2.7588873E-001, 1.8234640E-002, 4.0506378E-002, 2.8122413E-002, 4.2429374E-001, 1.1084449E-001, 2.8122413E-002, 3.4987592E-001, 0.0000000E+000,-2.0000000E+000, 2.1844685E+001, 2.0722761E+001, 5.0847458E+000, 1.0998133E+000, 2.0770544E+001, 2.5232782E+000,-5.0000000E-003, 7.0909312E+002, 1.1353841E+003, 9.8975975E+002, 8.2145108E+002, 6.9381688E+002, 1.3639443E+002, 1.6443137E+002, 2.2230340E+002, 2.4717355E+002, 2.2980707E+002
 7.0000000E+000, 9.1784538E+002, 9.2555163E+002, 8.3713864E-001, 2.5042826E+002, 2.6824086E+002, 3.4889130E-001, 1.8730328E-002, 4.4502676E-002, 3.0165051E-002, 3.7730120E-001, 1.2101770E-001, 3.0165051E-002, 3.7811799E-001, 0.0000000E+000,-1.0000000E+000, 2.1776303E+001, 2.0655337E+001, 7.6271186E+000, 1.1816336E+000, 2.3079112E+001, 2.0789221E+000, 2.0000000E+000, 7.9014643E+002, 1.0571823E+003, 9.2270337E+002, 7.8676663E+002, 6.7362305E+002, 2.0889641E+002, 2.0315400E+002, 2.3158025E+002, 2.4280188E+002, 2.2637249E+002
 9.0000000E+000, 1.0028264E+003, 1.0131663E+003, 1.2695659E+000, 2.6254812E+002, 2.8542091E+002, 4.0246728E-001, 2.0567293E-002, 4.9883957E-002, 3.2166969E-002, 3.1209468E-001, 1.3398258E-001, 3.2166969E-002, 4.1913755E-001, 0.0000000E+000,-5.0000000E-003, 2.1827525E+001, 2.0692329E+001, 1.0169492E+001, 1.0731923E+000, 2.5388123E+001, 1.7108217E+000, 4.0000000E+000, 9.4484000E+002, 8.7416865E+002, 7.9750703E+002, 7.0785135E+002, 6.2531505E+002, 2.7334324E+002, 2.2856926E+002, 2.3375995E+002, 2.3156448E+002, 2.1247823E+002
 1.1000000E+001, 1.0560667E+003, 1.0667878E+003, 1.6527218E+000, 2.6565100E+002, 2.9516920E+002, 4.5504611E-001, 2.3447777E-002, 5.3092491E-002, 3.2557797E-002, 2.6861075E-001, 1.4093538E-001, 3.2557797E-002, 4.4879800E-001, 0.0000000E+000, 1.0000000E+000, 2.2046864E+001, 2.0875556E+001, 1.2711864E+001, 1.0656747E+000, 2.7697465E+001, 1.4591665E+000, 6.0000000E+000, 1.1546331E+003, 6.8787875E+002, 6.6306825E+002, 6.1375252E+002, 5.6647017E+002, 2.5357267E+002, 2.1418675E+002, 2.1698371E+002, 2.0674163E+002, 1.8447498E+002
 1.3000000E+001, 1.1012409E+003, 1.1118396E+003, 1.9799918E+000, 2.6771429E+002, 3.0476500E+002, 5.1351972E-001, 2.7318172E-002, 5.5647912E-002, 3.2181418E-002, 2.2980852E-001, 1.4580789E-001, 3.2181418E-002, 4.7705467E-001, 0.0000000E+000, 2.0000000E+000, 2.2307211E+001, 2.1099234E+001, 1.5254237E+001, 1.1264967E+000, 3.0007063E+001, 1.2586329E+000, 8.0000000E+000, 1.2029701E+003, 5.7204385E+002, 5.4800616E+002, 5.2849673E+002, 5.0927111E+002, 1.8040239E+002, 1.7740556E+002, 1.7545306E+002, 1.6081202E+002, 1.5349401E+002
 1.5000000E+001, 1.1314563E+003, 1.1402566E+003, 2.2471541E+000, 2.6712497E+002, 3.1357536E+002, 6.0283646E-001, 3.3061909E-002, 5.7128515E-002, 3.1051518E-002, 1.9505490E-001, 1.4777512E-001, 3.1051518E-002, 5.0487652E-001, 0.0000000E+000, 3.0000000E+000, 2.2592254E+001, 2.1375734E+001, 1.7796610E+001, 1.1600780E+000, 3.2316861E+001, 1.0789236E+000, 1.0000000E+001, 8.8328537E+002, 4.9422281E+002, 4.6279827E+002, 4.6431406E+002, 4.5474838E+002, 2.3019545E+002, 1.4605697E+002, 1.2507220E+002, 1.2872703E+002, 1.2401792E+002
 1.7000000E+001, 1.1478154E+003, 1.1535556E+003, 2.4724497E+000, 2.6650119E+002, 3.2283909E+002, 6.9826630E-001, 4.0121599E-002, 5.7621856E-002, 2.9511353E-002, 1.6457613E-001, 1.4735076E-001, 2.9511353E-002, 5.3130694E-001, 0.0000000E+000, 4.0000000E+000, 2.2891538E+001, 2.1670113E+001, 2.0338983E+001, 1.1457937E+000, 3.4626819E+001, 9.4739601E-001, 1.2000000E+001, 4.3105294E+002, 4.3928618E+002, 4.0641409E+002, 4.1267250E+002, 4.1126107E+002, 1.4580152E+002, 1.2453513E+002, 1.0055735E+002, 1.0277691E+002, 9.4943618E+001
