Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 9.775E+02, 9.940E+03, 4.652E+03, 5.630E+03, 6.400E+03, 1.016E+03, 4.285E+03, 2.143E+01, 3.192E+05, 1.870E+02, 1.223E+05, 0.000E+00, 0.000E+00, 4.071E+03, 0.000E+00, 4.787E+05
    1,-1.405E+02, 1.017E+04, 4.609E+03, 5.865E+03, 6.743E+03, 1.172E+03, 2.826E+03, 2.060E+01, 3.176E+05, 1.946E+02, 1.254E+05, 0.000E+00, 0.000E+00, 4.258E+03, 0.000E+00, 4.787E+05
    2,-1.248E+02, 1.021E+04, 4.562E+03, 5.865E+03, 6.690E+03, 1.160E+03, 2.775E+03, 2.017E+01, 3.156E+05, 1.957E+02, 1.275E+05, 0.000E+00, 0.000E+00, 4.259E+03, 0.000E+00, 4.787E+05
    3, 1.216E+03, 9.994E+03, 4.593E+03, 5.776E+03, 6.558E+03, 1.161E+03, 2.585E+03, 2.067E+01, 3.156E+05, 1.887E+02, 1.267E+05, 0.000E+00, 0.000E+00, 4.284E+03, 0.000E+00, 4.787E+05
    4,-1.336E+02, 1.004E+04, 4.580E+03, 5.819E+03, 6.723E+03, 1.129E+03, 2.648E+03, 2.071E+01, 3.140E+05, 1.943E+02, 1.295E+05, 0.000E+00, 0.000E+00, 4.252E+03, 0.000E+00, 4.787E+05
    5, 5.632E+02, 9.681E+03, 4.597E+03, 6.091E+03, 3.300E+04, 2.100E+03, 1.571E+03, 2.553E+01, 3.705E+05, 6.848E+02, 3.867E+04, 0.000E+00, 0.000E+00, 1.127E+04, 0.000E+00, 4.787E+05
    6, 6.185E+02, 9.771E+03, 4.635E+03, 6.125E+03, 3.477E+04, 2.114E+03, 1.599E+03, 2.543E+01, 3.695E+05, 7.233E+02, 3.796E+04, 0.000E+00, 0.000E+00, 1.086E+04, 0.000E+00, 4.787E+05
    7,-2.056E+02, 9.959E+03, 4.520E+03, 6.086E+03, 6.753E+03, 1.267E+03, 1.700E+03, 1.958E+01, 3.185E+05, 2.013E+02, 1.256E+05, 0.000E+00, 0.000E+00, 4.309E+03, 0.000E+00, 4.787E+05
    8,-1.775E+02, 1.065E+04, 5.182E+03, 6.509E+03, 7.012E+03, 1.186E+03, 2.648E+03, 2.163E+01, 3.282E+05, 1.999E+02, 1.127E+05, 0.000E+00, 0.000E+00, 4.573E+03, 0.000E+00, 4.787E+05
    9, 5.619E+02, 1.039E+04, 5.210E+03, 6.754E+03, 3.333E+04, 2.292E+03, 1.697E+03, 2.679E+01, 3.795E+05, 7.196E+02, 2.663E+04, 0.000E+00, 0.000E+00, 1.157E+04, 0.000E+00, 4.787E+05
   10, 4.795E+02, 1.032E+04, 5.288E+03, 6.955E+03, 3.335E+04, 2.353E+03, 1.618E+03, 2.780E+01, 3.846E+05, 7.014E+02, 2.129E+04, 0.000E+00, 0.000E+00, 1.170E+04, 0.000E+00, 4.787E+05
   11,-2.785E+02, 1.071E+04, 5.126E+03, 6.736E+03, 7.109E+03, 1.325E+03, 1.691E+03, 2.161E+01, 3.276E+05, 2.086E+02, 1.138E+05, 0.000E+00, 0.000E+00, 4.652E+03, 0.000E+00, 4.787E+05
   12, 1.098E+03, 1.070E+04, 5.035E+03, 6.068E+03, 6.719E+03, 1.022E+03, 4.065E+03, 2.150E+01, 3.249E+05, 1.960E+02, 1.144E+05, 0.000E+00, 0.000E+00, 4.388E+03, 0.000E+00, 4.787E+05
   13,-1.900E+02, 1.091E+04, 5.107E+03, 6.591E+03, 7.094E+03, 1.194E+03, 2.834E+03, 2.170E+01, 3.250E+05, 2.023E+02, 1.153E+05, 0.000E+00, 0.000E+00, 4.604E+03, 0.000E+00, 4.787E+05
   14,-1.708E+02, 1.070E+04, 5.016E+03, 6.414E+03, 7.032E+03, 1.208E+03, 2.920E+03, 2.104E+01, 3.212E+05, 2.031E+02, 1.197E+05, 0.000E+00, 0.000E+00, 4.473E+03, 0.000E+00, 4.787E+05
   15, 9.749E+02, 1.072E+04, 5.125E+03, 6.418E+03, 6.939E+03, 1.191E+03, 2.593E+03, 2.139E+01, 3.246E+05, 2.050E+02, 1.153E+05, 0.000E+00, 0.000E+00, 4.536E+03, 0.000E+00, 4.787E+05
   16, 1.085E+03, 1.060E+04, 5.175E+03, 6.378E+03, 6.530E+03, 1.139E+03, 3.361E+03, 2.127E+01, 3.252E+05, 2.059E+02, 1.145E+05, 0.000E+00, 0.000E+00, 4.485E+03, 0.000E+00, 4.787E+05
   17, 8.561E+02, 1.047E+04, 5.142E+03, 6.633E+03, 6.759E+03, 1.297E+03, 2.091E+03, 2.075E+01, 3.245E+05, 2.094E+02, 1.161E+05, 0.000E+00, 0.000E+00, 4.632E+03, 0.000E+00, 4.787E+05
   18, 8.637E+02, 1.077E+04, 5.178E+03, 6.610E+03, 6.787E+03, 1.282E+03, 2.055E+03, 2.120E+01, 3.216E+05, 2.106E+02, 1.186E+05, 0.000E+00, 0.000E+00, 4.654E+03, 0.000E+00, 4.787E+05
   19, 8.737E+02, 1.060E+04, 5.110E+03, 6.697E+03, 6.611E+03, 1.297E+03, 1.658E+03, 2.048E+01, 3.236E+05, 2.098E+02, 1.174E+05, 0.000E+00, 0.000E+00, 4.610E+03, 0.000E+00, 4.787E+05
   20, 9.024E+02, 1.044E+04, 5.069E+03, 6.469E+03, 6.670E+03, 1.247E+03, 1.717E+03, 2.100E+01, 3.246E+05, 2.060E+02, 1.168E+05, 0.000E+00, 0.000E+00, 4.540E+03, 0.000E+00, 4.787E+05
   21,-2.675E+02, 1.075E+04, 5.208E+03, 6.606E+03, 6.778E+03, 1.429E+03, 1.097E+03, 1.905E+01, 3.256E+05, 7.742E+02, 1.160E+05, 0.000E+00, 0.000E+00, 4.696E+03, 0.000E+00, 4.787E+05
   22,-2.473E+02, 1.041E+04, 5.126E+03, 6.600E+03, 6.757E+03, 1.433E+03, 1.087E+03, 1.877E+01, 3.241E+05, 7.901E+02, 1.179E+05, 0.000E+00, 0.000E+00, 4.711E+03, 0.000E+00, 4.787E+05
   23, 7.465E+02, 1.075E+04, 5.229E+03, 6.873E+03, 6.809E+03, 1.423E+03, 8.957E+02, 1.826E+01, 3.267E+05, 2.152E+02, 1.142E+05, 0.000E+00, 0.000E+00, 4.783E+03, 0.000E+00, 4.787E+05
   24, 8.378E+02, 1.003E+04, 4.819E+03, 6.211E+03, 6.610E+03, 1.235E+03, 1.660E+03, 2.075E+01, 3.201E+05, 2.021E+02, 1.225E+05, 0.000E+00, 0.000E+00, 4.473E+03, 0.000E+00, 4.787E+05
