cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 1.0000000E+000, 6.0228572E+002, 5.7467344E+002,-1.9927364E-005, 3.8415611E+001, 4.3247888E+001, 9.6114442E-002, 2.9375273E-002, 1.9597934E-002, 2.8949873E-002, 5.5288541E-001, 5.4208700E-002, 2.2842325E-002, 2.9031428E-001, 2.1825263E-002, 5.9063912E-004
 3.0000000E+000, 7.1199210E+002, 7.1099913E+002,-1.9927364E-005, 4.9842716E+001, 5.9943671E+001, 9.6114442E-002, 3.9707690E-002, 2.6591958E-002, 4.0170285E-002, 3.8958144E-001, 7.4264135E-002, 3.1695964E-002, 3.9546382E-001, 3.3169409E-002, 8.9416779E-004
 5.0000000E+000, 7.1199210E+002, 7.1099913E+002, 5.9365177E-001, 4.9842716E+001, 5.9943671E+001, 1.3816396E-001, 3.9707690E-002, 2.6591958E-002, 4.0170285E-002, 3.8958144E-001, 7.4264135E-002, 3.1695964E-002, 3.9546382E-001, 3.3169409E-002, 8.9416779E-004
 7.0000000E+000, 8.4516599E+002, 8.4944052E+002, 5.9365177E-001, 6.9175228E+001, 9.7987847E+001, 1.3816396E-001, 4.2340728E-002, 3.1503130E-002, 5.3549702E-002, 2.6939711E-001, 9.2667359E-002, 4.2255444E-002, 4.6498180E-001, 4.8004183E-002, 1.2702897E-003
 9.0000000E+000, 8.4516599E+002, 8.4944052E+002, 1.2595827E+000, 6.9175228E+001, 9.7987847E+001, 1.9669797E-001, 4.2340728E-002, 3.1503130E-002, 5.3549702E-002, 2.6939711E-001, 9.2667359E-002, 4.2255444E-002, 4.6498180E-001, 4.8004183E-002, 1.2702897E-003
 1.1000000E+001, 9.6030103E+002, 9.7217705E+002, 1.2595827E+000, 8.0549715E+001, 1.2457741E+002, 1.9669797E-001, 4.0476545E-002, 3.5272127E-002, 6.5206746E-002, 1.8875791E-001, 1.0782947E-001, 5.1455899E-002, 5.0702476E-001, 6.1921827E-002, 1.6196207E-003
 1.3000000E+001, 9.6030103E+002, 9.7217705E+002, 1.8851320E+000, 8.0549715E+001, 1.2457741E+002, 2.6135381E-001, 4.0476545E-002, 3.5272127E-002, 6.5206746E-002, 1.8875791E-001, 1.0782947E-001, 5.1455899E-002, 5.0702476E-001, 6.1921827E-002, 1.6196207E-003
 1.5000000E+001, 1.0399094E+003, 1.0605659E+003, 1.8851320E+000, 7.6499697E+001, 1.2489336E+002, 2.6135381E-001, 3.8962306E-002, 3.8361631E-002, 7.1654926E-002, 1.3818385E-001, 1.1776745E-001, 5.6544538E-002, 5.3416154E-001, 7.0466504E-002, 1.8409121E-003
 1.7000000E+001, 1.0399094E+003, 1.0605659E+003, 2.4213066E+000, 7.6499697E+001, 1.2489336E+002, 3.0534187E-001, 3.8962306E-002, 3.8361631E-002, 7.1654926E-002, 1.3818385E-001, 1.1776745E-001, 5.6544538E-002, 5.3416154E-001, 7.0466504E-002, 1.8409121E-003
