cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 1.2482781E+003, 2.1052121E+001,-9.5000000E+000, 1.2689051E+003, 2.5322302E+001, 1.1247373E+003, 9.5605167E+001, 9.3088805E+002, 1.0732378E+002, 7.6336512E+002, 9.5350038E+001, 6.4246510E+002, 8.0584298E+001, 5.2000000E+001, 1.0000000E-001, 0.0000000E+000, 1.1561831E+001, 9.3165940E+000, 7.1934652E+000, 0.0000000E+000, 9.9694607E-001
 4.4622642E+000, 1.2482781E+003, 2.1052121E+001,-5.2857143E+000, 1.2689051E+003, 2.5322302E+001, 1.1247373E+003, 9.5605167E+001, 9.3088805E+002, 1.0732378E+002, 7.6336512E+002, 9.5350038E+001, 6.4246510E+002, 8.0584298E+001, 5.6480000E+001, 2.9900000E-001, 0.0000000E+000, 1.1561831E+001, 9.3165940E+000, 7.1934652E+000, 4.5000000E+000, 9.9694607E-001
 8.4245283E+000, 1.2482781E+003, 2.1052121E+001,-1.0714286E+000, 1.2689051E+003, 2.5322302E+001, 1.1247373E+003, 9.5605167E+001, 9.3088805E+002, 1.0732378E+002, 7.6336512E+002, 9.5350038E+001, 6.4246510E+002, 8.0584298E+001, 6.0960000E+001, 4.9800000E-001, 0.0000000E+000, 9.3081685E+000, 7.6867699E+000, 6.0721435E+000, 9.0000000E+000, 9.9694607E-001
 1.2386792E+001, 1.2712460E+003, 1.7477689E+001, 3.1428571E+000, 1.2734028E+003, 2.2924667E+001, 1.1390105E+003, 9.6040368E+001, 9.3786797E+002, 1.1387904E+002, 7.6524264E+002, 1.0061515E+002, 6.4211714E+002, 8.3072381E+001, 6.5440000E+001, 6.9700000E-001, 0.0000000E+000, 9.3081685E+000, 7.6867699E+000, 6.0721435E+000, 1.3500000E+001, 1.0443059E+000
 1.6349057E+001, 1.2712460E+003, 1.7477689E+001, 7.3571429E+000, 1.2734028E+003, 2.2924667E+001, 1.1390105E+003, 9.6040368E+001, 9.3786797E+002, 1.1387904E+002, 7.6524264E+002, 1.0061515E+002, 6.4211714E+002, 8.3072381E+001, 6.9920000E+001, 8.9600000E-001, 0.0000000E+000, 9.3081685E+000, 7.6867699E+000, 6.0721435E+000, 1.8000000E+001, 1.0443059E+000
 2.0311321E+001, 1.2734028E+003, 2.2924667E+001, 1.1571429E+001, 1.0606267E+003, 9.1448400E+001, 7.9506387E+002, 1.2194160E+002, 6.6977224E+002, 1.1364319E+002, 5.8999082E+002, 9.6757837E+001, 5.3421497E+002, 7.8401450E+001, 7.4400000E+001, 1.0950000E+000, 0.0000000E+000, 7.5920696E+000, 6.4092285E+000, 5.1717646E+000, 2.2500000E+001, 1.0669218E+000
 2.4273585E+001, 1.2734028E+003, 2.2924667E+001, 1.5785714E+001, 1.0606267E+003, 9.1448400E+001, 7.9506387E+002, 1.2194160E+002, 6.6977224E+002, 1.1364319E+002, 5.8999082E+002, 9.6757837E+001, 5.3421497E+002, 7.8401450E+001, 7.8880000E+001, 1.2940000E+000, 0.0000000E+000, 7.5920696E+000, 6.4092285E+000, 5.1717646E+000, 2.7000000E+001, 1.0669218E+000
 2.8235849E+001, 1.2734028E+003, 2.2924667E+001, 2.0000000E+001, 1.0606267E+003, 9.1448400E+001, 7.9506387E+002, 1.2194160E+002, 6.6977224E+002, 1.1364319E+002, 5.8999082E+002, 9.6757837E+001, 5.3421497E+002, 7.8401450E+001, 8.3360000E+001, 1.4930000E+000, 0.0000000E+000, 6.2654331E+000, 5.3930432E+000, 4.4375045E+000, 3.1500000E+001, 1.0553527E+000
 3.2198113E+001, 1.2541089E+003, 4.5470618E+001, 2.4214286E+001, 6.6810807E+002, 1.2152972E+002, 4.7965178E+002, 7.6140618E+001, 4.4919892E+002, 6.0933800E+001, 4.4082683E+002, 5.8070584E+001, 4.3382042E+002, 5.5024724E+001, 8.7840000E+001, 1.6920000E+000, 0.0000000E+000, 6.2654331E+000, 5.3930432E+000, 4.4375045E+000, 3.6000000E+001, 1.0553527E+000
 3.6160377E+001, 1.2541089E+003, 4.5470618E+001, 2.8428571E+001, 6.6810807E+002, 1.2152972E+002, 4.7965178E+002, 7.6140618E+001, 4.4919892E+002, 6.0933800E+001, 4.4082683E+002, 5.8070584E+001, 4.3382042E+002, 5.5024724E+001, 9.2320000E+001, 1.8910000E+000, 0.0000000E+000, 5.2258105E+000, 4.5750022E+000, 3.8316745E+000, 4.0500000E+001, 1.0291695E+000
 4.0122642E+001, 1.2239837E+003, 6.7113550E+001, 3.2642857E+001, 4.0876264E+002, 5.1666379E+001, 3.5499233E+002, 3.1100903E+001, 3.5273844E+002, 2.9430625E+001, 3.5764972E+002, 3.0506095E+001, 3.6244711E+002, 2.9961923E+001, 9.6800000E+001, 2.0900000E+000, 0.0000000E+000, 5.2258105E+000, 4.5750022E+000, 3.8316745E+000, 4.5000000E+001, 1.0291695E+000
 4.4084906E+001, 1.2239837E+003, 6.7113550E+001, 3.6857143E+001, 4.0876264E+002, 5.1666379E+001, 3.5499233E+002, 3.1100903E+001, 3.5273844E+002, 2.9430625E+001, 3.5764972E+002, 3.0506095E+001, 3.6244711E+002, 2.9961923E+001, 1.0128000E+002, 2.2890000E+000, 0.0000000E+000, 4.4008771E+000, 3.9096610E+000, 3.3271439E+000, 4.9500000E+001, 1.0291695E+000
 4.8047170E+001, 1.2239837E+003, 6.7113550E+001, 4.1071429E+001, 3.3741671E+002, 1.7656744E+001, 3.1928346E+002, 1.4148006E+001, 3.1743601E+002, 1.2523992E+001, 3.2092178E+002, 1.5212481E+001, 3.2573196E+002, 1.8446953E+001, 1.0576000E+002, 2.4880000E+000, 0.0000000E+000, 4.4008771E+000, 3.9096610E+000, 3.3271439E+000, 5.4000000E+001, 1.0023342E+000
 5.2009434E+001, 1.1839902E+003, 8.4213278E+001, 4.5285714E+001, 3.3741671E+002, 1.7656744E+001, 3.1928346E+002, 1.4148006E+001, 3.1743601E+002, 1.2523992E+001, 3.2092178E+002, 1.5212481E+001, 3.2573196E+002, 1.8446953E+001, 1.1024000E+002, 2.6870000E+000, 0.0000000E+000, 3.7387094E+000, 3.3635227E+000, 2.9036888E+000, 5.8500000E+001, 1.0023342E+000
 5.5971698E+001, 1.1839902E+003, 8.4213278E+001, 4.9500000E+001, 3.3741671E+002, 1.7656744E+001, 3.1928346E+002, 1.4148006E+001, 3.1743601E+002, 1.2523992E+001, 3.2092178E+002, 1.5212481E+001, 3.2573196E+002, 1.8446953E+001, 1.1472000E+002, 2.8860000E+000, 0.0000000E+000, 3.7387094E+000, 3.3635227E+000, 2.9036888E+000, 6.3000000E+001, 9.7589578E-001
