cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 2.5000000E-001, 1.1059420E+003, 1.1232142E+003, 5.8160940E-001, 6.4226540E+001, 8.0781020E+001, 1.0083553E-001, 2.7470998E-002, 6.9918296E-002, 3.4581443E-002, 2.4061221E-002, 1.3035355E-001, 3.0571400E-002, 6.6946741E-001, 3.5549400E-002, 5.9821254E-003
 2.2806122E+000, 1.1059420E+003, 1.1232142E+003, 1.1946332E+000, 6.4226540E+001, 8.0781020E+001, 1.3770627E-001, 2.7470998E-002, 6.9918296E-002, 3.4581443E-002, 2.4061221E-002, 1.3035355E-001, 3.0571400E-002, 6.6946741E-001, 3.5549400E-002, 5.9821254E-003
 4.3112245E+000, 1.1187868E+003, 1.1393967E+003, 1.1946332E+000, 6.5324803E+001, 8.5657156E+001, 1.3770627E-001, 3.8005099E-002, 6.9693759E-002, 2.8618776E-002, 1.5525971E-002, 1.2483298E-001, 2.5271812E-002, 6.8647033E-001, 2.9363986E-002, 5.0915126E-003
 6.3418367E+000, 1.1065822E+003, 1.1274177E+003, 1.7650652E+000, 6.8988535E+001, 9.5148948E+001, 1.8495370E-001, 5.1872809E-002, 6.7415035E-002, 2.2562908E-002, 9.7156553E-003, 1.1640076E-001, 1.9894328E-002, 7.0264318E-001, 2.3082937E-002, 4.1594794E-003
 8.3724490E+000, 1.1065822E+003, 1.1274177E+003, 2.2307727E+000, 6.8988535E+001, 9.5148948E+001, 2.6384790E-001, 5.1872809E-002, 6.7415035E-002, 2.2562908E-002, 9.7156553E-003, 1.1640076E-001, 1.9894328E-002, 7.0264318E-001, 2.3082937E-002, 4.1594794E-003
 1.0403061E+001, 1.0797085E+003, 1.0980087E+003, 2.2307727E+000, 8.0995888E+001, 1.1691259E+002, 2.6384790E-001, 6.6444544E-002, 6.4039049E-002, 1.7125858E-002, 6.0393896E-003, 1.0699888E-001, 1.5069545E-002, 7.1669934E-001, 1.7454659E-002, 3.3067917E-003
 1.2433673E+001, 1.0797085E+003, 1.0980087E+003, 2.5894695E+000, 8.0995888E+001, 1.1691259E+002, 3.6326395E-001, 6.6444544E-002, 6.4039049E-002, 1.7125858E-002, 6.0393896E-003, 1.0699888E-001, 1.5069545E-002, 7.1669934E-001, 1.7454659E-002, 3.3067917E-003
 1.4464286E+001, 1.0464284E+003, 1.0609917E+003, 2.5894695E+000, 9.9472882E+001, 1.4453709E+002, 3.6326395E-001, 8.0063101E-002, 6.0385522E-002, 1.2523018E-002, 3.7816264E-003, 9.7944527E-002, 1.0986948E-002, 7.2837387E-001, 1.2701694E-002, 2.5763711E-003
 1.6494898E+001, 1.0464284E+003, 1.0609917E+003, 2.8516182E+000, 9.9472882E+001, 1.4453709E+002, 4.7087002E-001, 8.0063101E-002, 6.0385522E-002, 1.2523018E-002, 3.7816264E-003, 9.7944527E-002, 1.0986948E-002, 7.2837387E-001, 1.2701694E-002, 2.5763711E-003
 1.8525510E+001, 1.0079581E+003, 1.0183649E+003, 2.8516182E+000, 1.1946745E+002, 1.7126157E+002, 4.7087002E-001, 9.2787821E-002, 5.6480055E-002, 8.7622286E-003, 2.3817747E-003, 8.9282026E-002, 7.6534457E-003, 7.3807997E-001, 8.8367785E-003, 1.9705444E-003
 2.0556122E+001, 1.0079581E+003, 1.0183649E+003, 3.0420803E+000, 1.1946745E+002, 1.7126157E+002, 5.7564288E-001, 9.2787821E-002, 5.6480055E-002, 8.7622286E-003, 2.3817747E-003, 8.9282026E-002, 7.6534457E-003, 7.3807997E-001, 8.8367785E-003, 1.9705444E-003
 2.2586735E+001, 9.6483948E+002, 9.7116466E+002, 3.0420803E+000, 1.3481526E+002, 1.9084416E+002, 5.7564288E-001, 1.0463802E-001, 5.2307730E-002, 5.8992346E-003, 1.5061513E-003, 8.1041327E-002, 5.1186241E-003, 7.4599351E-001, 5.9138543E-003, 1.4970053E-003
