cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.2009434E+001, 1.0454914E+003, 1.9124054E+002, 4.5285714E+001, 3.5168387E+002, 1.1078708E+001, 3.5022947E+002, 2.2074617E+001, 3.5574492E+002, 3.1707897E+001, 3.5968954E+002, 4.2105570E+001, 3.6227937E+002, 4.8065308E+001, 1.1024000E+002, 2.6870000E+000, 3.3346963E+000, 9.7876535E+000, 1.0342748E+001, 1.0290714E+001, 5.8500000E+001, 3.4556418E+000
 5.5971698E+001, 1.0454914E+003, 1.9124054E+002, 4.9500000E+001, 3.5168387E+002, 1.1078708E+001, 3.5022947E+002, 2.2074617E+001, 3.5574492E+002, 3.1707897E+001, 3.5968954E+002, 4.2105570E+001, 3.6227937E+002, 4.8065308E+001, 1.1472000E+002, 2.8860000E+000, 3.3346963E+000, 9.7876535E+000, 1.0342748E+001, 1.0290714E+001, 6.3000000E+001, 3.4556418E+000
 5.9933962E+001, 1.0454914E+003, 1.9124054E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.1920000E+002, 3.0850000E+000, 3.3346963E+000, 9.7876535E+000, 1.0342748E+001, 1.0290714E+001, 6.7500000E+001, 3.4556418E+000
 6.3896226E+001, 1.0454914E+003, 1.9124054E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2368000E+002, 3.2840000E+000, 2.5482478E+000, 7.6214812E+000, 8.0522612E+000, 8.0473032E+000, 7.2000000E+001, 3.4834684E+000
 6.7858491E+001, 1.0454914E+003, 1.9124054E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2816000E+002, 3.4830000E+000, 2.5482478E+000, 7.6214812E+000, 8.0522612E+000, 8.0473032E+000, 7.6500000E+001, 3.4834684E+000
 7.1820755E+001, 9.9203928E+002, 2.2551591E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3264000E+002, 3.6820000E+000, 2.5482478E+000, 7.6214812E+000, 8.0522612E+000, 8.0473032E+000, 8.1000000E+001, 3.4834684E+000
 7.5783019E+001, 9.9203928E+002, 2.2551591E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3712000E+002, 3.8810000E+000, 2.5482478E+000, 7.6214812E+000, 8.0522612E+000, 8.0473032E+000, 8.5500000E+001, 3.4834684E+000
 7.9745283E+001, 9.9203928E+002, 2.2551591E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4160000E+002, 4.0800000E+000, 1.9705678E+000, 6.0464211E+000, 6.3813491E+000, 6.3986262E+000, 9.0000000E+001, 3.3932497E+000
 8.3707547E+001, 9.9203928E+002, 2.2551591E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4608000E+002, 4.2790000E+000, 1.9705678E+000, 6.0464211E+000, 6.3813491E+000, 6.3986262E+000, 9.4500000E+001, 3.3932497E+000
 8.7669811E+001, 9.9203928E+002, 2.2551591E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5056000E+002, 4.4780000E+000, 1.9705678E+000, 6.0464211E+000, 6.3813491E+000, 6.3986262E+000, 9.9000000E+001, 3.3932497E+000
 9.1632075E+001, 9.3115160E+002, 2.3850966E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5504000E+002, 4.6770000E+000, 1.9705678E+000, 6.0464211E+000, 6.3813491E+000, 6.3986262E+000, 1.0350000E+002, 3.3932497E+000
 9.5594340E+001, 9.3115160E+002, 2.3850966E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5952000E+002, 4.8760000E+000, 1.9705678E+000, 6.0464211E+000, 6.3813491E+000, 6.3986262E+000, 1.0800000E+002, 3.3932497E+000
 9.9556604E+001, 9.3115160E+002, 2.3850966E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.6400000E+002, 5.0750000E+000, 1.5420523E+000, 4.8737861E+000, 5.1354322E+000, 5.1618493E+000, 1.1250000E+002, 3.2080389E+000
