cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 2.5000000E-001, 9.2769011E+002, 9.3385738E+002, 5.6312521E-001, 1.5186682E+002, 2.0539687E+002, 2.4091483E-001, 4.7565255E-002, 6.0354280E-002, 1.3204047E-002, 1.5478278E-001, 9.7884022E-002, 1.1592240E-002, 6.0844815E-001, 1.2233656E-002, 2.4545755E-003
 2.2806122E+000, 9.8127648E+002, 9.9122112E+002, 9.4197610E-001, 1.5376362E+002, 2.1245820E+002, 3.2118686E-001, 4.8114961E-002, 6.2870334E-002, 1.3220718E-002, 1.2996041E-001, 1.0145233E-001, 1.1601019E-002, 6.2653164E-001, 1.2394811E-002, 2.5162593E-003
 4.3112245E+000, 1.0232825E+003, 1.0373211E+003, 1.3021056E+000, 1.4978423E+002, 2.1477456E+002, 3.9218930E-001, 4.8718868E-002, 6.4815051E-002, 1.3067269E-002, 1.1103022E-001, 1.0406293E-001, 1.1459950E-002, 6.4059123E-001, 1.2362520E-002, 2.5417297E-003
 6.3418367E+000, 1.0582611E+003, 1.0740388E+003, 1.6256791E+000, 1.4688293E+002, 2.2389007E+002, 4.5736689E-001, 4.9409217E-002, 6.6291752E-002, 1.2882806E-002, 9.6002139E-002, 1.0598814E-001, 1.1292439E-002, 6.5189721E-001, 1.2282961E-002, 2.5538059E-003
 8.3724490E+000, 1.0837659E+003, 1.0999709E+003, 1.9081320E+000, 1.4215550E+002, 2.2917765E+002, 5.2505150E-001, 5.0815324E-002, 6.7310091E-002, 1.2338850E-002, 8.3978538E-002, 1.0695580E-001, 1.0806480E-002, 6.6171010E-001, 1.1817969E-002, 2.5037779E-003
 1.0403061E+001, 1.1030524E+003, 1.1186868E+003, 2.1579155E+000, 1.3656568E+002, 2.3244719E+002, 5.9092909E-001, 5.2543599E-002, 6.7938325E-002, 1.1797836E-002, 7.3820066E-002, 1.0738318E-001, 1.0324076E-002, 6.7027007E-001, 1.1346564E-002, 2.4474094E-003
 1.2433673E+001, 1.1159397E+003, 1.1295841E+003, 2.3745189E+000, 1.3126894E+002, 2.3750555E+002, 6.6626554E-001, 5.5231020E-002, 6.7990784E-002, 1.1164745E-002, 6.4747601E-002, 1.0693508E-001, 9.7612120E-003, 6.7845631E-001, 1.0774081E-002, 2.3689447E-003
 1.4464286E+001, 1.1251382E+003, 1.1347828E+003, 2.5632612E+000, 1.2761041E+002, 2.4955020E+002, 7.4515209E-001, 5.8583696E-002, 6.7568811E-002, 1.0546944E-002, 5.6558709E-002, 1.0584588E-001, 9.2130812E-003, 6.8618811E-001, 1.0213090E-002, 2.2860093E-003
 1.6494898E+001, 1.1296644E+003, 1.1347931E+003, 2.7276970E+000, 1.2707571E+002, 2.6450824E+002, 8.1864534E-001, 6.2413804E-002, 6.6863367E-002, 9.8020439E-003, 4.9425697E-002, 1.0425156E-001, 8.5526559E-003, 6.9346527E-001, 9.5149930E-003, 2.1794203E-003
