Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 8.797E+02, 9.854E+03, 4.553E+03, 5.276E+03, 5.935E+03, 9.304E+02, 4.834E+03, 2.169E+01, 3.097E+05, 1.878E+02, 1.007E+05, 0.000E+00, 0.000E+00, 3.905E+03, 0.000E+00, 4.468E+05
    1,-7.268E+01, 9.891E+03, 4.543E+03, 5.598E+03, 6.306E+03, 1.095E+03, 3.381E+03, 2.121E+01, 3.081E+05, 1.928E+02, 1.036E+05, 0.000E+00, 0.000E+00, 4.098E+03, 0.000E+00, 4.468E+05
    2,-7.103E+01, 1.001E+04, 4.574E+03, 5.587E+03, 6.274E+03, 1.083E+03, 3.243E+03, 2.070E+01, 3.070E+05, 1.926E+02, 1.049E+05, 0.000E+00, 0.000E+00, 4.022E+03, 0.000E+00, 4.468E+05
    3, 1.025E+03, 9.867E+03, 4.545E+03, 5.483E+03, 6.166E+03, 1.080E+03, 2.882E+03, 2.095E+01, 3.094E+05, 1.911E+02, 1.021E+05, 0.000E+00, 0.000E+00, 4.087E+03, 0.000E+00, 4.468E+05
    4,-5.712E+01, 9.978E+03, 4.602E+03, 5.549E+03, 6.310E+03, 1.046E+03, 3.191E+03, 2.096E+01, 3.088E+05, 1.945E+02, 1.031E+05, 0.000E+00, 0.000E+00, 4.051E+03, 0.000E+00, 4.468E+05
    5, 2.785E+02, 9.643E+03, 4.717E+03, 5.799E+03, 2.764E+04, 2.482E+03, 1.976E+03, 2.571E+01, 3.630E+05, 6.095E+02, 1.963E+04, 0.000E+00, 0.000E+00, 1.103E+04, 0.000E+00, 4.468E+05
    6, 3.141E+02, 9.619E+03, 4.714E+03, 5.754E+03, 2.901E+04, 2.476E+03, 1.911E+03, 2.568E+01, 3.631E+05, 6.478E+02, 1.831E+04, 0.000E+00, 0.000E+00, 1.094E+04, 0.000E+00, 4.468E+05
    7,-1.353E+02, 1.001E+04, 4.574E+03, 5.738E+03, 6.344E+03, 1.191E+03, 1.517E+03, 1.851E+01, 3.077E+05, 1.991E+02, 1.054E+05, 0.000E+00, 0.000E+00, 4.146E+03, 0.000E+00, 4.468E+05
    8,-6.458E+01, 9.801E+03, 4.547E+03, 5.585E+03, 6.243E+03, 1.063E+03, 3.469E+03, 2.026E+01, 3.072E+05, 1.899E+02, 1.047E+05, 0.000E+00, 0.000E+00, 4.041E+03, 0.000E+00, 4.468E+05
    9, 2.865E+02, 9.494E+03, 4.641E+03, 5.810E+03, 2.843E+04, 2.509E+03, 2.548E+03, 2.461E+01, 3.631E+05, 5.810E+02, 1.820E+04, 0.000E+00, 0.000E+00, 1.112E+04, 0.000E+00, 4.468E+05
   10, 2.992E+02, 9.589E+03, 4.722E+03, 5.742E+03, 2.882E+04, 2.486E+03, 2.587E+03, 2.556E+01, 3.639E+05, 6.241E+02, 1.690E+04, 0.000E+00, 0.000E+00, 1.105E+04, 0.000E+00, 4.468E+05
   11,-1.657E+02, 9.982E+03, 4.626E+03, 5.803E+03, 6.336E+03, 1.199E+03, 2.698E+03, 2.032E+01, 3.075E+05, 1.982E+02, 1.044E+05, 0.000E+00, 0.000E+00, 4.138E+03, 0.000E+00, 4.468E+05
   12, 1.284E+03, 9.983E+03, 4.479E+03, 5.253E+03, 6.023E+03, 9.237E+02, 4.898E+03, 2.037E+01, 3.064E+05, 1.833E+02, 1.035E+05, 0.000E+00, 0.000E+00, 3.868E+03, 0.000E+00, 4.468E+05
   13,-6.231E+01, 9.942E+03, 4.599E+03, 5.622E+03, 6.240E+03, 1.079E+03, 3.397E+03, 1.979E+01, 3.072E+05, 1.919E+02, 1.045E+05, 0.000E+00, 0.000E+00, 4.065E+03, 0.000E+00, 4.468E+05
   14,-5.957E+01, 1.002E+04, 4.633E+03, 5.577E+03, 6.231E+03, 1.075E+03, 3.377E+03, 2.010E+01, 3.071E+05, 1.928E+02, 1.045E+05, 0.000E+00, 0.000E+00, 4.058E+03, 0.000E+00, 4.468E+05
   15, 1.144E+03, 9.802E+03, 4.606E+03, 5.574E+03, 6.179E+03, 1.076E+03, 3.579E+03, 2.025E+01, 3.090E+05, 1.850E+02, 1.016E+05, 0.000E+00, 0.000E+00, 4.026E+03, 0.000E+00, 4.468E+05
   16, 1.164E+03, 9.504E+03, 4.682E+03, 5.668E+03, 5.775E+03, 1.018E+03, 3.443E+03, 2.029E+01, 3.163E+05, 1.856E+02, 9.495E+04, 0.000E+00, 0.000E+00, 4.112E+03, 0.000E+00, 4.468E+05
   17, 9.164E+02, 1.000E+04, 4.607E+03, 5.927E+03, 5.981E+03, 1.200E+03, 2.670E+03, 2.034E+01, 3.083E+05, 1.966E+02, 1.027E+05, 0.000E+00, 0.000E+00, 4.245E+03, 0.000E+00, 4.468E+05
