cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 3.6801020E+001, 1.0581722E+003, 1.0634277E+003, 3.9692337E+000, 3.1738826E+002, 3.6001890E+002, 1.4759507E+000, 1.0801709E-001, 4.0583955E-002, 4.3521106E-003, 2.5504626E-002, 8.9302932E-002, 4.5811690E-003, 7.2742906E-001, 4.5843864E-003, 1.0346210E-004
 3.8831633E+001, 1.0305477E+003, 1.0343537E+003, 3.9914574E+000, 3.2765986E+002, 3.6982857E+002, 1.4919728E+000, 1.1318577E-001, 3.8958104E-002, 3.8984536E-003, 2.1167522E-002, 8.5600332E-002, 4.1036353E-003, 7.3288100E-001, 4.0981609E-003, 9.2488783E-005
 4.0862245E+001, 1.0011042E+003, 1.0033643E+003, 3.9994444E+000, 3.3631023E+002, 3.7813428E+002, 1.5089545E+000, 1.1833185E-001, 3.7261445E-002, 3.4812815E-003, 1.7428779E-002, 8.1792194E-002, 3.6645069E-003, 7.3785672E-001, 3.6532156E-003, 8.2447097E-005
 4.2892857E+001, 9.7142346E+002, 9.7218018E+002, 4.0015204E+000, 3.4419919E+002, 3.8567387E+002, 1.5201576E+000, 1.2325036E-001, 3.5596230E-002, 3.0857093E-003, 1.4292964E-002, 7.8067067E-002, 3.2481151E-003, 7.4229715E-001, 3.2325085E-003, 7.2952425E-005
 4.4923469E+001, 9.4160442E+002, 9.4095239E+002, 4.0038723E+000, 3.4949316E+002, 3.9034896E+002, 1.5188242E+000, 1.2798709E-001, 3.3948004E-002, 2.7089985E-003, 1.1713241E-002, 7.4393413E-002, 2.8515774E-003, 7.4625509E-001, 2.8329719E-003, 6.3935538E-005
 4.6954082E+001, 9.1157328E+002, 9.0959841E+002, 3.9997329E+000, 3.5180003E+002, 3.9184972E+002, 1.5171345E+000, 1.3260807E-001, 3.2300148E-002, 2.3474683E-003, 9.5756031E-003, 7.0734654E-002, 2.4710192E-003, 7.4983949E-001, 2.4517543E-003, 5.5332082E-005
 4.8984694E+001, 8.8082635E+002, 8.7778757E+002, 3.9874570E+000, 3.5059536E+002, 3.8932427E+002, 1.5128380E+000, 1.3718267E-001, 3.0619237E-002, 2.0157121E-003, 7.7987190E-003, 6.7039623E-002, 2.1218022E-003, 7.5311615E-001, 2.1026819E-003, 4.7454088E-005
 5.1015306E+001, 8.3582293E+002, 8.3150587E+002, 3.9689232E+000, 3.4531195E+002, 3.8209025E+002, 1.5041938E+000, 1.4367000E-001, 2.8185754E-002, 1.5663420E-003, 5.6553474E-003, 6.1720909E-002, 1.6487811E-003, 7.5747043E-001, 1.6300582E-003, 3.6787746E-005
 5.3045918E+001, 8.0763910E+002, 8.0259724E+002, 3.9483348E+000, 3.3990588E+002, 3.7558092E+002, 1.4900475E+000, 1.4764006E-001, 2.6674311E-002, 1.3034754E-003, 4.4927719E-003, 5.8433753E-002, 1.3720794E-003, 7.6001495E-001, 1.3543648E-003, 3.0565796E-005
 5.5076531E+001, 7.8079290E+002, 7.7505201E+002, 3.9315152E+000, 3.3240904E+002, 3.6696933E+002, 1.4660798E+000, 1.5133943E-001, 2.5242855E-002, 1.0730121E-003, 3.5509465E-003, 5.5339257E-002, 1.1294865E-003, 7.6226854E-001, 1.1135153E-003, 2.5130217E-005
