s,kg/m2/s,kW/m2,kW/m2,C,C,m/s
Time,"MLRPUA","HEAT_FLUX","MLRPUA_ideal","T_SURF_MEAN","T_SURF_MAX","w"
 0.0000000E+000, 0.0000000E+000, 4.1003557E-005, 3.7313237E-008, 2.5000000E+001, 2.5000000E+001, 0.0000000E+000
 3.9916245E-002, 6.5028945E-004,-1.1871556E-002,-1.0803116E-005, 2.6579844E+001, 2.6579844E+001,-6.5467365E-006
 7.9832489E-002, 1.2985122E-003,-2.5540932E-002,-2.3242248E-005, 2.8154668E+001, 2.8154668E+001, 1.5616268E-004
 1.1974873E-001, 1.9426276E-003, 2.2546672E-001, 2.0517472E-004, 2.9719513E+001, 2.9719513E+001, 3.2519615E-003
 1.5966498E-001, 2.5806469E-003, 5.5979158E-001, 5.0941034E-004, 3.1269547E+001, 3.1269547E+001, 8.9880571E-003
 1.9958122E-001, 3.2106570E-003, 1.0121307E+000, 9.2103893E-004, 3.2800124E+001, 3.2800124E+001, 1.5441473E-002
 2.3949747E-001, 3.8308428E-003, 2.1370535E+000, 1.9447187E-003, 3.4306833E+001, 3.4306833E+001, 2.3017696E-002
 2.7941371E-001, 4.4395066E-003, 3.6630403E+000, 3.3333667E-003, 3.5785550E+001, 3.5785550E+001, 3.1423308E-002
 3.1932996E-001, 5.0350853E-003, 6.1768081E+000, 5.6208954E-003, 3.7232477E+001, 3.7232477E+001, 4.0564281E-002
 3.5924620E-001, 5.6161633E-003, 1.0010960E+001, 9.1099737E-003, 3.8644176E+001, 3.8644176E+001, 4.7839735E-002
 3.9916245E-001, 6.1814831E-003, 1.3898438E+001, 1.2647579E-002, 4.0017591E+001, 4.0017591E+001, 5.1745633E-002
 4.3907869E-001, 6.7299518E-003, 1.7721029E+001, 1.6126136E-002, 4.1350067E+001, 4.1350067E+001, 5.3121511E-002
 4.7899494E-001, 7.2606447E-003, 2.1303033E+001, 1.9385760E-002, 4.2639358E+001, 4.2639358E+001, 5.4860457E-002
 5.1891118E-001, 7.7728053E-003, 2.4892945E+001, 2.2652580E-002, 4.3883625E+001, 4.3883625E+001, 5.8689546E-002
 5.5882742E-001, 8.2658427E-003, 2.7829864E+001, 2.5325177E-002, 4.5081434E+001, 4.5081434E+001, 6.5055423E-002
 5.9874367E-001, 8.7393263E-003, 3.0802640E+001, 2.8030403E-002, 4.6231737E+001, 4.6231737E+001, 7.3405799E-002
 6.3342040E-001, 9.1345677E-003, 3.2860727E+001, 2.9903262E-002, 4.7191956E+001, 4.7191956E+001, 8.1513189E-002
 6.6332796E-001, 9.4633545E-003, 3.6254061E+001, 3.2991195E-002, 4.7990726E+001, 4.7990726E+001, 8.9217385E-002
 6.8925484E-001, 9.7393003E-003, 3.5938143E+001, 3.2703710E-002, 4.8661122E+001, 4.8661122E+001, 9.6584630E-002
 7.0994046E-001, 9.9534238E-003, 3.5798407E+001, 3.2576550E-002, 4.9181324E+001, 4.9181324E+001, 1.0365840E-001
 7.2709586E-001, 1.0126952E-002, 3.4836469E+001, 3.1701187E-002, 4.9602902E+001, 4.9602902E+001, 1.1136151E-001
 7.4230576E-001, 1.0277741E-002, 2.8505217E+001, 2.5939747E-002, 4.9969235E+001, 4.9969235E+001, 1.1926801E-001
 7.5751567E-001, 1.0425664E-002, 2.1880928E+001, 1.9911644E-002, 5.0328608E+001, 5.0328608E+001, 1.1614253E-001
 7.7076354E-001, 1.0552183E-002, 1.7386124E+001, 1.5821373E-002, 5.0635979E+001, 5.0635979E+001, 1.0231085E-001
 7.8401141E-001, 1.0676551E-002, 1.6436220E+001, 1.4956960E-002, 5.0938124E+001, 5.0938124E+001, 9.6320082E-002
 7.9558693E-001, 1.0783467E-002, 1.6625654E+001, 1.5129345E-002, 5.1197870E+001, 5.1197870E+001, 1.0203631E-001
 8.0716244E-001, 1.0888758E-002, 1.6801556E+001, 1.5289416E-002, 5.1453669E+001, 5.1453669E+001, 1.0994099E-001
 8.1671808E-001, 1.0974458E-002, 1.6339258E+001, 1.4868725E-002, 5.1661873E+001, 5.1661873E+001, 1.1634925E-001
 8.2627373E-001, 1.1059063E-002, 1.6351088E+001, 1.4879490E-002, 5.1867416E+001, 5.1867416E+001, 1.2201781E-001
 8.3582937E-001, 1.1142577E-002, 1.6214491E+001, 1.4755186E-002, 5.2070310E+001, 5.2070310E+001, 1.2759632E-001
 8.4538501E-001, 1.1225008E-002, 1.6053961E+001, 1.4609104E-002, 5.2270572E+001, 5.2270572E+001, 1.3298482E-001
 8.5494065E-001, 1.1306361E-002, 1.6037281E+001, 1.4593926E-002, 5.2468214E+001, 5.2468214E+001, 1.3768266E-001
 8.6449630E-001, 1.1386643E-002, 1.6131174E+001, 1.4679369E-002, 5.2663255E+001, 5.2663255E+001, 1.4191678E-001
 8.7405194E-001, 1.1465860E-002, 1.6214111E+001, 1.4754841E-002, 5.2855708E+001, 5.2855708E+001, 1.4610024E-001
 8.8360758E-001, 1.1544019E-002, 1.6402176E+001, 1.4925980E-002, 5.3045592E+001, 5.3045592E+001, 1.5093261E-001
 8.9316323E-001, 1.1621127E-002, 1.6277426E+001, 1.4812458E-002, 5.3232923E+001, 5.3232923E+001, 1.5629222E-001
 9.0271887E-001, 1.1697192E-002, 1.6415502E+001, 1.4938107E-002, 5.3417719E+001, 5.3417719E+001, 1.6208251E-001
 9.1227451E-001, 1.1772221E-002, 1.6544248E+001, 1.5055266E-002, 5.3599997E+001, 5.3599997E+001, 1.6799188E-001
 9.2183015E-001, 1.1846222E-002, 1.6959303E+001, 1.5432966E-002, 5.3779778E+001, 5.3779778E+001, 1.7382746E-001
 9.3138580E-001, 1.1919201E-002, 1.7270944E+001, 1.5716559E-002, 5.3957078E+001, 5.3957078E+001, 1.7956423E-001
 9.4094144E-001, 1.1991168E-002, 1.7466784E+001, 1.5894774E-002, 5.4131918E+001, 5.4131918E+001, 1.8550240E-001
 9.5145265E-001, 1.2069172E-002, 1.7778584E+001, 1.6178511E-002, 5.4321424E+001, 5.4321424E+001, 1.9139967E-001
 9.6196385E-001, 1.2145971E-002, 1.8219584E+001, 1.6579822E-002, 5.4508002E+001, 5.4508002E+001, 1.9753079E-001
 9.7247506E-001, 1.2221576E-002, 1.8529410E+001, 1.6861763E-002, 5.4691681E+001, 5.4691681E+001, 2.0360425E-001
 9.8298627E-001, 1.2295998E-002, 1.8892896E+001, 1.7192535E-002, 5.4872487E+001, 5.4872487E+001, 2.0958104E-001
 9.9349747E-001, 1.2369250E-002, 1.8990516E+001, 1.7281369E-002, 5.5050448E+001, 5.5050448E+001, 2.1447106E-001
 1.0018759E+000, 1.2426808E-002, 1.9363272E+001, 1.7620577E-002, 5.5190282E+001, 5.5190282E+001, 2.1805458E-001
 1.0102543E+000, 1.2483635E-002, 1.9613508E+001, 1.7848292E-002, 5.5328340E+001, 5.5328340E+001, 2.2203955E-001
 1.0186327E+000, 1.2539737E-002, 1.9955737E+001, 1.8159721E-002, 5.5464638E+001, 5.5464638E+001, 2.2685430E-001
 1.0259127E+000, 1.2587901E-002, 2.0309040E+001, 1.8481227E-002, 5.5581649E+001, 5.5581649E+001, 2.3136099E-001
