Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0,-3.515E+00, 3.591E+03, 1.427E+03, 1.886E+03, 9.216E+03, 6.273E+02, 2.915E+02, 4.804E-01, 1.540E+03, 1.774E+02, 1.142E+03, 0.000E+00, 0.000E+00, 1.899E+03, 0.000E+00, 2.179E+04
    1, 9.654E+01, 3.604E+03, 1.421E+03, 1.864E+03, 9.470E+03, 6.190E+02, 2.228E+02, 5.280E-01, 1.487E+03, 1.781E+02, 9.516E+02, 0.000E+00, 0.000E+00, 1.879E+03, 0.000E+00, 2.179E+04
    2, 7.465E+01, 3.617E+03, 1.437E+03, 1.900E+03, 9.635E+03, 6.127E+02, 2.200E+02, 5.212E-01, 1.545E+03, 1.802E+02, 6.592E+02, 0.000E+00, 0.000E+00, 1.912E+03, 0.000E+00, 2.179E+04
    3, 8.016E+01, 3.620E+03, 1.424E+03, 1.892E+03, 9.477E+03, 6.156E+02, 2.240E+02, 5.024E-01, 1.511E+03, 1.805E+02, 8.818E+02, 0.000E+00, 0.000E+00, 1.887E+03, 0.000E+00, 2.179E+04
    4,-7.478E+01, 3.603E+03, 1.439E+03, 1.865E+03, 1.633E+03, 4.977E+02, 2.466E+02, 5.540E-01, 1.537E+03, 2.638E+02, 9.592E+03, 0.000E+00, 0.000E+00, 1.192E+03, 0.000E+00, 2.179E+04
    5,-7.873E+01, 3.585E+03, 1.431E+03, 1.902E+03, 1.622E+03, 4.968E+02, 2.480E+02, 5.752E-01, 1.505E+03, 2.728E+02, 9.621E+03, 0.000E+00, 0.000E+00, 1.189E+03, 0.000E+00, 2.179E+04
    6,-9.132E+01, 3.573E+03, 1.421E+03, 1.815E+03, 1.643E+03, 4.783E+02, 2.556E+02, 5.559E-01, 1.487E+03, 2.638E+02, 9.771E+03, 0.000E+00, 0.000E+00, 1.177E+03, 0.000E+00, 2.179E+04
    7,-8.925E+01, 3.593E+03, 1.428E+03, 1.841E+03, 1.673E+03, 4.882E+02, 2.600E+02, 5.526E-01, 1.520E+03, 2.679E+02, 9.632E+03, 0.000E+00, 0.000E+00, 1.179E+03, 0.000E+00, 2.179E+04
