cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 1.0000000E+000, 7.1009153E+002, 7.1021645E+002, 1.7813086E-001, 2.8047007E+001, 3.0717500E+001, 5.2770766E-002, 6.4216660E-002, 4.7570819E-002, 1.8667763E-002, 2.6506280E-001, 6.3188993E-002, 1.1604489E-002, 5.2395205E-001, 1.4554364E-002, 1.9177394E-003
 3.0000000E+000, 7.5900349E+002, 7.6016056E+002, 1.7813086E-001, 2.4796050E+001, 2.8282000E+001, 5.2770766E-002, 6.7585807E-002, 5.0112370E-002, 1.9667821E-002, 2.2607978E-001, 6.6565447E-002, 1.2226167E-002, 5.5171903E-001, 1.5843830E-002, 2.0875931E-003
 5.0000000E+000, 8.0461250E+002, 8.0728967E+002, 7.4404748E-001, 2.7099833E+001, 3.2494567E+001, 1.0676900E-001, 6.9792089E-002, 5.2451817E-002, 2.0595795E-002, 1.9443996E-001, 6.9660080E-002, 1.2803057E-002, 5.7392899E-001, 1.7059764E-002, 2.2476568E-003
 7.0000000E+000, 8.4271200E+002, 8.4681482E+002, 1.0502359E+000, 3.0846894E+001, 3.8851804E+001, 1.4309760E-001, 7.0715513E-002, 5.4654511E-002, 2.1289671E-002, 1.7102704E-001, 7.2435920E-002, 1.3233813E-002, 5.9009225E-001, 1.8013653E-002, 2.3769768E-003
 9.0000000E+000, 8.7626139E+002, 8.8184886E+002, 1.3524526E+000, 3.6274940E+001, 4.7461660E+001, 1.8288497E-001, 7.0922824E-002, 5.6838469E-002, 2.1762550E-002, 1.5222864E-001, 7.5036793E-002, 1.3526469E-002, 6.0296553E-001, 1.8737340E-002, 2.4806740E-003
 1.1000000E+001, 9.0572937E+002, 9.1283852E+002, 1.6391673E+000, 4.1820731E+001, 5.5818844E+001, 2.2295376E-001, 7.0848568E-002, 5.8907372E-002, 2.2000573E-002, 1.3671901E-001, 7.7361410E-002, 1.3672492E-002, 6.1366569E-001, 1.9215302E-002, 2.5564008E-003
 1.3000000E+001, 9.3138610E+002, 9.4003045E+002, 1.9063953E+000, 4.6483529E+001, 6.2618733E+001, 2.6219914E-001, 7.0697148E-002, 6.0816911E-002, 2.2026447E-002, 1.2372764E-001, 7.9381793E-002, 1.3686132E-002, 6.2278951E-001, 1.9465104E-002, 2.6056717E-003
 1.5000000E+001, 9.5355174E+002, 9.6367874E+002, 2.1516807E+000, 5.0128371E+001, 6.7830580E+001, 2.9979370E-001, 7.0566568E-002, 6.2541877E-002, 2.1882261E-002, 1.1276401E-001, 8.1100248E-002, 1.3593729E-002, 6.3067404E-001, 1.9525791E-002, 2.6324516E-003
 1.7000000E+001, 9.7280619E+002, 9.8432885E+002, 2.3776146E+000, 5.2948947E+001, 7.1799412E+001, 3.3420278E-001, 7.0502651E-002, 6.4086781E-002, 2.1623840E-002, 1.0330983E-001, 8.2558009E-002, 1.3430167E-002, 6.3764121E-001, 1.9453966E-002, 2.6429640E-003
