s,m/s
Time,"w"
 1.1224983E+000, 2.3892440E+000
 1.1245735E+000, 2.3612256E+000
 1.1266488E+000, 2.3277007E+000
 1.1287240E+000, 2.2899829E+000
 1.1307993E+000, 2.2501818E+000
 1.1328745E+000, 2.2088822E+000
 1.1349498E+000, 2.1695802E+000
 1.1370250E+000, 2.1353974E+000
 1.1391003E+000, 2.1076385E+000
 1.1411755E+000, 2.0874564E+000
 1.1432507E+000, 2.0735540E+000
 1.1453260E+000, 2.0638212E+000
 1.1474012E+000, 2.0626083E+000
 1.1494765E+000, 2.0652080E+000
 1.1515517E+000, 2.0716441E+000
 1.1536270E+000, 2.0814241E+000
 1.1557022E+000, 2.0947693E+000
 1.1577775E+000, 2.1088781E+000
 1.1598527E+000, 2.1232976E+000
 1.1619280E+000, 2.1340199E+000
 1.1640032E+000, 2.1468486E+000
 1.1660784E+000, 2.1587376E+000
 1.1683612E+000, 2.1705897E+000
 1.1706440E+000, 2.1778554E+000
 1.1729268E+000, 2.1814518E+000
 1.1752095E+000, 2.1835009E+000
 1.1774923E+000, 2.1844118E+000
 1.1797751E+000, 2.1851020E+000
 1.1820578E+000, 2.1842423E+000
 1.1843406E+000, 2.1856234E+000
 1.1866234E+000, 2.1895860E+000
 1.1889062E+000, 2.1947861E+000
 1.1911889E+000, 2.2018775E+000
 1.1934717E+000, 2.2143618E+000
 1.1957545E+000, 2.2324941E+000
 1.1980372E+000, 2.2538819E+000
 1.2003200E+000, 2.2774164E+000
 1.2026028E+000, 2.3023024E+000
 1.2048855E+000, 2.3249051E+000
 1.2071683E+000, 2.3450467E+000
 1.2094511E+000, 2.3610428E+000
 1.2117339E+000, 2.3684820E+000
 1.2140166E+000, 2.3664818E+000
 1.2162994E+000, 2.3561449E+000
 1.2185822E+000, 2.3383032E+000
 1.2208649E+000, 2.3143941E+000
 1.2231477E+000, 2.2851196E+000
 1.2254305E+000, 2.2519397E+000
 1.2277132E+000, 2.2178578E+000
 1.2299960E+000, 2.1868553E+000
 1.2322788E+000, 2.1605319E+000
 1.2345616E+000, 2.1407069E+000
 1.2368443E+000, 2.1291080E+000
 1.2391271E+000, 2.1240638E+000
 1.2414099E+000, 2.1243381E+000
 1.2436926E+000, 2.1297526E+000
 1.2459754E+000, 2.1411978E+000
 1.2482582E+000, 2.1561982E+000
 1.2505410E+000, 2.1718704E+000
 1.2528237E+000, 2.1874456E+000
 1.2551065E+000, 2.2014354E+000
 1.2573893E+000, 2.2128427E+000
 1.2593955E+000, 2.2208065E+000
 1.2614017E+000, 2.2263362E+000
 1.2634079E+000, 2.2307776E+000
 1.2654141E+000, 2.2345394E+000
 1.2674203E+000, 2.2355037E+000
 1.2694265E+000, 2.2340467E+000
 1.2714327E+000, 2.2313304E+000
 1.2736395E+000, 2.2262283E+000
 1.2758464E+000, 2.2199688E+000
 1.2780532E+000, 2.2146555E+000
 1.2802600E+000, 2.2087625E+000
 1.2824669E+000, 2.2013227E+000
 1.2846737E+000, 2.1930614E+000
 1.2868805E+000, 2.1849868E+000
 1.2890873E+000, 2.1794288E+000
 1.2912942E+000, 2.1770498E+000
 1.2935010E+000, 2.1766376E+000
 1.2957078E+000, 2.1788481E+000
 1.2979146E+000, 2.1837455E+000
 1.3001215E+000, 2.1925350E+000
 1.3023283E+000, 2.2036500E+000
 1.3045351E+000, 2.2156321E+000
 1.3067420E+000, 2.2302240E+000
 1.3089488E+000, 2.2489689E+000
 1.3111556E+000, 2.2692898E+000
 1.3133624E+000, 2.2880257E+000
 1.3155693E+000, 2.3054507E+000
 1.3177761E+000, 2.3230452E+000
 1.3199829E+000, 2.3402758E+000
 1.3221898E+000, 2.3581077E+000
 1.3243966E+000, 2.3750270E+000
 1.3266034E+000, 2.3866461E+000
 1.3288102E+000, 2.3963483E+000
 1.3310171E+000, 2.4010770E+000
 1.3332239E+000, 2.3990960E+000
 1.3354307E+000, 2.3951402E+000
 1.3376376E+000, 2.3893155E+000
 1.3398444E+000, 2.3800279E+000
 1.3420512E+000, 2.3667046E+000
 1.3442580E+000, 2.3490665E+000
 1.3464649E+000, 2.3341547E+000
 1.3486717E+000, 2.3184902E+000
 1.3508785E+000, 2.3033608E+000
 1.3530854E+000, 2.2885350E+000
 1.3552922E+000, 2.2750742E+000
 1.3574990E+000, 2.2645866E+000
 1.3597058E+000, 2.2564129E+000
 1.3619127E+000, 2.2486301E+000
 1.3638922E+000, 2.2424470E+000
 1.3658718E+000, 2.2383076E+000
 1.3678513E+000, 2.2354952E+000
 1.3698309E+000, 2.2335175E+000
 1.3718104E+000, 2.2322174E+000
 1.3737900E+000, 2.2319040E+000
 1.3757695E+000, 2.2320968E+000
 1.3777491E+000, 2.2317307E+000
 1.3797286E+000, 2.2310922E+000
 1.3817082E+000, 2.2298444E+000
 1.3836877E+000, 2.2282044E+000
 1.3856673E+000, 2.2259440E+000
 1.3876468E+000, 2.2233864E+000
 1.3896264E+000, 2.2196952E+000
 1.3916059E+000, 2.2150823E+000
 1.3935855E+000, 2.2102097E+000
 1.3955650E+000, 2.2053882E+000
 1.3975446E+000, 2.2027917E+000
 1.3995241E+000, 2.2008809E+000
 1.4015037E+000, 2.2002093E+000
 1.4034832E+000, 2.1988157E+000
 1.4054628E+000, 2.1954563E+000
 1.4074423E+000, 2.1928134E+000
 1.4094219E+000, 2.1903478E+000
 1.4114014E+000, 2.1888187E+000
 1.4133810E+000, 2.1869878E+000
 1.4153605E+000, 2.1838993E+000
 1.4173401E+000, 2.1809050E+000
 1.4193196E+000, 2.1790501E+000
 1.4212992E+000, 2.1769895E+000
 1.4232787E+000, 2.1742192E+000
 1.4252583E+000, 2.1695556E+000
 1.4272378E+000, 2.1637300E+000
 1.4292174E+000, 2.1582406E+000
 1.4311969E+000, 2.1526326E+000
 1.4331765E+000, 2.1438216E+000
 1.4351560E+000, 2.1371979E+000
 1.4371356E+000, 2.1324449E+000
 1.4391151E+000, 2.1289534E+000
 1.4410947E+000, 2.1266034E+000
 1.4430742E+000, 2.1251203E+000
 1.4450538E+000, 2.1241469E+000
 1.4470333E+000, 2.1227920E+000
 1.4490129E+000, 2.1235111E+000
 1.4509924E+000, 2.1295755E+000
 1.4529720E+000, 2.1381525E+000
 1.4549516E+000, 2.1483628E+000
 1.4569311E+000, 2.1623783E+000
 1.4589107E+000, 2.1797562E+000
 1.4608902E+000, 2.1943608E+000
 1.4628698E+000, 2.2135352E+000
 1.4648493E+000, 2.2395676E+000
 1.4668289E+000, 2.2646075E+000
 1.4688084E+000, 2.2879396E+000
 1.4707880E+000, 2.3139553E+000
 1.4727675E+000, 2.3424929E+000
 1.4749450E+000, 2.3726415E+000
 1.4771225E+000, 2.4038123E+000
 1.4793000E+000, 2.4350306E+000
 1.4814775E+000, 2.4627880E+000
 1.4836550E+000, 2.4816596E+000
 1.4858325E+000, 2.4960035E+000
 1.4880100E+000, 2.5084742E+000
 1.4901876E+000, 2.5172914E+000
 1.4923651E+000, 2.5272057E+000
 1.4945426E+000, 2.5320179E+000
 1.4967201E+000, 2.5340228E+000
 1.4988976E+000, 2.5337610E+000
 1.5010751E+000, 2.5341191E+000
 1.5032526E+000, 2.5307631E+000
 1.5054301E+000, 2.5222736E+000
 1.5076076E+000, 2.5092151E+000
 1.5097851E+000, 2.4943550E+000
 1.5119626E+000, 2.4803091E+000
 1.5141401E+000, 2.4644224E+000
 1.5160893E+000, 2.4506820E+000
 1.5180386E+000, 2.4374084E+000
 1.5199878E+000, 2.4260702E+000
 1.5219370E+000, 2.4166934E+000
 1.5238862E+000, 2.4087984E+000
 1.5258355E+000, 2.4035275E+000
 1.5277847E+000, 2.4004802E+000
 1.5297339E+000, 2.3996288E+000
 1.5316831E+000, 2.4009028E+000
 1.5338273E+000, 2.4053956E+000
 1.5359714E+000, 2.4118435E+000
 1.5381156E+000, 2.4180544E+000
 1.5402597E+000, 2.4225250E+000
 1.5424039E+000, 2.4256932E+000
 1.5445480E+000, 2.4277869E+000
 1.5466922E+000, 2.4281203E+000
 1.5488363E+000, 2.4256963E+000
 1.5509805E+000, 2.4202796E+000
 1.5531246E+000, 2.4110730E+000
 1.5552688E+000, 2.3993615E+000
 1.5574129E+000, 2.3840842E+000
 1.5595571E+000, 2.3683025E+000
 1.5617012E+000, 2.3527264E+000
 1.5638454E+000, 2.3369000E+000
 1.5659895E+000, 2.3230940E+000
 1.5681337E+000, 2.3091715E+000
 1.5702778E+000, 2.2958381E+000
 1.5724220E+000, 2.2858672E+000
 1.5745661E+000, 2.2768706E+000
 1.5767103E+000, 2.2666461E+000
 1.5788544E+000, 2.2556108E+000
 1.5809986E+000, 2.2455243E+000
 1.5831427E+000, 2.2378515E+000
 1.5852868E+000, 2.2329333E+000
 1.5874310E+000, 2.2304123E+000
 1.5895751E+000, 2.2318558E+000
 1.5917193E+000, 2.2401782E+000
 1.5938634E+000, 2.2512124E+000
 1.5960076E+000, 2.2630817E+000
 1.5981517E+000, 2.2766819E+000
 1.6002959E+000, 2.2921840E+000
 1.6024400E+000, 2.3069455E+000
 1.6045842E+000, 2.3204297E+000
 1.6067283E+000, 2.3317704E+000
 1.6088725E+000, 2.3383643E+000
 1.6110166E+000, 2.3401304E+000
 1.6131608E+000, 2.3366134E+000
 1.6153049E+000, 2.3247921E+000
 1.6174491E+000, 2.3086440E+000
 1.6195932E+000, 2.2908756E+000
 1.6217374E+000, 2.2699947E+000
 1.6238815E+000, 2.2494616E+000
 1.6260257E+000, 2.2313313E+000
 1.6281698E+000, 2.2147496E+000
 1.6303140E+000, 2.1997007E+000
 1.6324581E+000, 2.1864637E+000
 1.6346023E+000, 2.1763721E+000
 1.6367464E+000, 2.1696320E+000
 1.6388906E+000, 2.1677954E+000
 1.6410347E+000, 2.1712427E+000
 1.6431788E+000, 2.1785402E+000
 1.6453230E+000, 2.1898236E+000
 1.6474671E+000, 2.2046747E+000
 1.6496113E+000, 2.2233652E+000
 1.6517554E+000, 2.2406772E+000
 1.6538996E+000, 2.2582354E+000
 1.6560437E+000, 2.2765914E+000
 1.6579588E+000, 2.2912447E+000
 1.6598738E+000, 2.3044174E+000
 1.6617889E+000, 2.3195503E+000
 1.6637039E+000, 2.3342734E+000
 1.6656189E+000, 2.3478124E+000
 1.6675340E+000, 2.3623973E+000
 1.6694490E+000, 2.3805857E+000
 1.6715556E+000, 2.4000326E+000
 1.6736621E+000, 2.4154705E+000
 1.6757687E+000, 2.4305892E+000
 1.6778752E+000, 2.4506239E+000
 1.6799818E+000, 2.4740524E+000
 1.6820883E+000, 2.4962055E+000
 1.6841948E+000, 2.5147464E+000
 1.6863014E+000, 2.5353269E+000
 1.6884079E+000, 2.5574202E+000
 1.6905145E+000, 2.5709426E+000
 1.6926210E+000, 2.5667145E+000
 1.6947276E+000, 2.5658924E+000
 1.6968341E+000, 2.5579082E+000
 1.6989407E+000, 2.5402990E+000
 1.7010472E+000, 2.5123251E+000
 1.7031538E+000, 2.4850360E+000
 1.7052603E+000, 2.4588065E+000
 1.7073668E+000, 2.4297100E+000
 1.7092272E+000, 2.4070873E+000
 1.7110876E+000, 2.3877257E+000
 1.7129481E+000, 2.3759684E+000
 1.7148085E+000, 2.3700877E+000
 1.7166689E+000, 2.3674489E+000
 1.7185293E+000, 2.3690159E+000
 1.7203897E+000, 2.3761282E+000
 1.7222501E+000, 2.3885711E+000
 1.7241105E+000, 2.4052688E+000
 1.7259709E+000, 2.4266278E+000
 1.7278313E+000, 2.4510236E+000
 1.7296917E+000, 2.4763240E+000
 1.7315521E+000, 2.5038061E+000
 1.7334125E+000, 2.5326597E+000
 1.7352729E+000, 2.5604100E+000
 1.7371333E+000, 2.5856110E+000
 1.7389937E+000, 2.6100369E+000
 1.7408541E+000, 2.6328340E+000
 1.7427145E+000, 2.6544981E+000
 1.7445749E+000, 2.6742748E+000
 1.7464353E+000, 2.6912458E+000
 1.7482957E+000, 2.7062443E+000
 1.7501561E+000, 2.7207299E+000
 1.7520165E+000, 2.7329605E+000
 1.7538769E+000, 2.7440514E+000
 1.7557373E+000, 2.7533062E+000
 1.7575977E+000, 2.7612213E+000
 1.7594581E+000, 2.7692300E+000
 1.7613185E+000, 2.7720975E+000
 1.7631789E+000, 2.7718266E+000
 1.7650393E+000, 2.7682314E+000
 1.7668997E+000, 2.7628260E+000
 1.7687601E+000, 2.7517410E+000
 1.7706205E+000, 2.7427866E+000
 1.7724809E+000, 2.7335242E+000
 1.7743413E+000, 2.7213014E+000
 1.7762017E+000, 2.7088456E+000
 1.7780621E+000, 2.6970973E+000
 1.7799225E+000, 2.6863752E+000
 1.7817829E+000, 2.6757648E+000
 1.7836433E+000, 2.6647996E+000
 1.7855037E+000, 2.6541368E+000
 1.7873641E+000, 2.6447246E+000
 1.7894106E+000, 2.6369192E+000
 1.7914570E+000, 2.6297287E+000
 1.7935035E+000, 2.6224191E+000
 1.7955499E+000, 2.6154259E+000
 1.7975964E+000, 2.6071643E+000
