cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori,r_rad3,TC_03,TC_30,TC_41,TC_51,TC_61,TC_03_RMS,TC_30_RMS,TC_41_RMS,TC_51_RMS,TC_61_RMS
 1.9000000E+001, 1.1213907E+003, 1.1384289E+003, 3.0462903E+000, 1.8118545E+002, 1.9581216E+002, 4.7175991E-001, 7.9146311E-002, 5.6380710E-002, 1.4052597E-002, 6.4444003E-002, 1.2995038E-001, 1.4052597E-002, 6.4197341E-001, 0.0000000E+000, 5.0000000E+000, 2.3787128E+001, 1.9098613E+001, 2.2881356E+001, 6.0207914E-001, 3.6936908E+001, 4.4341001E-001, 1.4000000E+001, 3.7899320E+002, 3.1284297E+002, 3.1920032E+002, 3.2812199E+002, 3.3977000E+002, 1.0032308E+002, 4.5818675E+001, 5.9585168E+001, 7.2955164E+001, 8.0985257E+001
 2.1000000E+001, 1.0950339E+003, 1.1106566E+003, 3.1678760E+000, 1.8500742E+002, 1.9957743E+002, 5.0864783E-001, 8.5228227E-002, 5.4424046E-002, 1.2989250E-002, 5.7541108E-002, 1.2502174E-001, 1.2989250E-002, 6.5180638E-001, 0.0000000E+000, 6.0000000E+000, 2.3787128E+001, 1.9098613E+001, 2.5423729E+001, 6.0036070E-001, 3.9247104E+001, 4.0881604E-001, 1.6000000E+001, 2.9405126E+002, 2.9433557E+002, 2.9741505E+002, 3.0079422E+002, 3.0491268E+002, 2.8929642E+000, 7.3058655E+000, 2.0771476E+001, 3.3615874E+001, 3.7004806E+001
 2.3000000E+001, 1.0666345E+003, 1.0808892E+003, 3.2685217E+000, 1.9306391E+002, 2.0741435E+002, 5.5646951E-001, 9.1310778E-002, 5.2257995E-002, 1.2129133E-002, 5.1456390E-002, 1.1987367E-001, 1.2129133E-002, 6.6084290E-001, 0.0000000E+000, 7.0000000E+000, 1.9714386E+001, 1.5801123E+001, 2.7966102E+001, 5.9881265E-001, 4.1557389E+001, 3.6078859E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.5000000E+001, 1.0376690E+003, 1.0506910E+003, 3.3499403E+000, 2.0432365E+002, 2.1836080E+002, 6.1505192E-001, 9.7205109E-002, 5.0014503E-002, 1.1471912E-002, 4.5950247E-002, 1.1476989E-001, 1.1471912E-002, 6.6911643E-001, 0.0000000E+000, 8.0000000E+000, 1.9714386E+001, 1.5801123E+001, 3.0508475E+001, 5.9615905E-001, 4.3867750E+001, 3.3471233E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.7000000E+001, 1.0092334E+003, 1.0211745E+003, 3.4150334E+000, 2.1748966E+002, 2.3125453E+002, 6.7926799E-001, 1.0279373E-001, 4.7802905E-002, 1.0956883E-002, 4.0933265E-002, 1.0986865E-001, 1.0956883E-002, 6.7668769E-001, 0.0000000E+000, 9.0000000E+000, 1.6931553E+001, 1.3590273E+001, 3.3050847E+001, 5.9440317E-001, 4.6178175E+001, 2.9851110E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.9000000E+001, 9.8192300E+002, 9.9293984E+002, 3.4657079E+000, 2.3160988E+002, 2.4514503E+002, 7.4798791E-001, 1.0802016E-001, 4.5680784E-002, 1.0545681E-002, 3.6363711E-002, 1.0524696E-001, 1.0545681E-002, 6.8359702E-001, 0.0000000E+000, 1.0000000E+001, 1.6931553E+001, 1.3590273E+001, 3.5593220E+001, 5.9171988E-001, 4.8488654E+001, 2.6758338E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.1000000E+001, 9.5596620E+002, 9.6620415E+002, 3.4657079E+000, 2.4619605E+002, 2.5962332E+002, 7.4798791E-001, 1.1291276E-001, 4.3670870E-002, 1.0187552E-002, 3.2157270E-002, 1.0090021E-001, 1.0187552E-002, 6.8998378E-001, 0.0000000E+000, 1.1000000E+001, 1.3844708E+001, 1.1410837E+001, 3.8135593E+001, 5.8217473E-001, 5.0799181E+001, 2.5041122E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.3000000E+001, 9.3147959E+002, 9.4107057E+002, 3.5339057E+000, 2.6128010E+002, 2.7477266E+002, 8.8966333E-001, 1.1749183E-001, 4.1800888E-002, 9.8154729E-003, 2.8304330E-002, 9.6817335E-002, 9.8154729E-003, 6.9595467E-001, 0.0000000E+000, 1.2000000E+001, 1.3844708E+001, 1.1410837E+001, 4.0677966E+001, 5.7506717E-001, 5.3109749E+001, 2.2613600E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.5000000E+001, 9.0848842E+002, 9.1754158E+002, 3.5545610E+000, 2.7640546E+002, 2.9010312E+002, 9.5872185E-001, 1.2179542E-001, 4.0072069E-002, 9.3980244E-003, 2.4766016E-002, 9.2969830E-002, 9.3980244E-003, 7.0160061E-001, 0.0000000E+000, 1.3000000E+001, 1.0970062E+001, 9.7255747E+000, 4.3220339E+001, 5.6638792E-001, 5.5420353E+001, 2.1243099E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.7000000E+001, 8.8721987E+002, 8.9584057E+002, 3.5690502E+000, 2.9100030E+002, 3.0500732E+002, 1.0199716E+000, 1.2577669E-001, 3.8508469E-002, 8.9371395E-003, 2.1548184E-002, 8.9407562E-002, 8.9371395E-003, 7.0688482E-001, 0.0000000E+000, 1.4000000E+001, 9.8919700E+000, 9.4647690E+000, 4.5762712E+001, 5.5623960E-001, 5.7730989E+001, 1.9298125E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.9000000E+001, 8.6734510E+002, 8.7562449E+002, 3.5786076E+000, 3.0441859E+002, 3.1873394E+002, 1.0738487E+000, 1.2951516E-001, 3.7081604E-002, 8.4145734E-003, 1.8606940E-002, 8.6055822E-002, 8.4145734E-003, 7.1191133E-001, 0.0000000E+000, 1.5000000E+001, 3.4101262E-001, 3.7407359E-002, 4.8305085E+001, 5.3272492E-001, 6.0041652E+001, 1.7577772E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.1000000E+001, 8.4821837E+002, 8.5616761E+002, 3.5816767E+000, 3.1611449E+002, 3.3070250E+002, 1.1254312E+000, 1.3310212E-001, 3.5737398E-002, 7.8377476E-003, 1.5938465E-002, 8.2814138E-002, 7.8377476E-003, 7.1673239E-001, 0.0000000E+000,NaN,NaN,NaN, 5.0847458E+001, 5.2015456E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.3000000E+001, 8.2912315E+002, 8.3667858E+002, 3.5783306E+000, 3.2545819E+002, 3.4026144E+002, 1.1753451E+000, 1.3663203E-001, 3.4415515E-002, 7.2262844E-003, 1.3518463E-002, 7.9581710E-002, 7.2262844E-003, 7.2139971E-001, 0.0000000E+000,NaN,NaN,NaN, 5.3389831E+001, 5.0751741E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.5000000E+001, 8.1007141E+002, 8.1715399E+002, 3.5684630E+000, 3.3235039E+002, 3.4731643E+002, 1.2199265E+000, 1.4008947E-001, 3.3114670E-002, 6.5952570E-003, 1.1358067E-002, 7.6370864E-002, 6.5952570E-003, 7.2587642E-001, 0.0000000E+000,NaN,NaN,NaN, 5.5932203E+001, 4.9493981E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.7000000E+001, 7.9100023E+002, 7.9752718E+002, 3.5520835E+000, 3.3686489E+002, 3.5201525E+002, 1.2632772E+000, 1.4346093E-001, 3.1828955E-002, 5.9686232E-003, 9.4558276E-003, 7.3193549E-002, 5.9686232E-003, 7.3012349E-001, 0.0000000E+000,NaN,NaN,NaN, 5.8474576E+001, 4.6952518E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.9000000E+001, 7.7190960E+002, 7.7784246E+002, 3.5285932E+000, 3.3914504E+002, 3.5445890E+002, 1.3043660E+000, 1.4675318E-001, 3.0558650E-002, 5.3338910E-003, 7.8381755E-003, 7.0037851E-002, 5.3338910E-003, 7.3414436E-001, 0.0000000E+000,NaN,NaN,NaN, 6.1016949E+001, 4.5654498E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.1000000E+001, 7.5269726E+002, 7.5798919E+002, 3.5031699E+000, 3.3903639E+002, 3.5436981E+002, 1.3380801E+000, 1.4998032E-001, 2.9291360E-002, 4.7027638E-003, 6.4878376E-003, 6.6890708E-002, 4.7027638E-003, 7.3794425E-001, 0.0000000E+000,NaN,NaN,NaN, 6.3559322E+001, 4.4347267E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.3000000E+001, 7.3317159E+002, 7.3781696E+002, 3.4716184E+000, 3.3636856E+002, 3.5152355E+002, 1.3674056E+000, 1.5316006E-001, 2.7993711E-002, 4.1284810E-003, 5.3492169E-003, 6.3738508E-002, 4.1284810E-003, 7.4150154E-001, 0.0000000E+000,NaN,NaN,NaN, 6.6101695E+001, 4.1737134E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.5000000E+001, 7.1369811E+002, 7.1774552E+002, 3.4345602E+000, 3.3206950E+002, 3.4698354E+002, 1.3928411E+000, 1.5624358E-001, 2.6698111E-002, 3.6125350E-003, 4.3673547E-003, 6.0647565E-002, 3.6125350E-003, 7.4481832E-001, 0.0000000E+000,NaN,NaN,NaN, 6.8644068E+001, 4.0438418E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.7000000E+001, 6.9428314E+002, 6.9772307E+002, 3.3959267E+000, 3.2651292E+002, 3.4115355E+002, 1.4155547E+000, 1.5925258E-001, 2.5404140E-002, 3.1440363E-003, 3.4954987E-003, 5.7606440E-002, 3.1440363E-003, 7.4795327E-001, 0.0000000E+000,NaN,NaN,NaN, 7.1186441E+001, 3.9329423E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.9000000E+001, 6.7551485E+002, 6.7835996E+002, 3.3574839E+000, 3.2011411E+002, 3.3444241E+002, 1.4292523E+000, 1.6211553E-001, 2.4160406E-002, 2.7018504E-003, 2.7574559E-003, 5.4691045E-002, 2.7018504E-003, 7.5087187E-001, 0.0000000E+000,NaN,NaN,NaN, 7.3728814E+001, 3.8029590E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.1000000E+001, 6.5685347E+002, 6.5909682E+002, 3.3178087E+000, 3.1229318E+002, 3.2628192E+002, 1.4381054E+000, 1.6488074E-001, 2.2935092E-002, 2.2895765E-003, 2.1804895E-003, 5.1841389E-002, 2.2895765E-003, 7.5358313E-001, 0.0000000E+000,NaN,NaN,NaN, 7.6271186E+001, 3.5480422E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.3000000E+001, 6.3889120E+002, 6.4060224E+002, 3.2756319E+000, 3.0383248E+002, 3.1745646E+002, 1.4477587E+000, 1.6746958E-001, 2.1766620E-002, 1.9237861E-003, 1.7263552E-003, 4.9150654E-002, 1.9237861E-003, 7.5603922E-001, 0.0000000E+000,NaN,NaN,NaN, 7.8813559E+001, 3.4246193E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.5000000E+001, 6.2210588E+002, 6.2336617E+002, 3.2324291E+000, 2.9480787E+002, 3.0794537E+002, 1.4579405E+000, 1.6984136E-001, 2.0671495E-002, 1.6227478E-003, 1.3571003E-003, 4.6669993E-002, 1.6227478E-003, 7.5821456E-001, 0.0000000E+000,NaN,NaN,NaN, 8.1355932E+001, 3.3051156E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.7000000E+001, 6.0623933E+002, 6.0710926E+002, 3.1957784E+000, 2.8511114E+002, 2.9771308E+002, 1.4570052E+000, 1.7203934E-001, 1.9636456E-002, 1.3686395E-003, 1.0680374E-003, 4.4355329E-002, 1.3686395E-003, 7.6016356E-001, 0.0000000E+000,NaN,NaN,NaN, 8.3898305E+001, 3.1900740E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.9000000E+001, 5.9105700E+002, 5.9159409E+002, 3.1633044E+000, 2.7466530E+002, 2.8670957E+002, 1.4527367E+000, 1.7410284E-001, 1.8643734E-002, 1.1595628E-003, 8.3460065E-004, 4.2169439E-002, 1.1595628E-003, 7.6193026E-001, 0.0000000E+000,NaN,NaN,NaN, 8.6440678E+001, 2.9725248E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.1000000E+001, 5.7664285E+002, 5.7686396E+002, 3.1294773E+000, 2.6419517E+002, 2.7565026E+002, 1.4502022E+000, 1.7601640E-001, 1.7708362E-002, 9.8818519E-004, 6.3627818E-004, 4.0135120E-002, 9.8818519E-004, 7.6352747E-001, 0.0000000E+000,NaN,NaN,NaN, 8.8983051E+001, 2.8690241E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
