s,kg/m2/s,kW/m2,kW/m2,C,C,m/s
Time,"MLRPUA","HEAT_FLUX","MLRPUA_ideal","T_SURF_MEAN","T_SURF_MAX","w"
 0.0000000E+000, 0.0000000E+000, 1.9999928E+001, 2.3893913E-002, 1.6000000E+001, 1.6000000E+001,-4.1576141E-003
 2.3045655E-002, 0.0000000E+000, 1.9999992E+001, 2.3893991E-002, 1.6000000E+001, 1.6000000E+001,-4.1255064E-003
 4.6091309E-002, 5.1465682E-006, 1.9998965E+001, 2.3892764E-002, 1.6757686E+001, 1.6758091E+001,-4.0943764E-003
 6.9136964E-002, 5.1465682E-006, 1.9998965E+001, 2.3892764E-002, 1.6757686E+001, 1.6758091E+001,-4.0637889E-003
 9.2182618E-002, 5.3352135E-006, 1.9994481E+001, 2.3887407E-002, 1.7500305E+001, 1.7501066E+001,-4.0328677E-003
 1.1522827E-001, 5.3352135E-006, 1.9994481E+001, 2.3887407E-002, 1.7500305E+001, 1.7501066E+001,-4.0009669E-003
 1.3827393E-001, 5.5113750E-006, 1.9990345E+001, 2.3882465E-002, 1.8228692E+001, 1.8229619E+001,-3.9671035E-003
 1.6131958E-001, 5.5113750E-006, 1.9990345E+001, 2.3882465E-002, 1.8228692E+001, 1.8229619E+001,-3.9291857E-003
 1.8436524E-001, 5.6933631E-006, 1.9986396E+001, 2.3877748E-002, 1.8943329E+001, 1.8944318E+001,-3.8843502E-003
 2.0741089E-001, 5.6933631E-006, 1.9986396E+001, 2.3877748E-002, 1.8943329E+001, 1.8944318E+001,-3.8304245E-003
 2.3045655E-001, 5.8689646E-006, 1.9982587E+001, 2.3873196E-002, 1.9644770E+001, 1.9645758E+001,-3.7675763E-003
 2.5350220E-001, 5.8689646E-006, 1.9982587E+001, 2.3873196E-002, 1.9644770E+001, 1.9645758E+001,-3.6990740E-003
 2.7654785E-001, 6.0638240E-006, 1.9978774E+001, 2.3868641E-002, 2.0333436E+001, 2.0334598E+001,-3.6306374E-003
 2.9959351E-001, 6.0638240E-006, 1.9978774E+001, 2.3868641E-002, 2.0333436E+001, 2.0334598E+001,-3.5686503E-003
 3.2263916E-001, 6.2457560E-006, 1.9974884E+001, 2.3863994E-002, 2.1009780E+001, 2.1011663E+001,-3.5180621E-003
 3.4568482E-001, 6.2457560E-006, 1.9974884E+001, 2.3863994E-002, 2.1009780E+001, 2.1011663E+001,-3.4808758E-003
 3.6873047E-001, 6.4515570E-006, 1.9970976E+001, 2.3859325E-002, 2.1674354E+001, 2.1677242E+001,-3.4557571E-003
