Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 4.761E+00, 1.313E+02, 5.134E+01, 8.237E+01, 1.593E+02, 6.598E+01, 6.276E+01, 1.273E+00, 3.976E+03, 9.528E+00, 1.341E+03, 0.000E+00, 0.000E+00, 1.172E+02, 0.000E+00, 6.003E+03
    1, 2.497E+01, 1.248E+02, 5.166E+01, 8.562E+01, 1.647E+02, 7.237E+01, 2.116E+01, 8.857E-01, 5.189E+03, 8.919E+00, 1.302E+02, 0.000E+00, 0.000E+00, 1.284E+02, 0.000E+00, 6.003E+03
    2, 2.468E+01, 1.052E+02, 3.775E+01, 6.444E+01, 1.134E+02, 5.614E+01, 5.335E+01, 7.746E-01, 2.899E+03, 8.015E+00, 2.548E+03, 0.000E+00, 0.000E+00, 9.248E+01, 0.000E+00, 6.003E+03
    3, 1.955E+01, 1.285E+02, 5.096E+01, 8.400E+01, 1.636E+02, 6.913E+01, 2.925E+01, 1.183E+00, 4.066E+03, 9.805E+00, 1.265E+03, 0.000E+00, 0.000E+00, 1.154E+02, 0.000E+00, 6.003E+03
    4, 2.622E+01, 1.336E+02, 5.083E+01, 8.395E+01, 4.951E+01, 2.946E+01, 3.823E+01, 9.628E-01, 3.777E+03, 9.478E+00, 1.753E+03, 0.000E+00, 0.000E+00, 5.087E+01, 0.000E+00, 6.003E+03
    5, 2.314E+01, 1.287E+02, 5.006E+01, 8.610E+01, 5.040E+01, 3.357E+01, 2.021E+01, 8.714E-01, 3.809E+03, 9.885E+00, 1.736E+03, 0.000E+00, 0.000E+00, 5.424E+01, 0.000E+00, 6.003E+03
    6, 1.872E+01, 1.350E+02, 5.181E+01, 8.492E+01, 4.984E+01, 2.897E+01, 4.900E+01, 1.067E+00, 3.639E+03, 1.001E+01, 1.884E+03, 0.000E+00, 0.000E+00, 5.102E+01, 0.000E+00, 6.003E+03
    7, 1.923E+01, 1.048E+02, 3.812E+01, 6.996E+01, 4.081E+01, 2.821E+01, 3.880E+01, 6.933E-01, 2.694E+03, 8.774E+00, 2.916E+03, 0.000E+00, 0.000E+00, 4.361E+01, 0.000E+00, 6.003E+03
    8, 2.584E+01, 1.196E+02, 4.698E+01, 7.540E+01, 4.069E+01, 3.089E+01, 2.298E+01, 7.698E-01, 3.055E+03, 3.100E+00, 2.535E+03, 0.000E+00, 0.000E+00, 4.740E+01, 0.000E+00, 6.003E+03
    9, 5.424E+01, 9.126E+01, 3.300E+01, 5.630E+01, 3.081E+01, 1.963E+01, 5.304E+01, 6.095E-01, 2.312E+03, 2.354E+00, 3.313E+03, 0.000E+00, 0.000E+00, 3.624E+01, 0.000E+00, 6.003E+03
   10, 1.945E+01, 1.171E+02, 4.719E+01, 7.442E+01, 4.095E+01, 3.116E+01, 3.084E+01, 1.096E+00, 3.200E+03, 2.953E+00, 2.391E+03, 0.000E+00, 0.000E+00, 4.649E+01, 0.000E+00, 6.003E+03
   11, 4.428E+01, 1.286E+02, 4.862E+01, 7.179E+01, 4.117E+01, 2.573E+01, 5.166E+01, 1.170E+00, 3.022E+03, 3.204E+00, 2.520E+03, 0.000E+00, 0.000E+00, 4.468E+01, 0.000E+00, 6.003E+03
   12, 4.448E+01, 1.160E+02, 4.654E+01, 7.609E+01, 4.067E+01, 3.097E+01, 2.330E+01, 8.043E-01, 3.296E+03, 2.919E+00, 2.278E+03, 0.000E+00, 0.000E+00, 4.717E+01, 0.000E+00, 6.003E+03
   13, 5.246E+01, 1.216E+02, 4.956E+01, 7.205E+01, 3.997E+01, 2.565E+01, 4.682E+01, 1.026E+00, 3.039E+03, 3.203E+00, 2.508E+03, 0.000E+00, 0.000E+00, 4.451E+01, 0.000E+00, 6.003E+03
   14, 4.595E+01, 9.005E+01, 3.278E+01, 5.844E+01, 3.117E+01, 2.344E+01, 4.538E+01, 7.182E-01, 2.351E+03, 2.237E+00, 3.285E+03, 0.000E+00, 0.000E+00, 3.717E+01, 0.000E+00, 6.003E+03
   15, 4.652E+01, 1.234E+02, 4.890E+01, 7.173E+01, 4.096E+01, 2.526E+01, 5.769E+01, 8.986E-01, 3.140E+03, 3.177E+00, 2.400E+03, 0.000E+00, 0.000E+00, 4.489E+01, 0.000E+00, 6.003E+03
