cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 1.0529540E+003, 6.7465842E+001,-9.5000000E+000, 1.2036927E+003, 9.1784157E+001, 1.0569026E+003, 1.8568653E+002, 7.6385260E+002, 1.4238070E+002, 5.9224878E+002, 8.9258353E+001, 4.9937175E+002, 6.1793919E+001, 5.2000000E+001, 1.0000000E-001, 0.0000000E+000, 5.7587857E+000, 4.7486318E+000, 3.5500123E+000, 0.0000000E+000, 4.0386404E-001
 4.4622642E+000, 1.0529540E+003, 6.7465842E+001,-5.2857143E+000, 1.2036927E+003, 9.1784157E+001, 1.0569026E+003, 1.8568653E+002, 7.6385260E+002, 1.4238070E+002, 5.9224878E+002, 8.9258353E+001, 4.9937175E+002, 6.1793919E+001, 5.6480000E+001, 2.9900000E-001, 0.0000000E+000, 5.0700948E+000, 4.2344250E+000, 3.2194548E+000, 4.5000000E+000, 4.0386404E-001
 8.4245283E+000, 1.1271530E+003, 7.5583819E+001,-1.0714286E+000, 1.1787432E+003, 6.7647668E+001, 1.1791572E+003, 1.4231438E+002, 8.0189423E+002, 1.3175466E+002, 5.9912372E+002, 8.4422805E+001, 5.0143115E+002, 5.9309852E+001, 6.0960000E+001, 4.9800000E-001, 0.0000000E+000, 4.4869148E+000, 3.7927960E+000, 2.9296437E+000, 9.0000000E+000, 4.0602026E-001
 1.2386792E+001, 1.1677844E+003, 8.3624489E+001, 3.1428571E+000, 1.1650964E+003, 1.2652231E+002, 1.0032104E+003, 2.0515269E+002, 7.1592666E+002, 1.4490910E+002, 5.7011430E+002, 9.1548685E+001, 4.9083939E+002, 6.0847254E+001, 6.5440000E+001, 6.9700000E-001, 0.0000000E+000, 3.9897620E+000, 3.4109680E+000, 2.6739814E+000, 1.3500000E+001, 4.3024715E-001
 1.6349057E+001, 1.1737274E+003, 1.0305281E+002, 7.3571429E+000, 8.6605717E+002, 1.8614689E+002, 6.9760555E+002, 1.8869326E+002, 5.8815399E+002, 1.3312959E+002, 5.1451246E+002, 8.9710772E+001, 4.6406553E+002, 6.3235069E+001, 6.9920000E+001, 8.9600000E-001, 0.0000000E+000, 3.9897620E+000, 3.4109680E+000, 2.6739814E+000, 1.8000000E+001, 4.5840645E-001
 2.0311321E+001, 1.1650964E+003, 1.2652231E+002, 1.1571429E+001, 5.9764686E+002, 1.2174993E+002, 4.9687997E+002, 1.1659532E+002, 4.7710014E+002, 1.0189744E+002, 4.5497895E+002, 7.8136773E+001, 4.3219316E+002, 6.0275631E+001, 7.4400000E+001, 1.0950000E+000, 0.0000000E+000, 3.5633868E+000, 3.0787463E+000, 2.4471677E+000, 2.2500000E+001, 4.7379500E-001
 2.4273585E+001, 1.1650964E+003, 1.2652231E+002, 1.5785714E+001, 4.4912367E+002, 7.0691284E+001, 3.9314475E+002, 6.2519464E+001, 3.9646615E+002, 6.4350717E+001, 4.0032024E+002, 5.8121938E+001, 3.9863749E+002, 5.1523687E+001, 7.8880000E+001, 1.2940000E+000, 0.0000000E+000, 3.1955537E+000, 2.7880487E+000, 2.2449679E+000, 2.7000000E+001, 4.7449258E-001
 2.8235849E+001, 1.1504585E+003, 1.4905727E+002, 2.0000000E+001, 4.4912367E+002, 7.0691284E+001, 3.9314475E+002, 6.2519464E+001, 3.9646615E+002, 6.4350717E+001, 4.0032024E+002, 5.8121938E+001, 3.9863749E+002, 5.1523687E+001, 8.3360000E+001, 1.4930000E+000, 0.0000000E+000, 2.8765589E+000, 2.5324662E+000, 2.0639983E+000, 3.1500000E+001, 4.6725355E-001
 3.2198113E+001, 1.1326247E+003, 1.6678146E+002, 2.4214286E+001, 3.8461457E+002, 4.3067568E+001, 3.4679496E+002, 3.6330893E+001, 3.4991428E+002, 3.8401735E+001, 3.5725257E+002, 4.0671305E+001, 3.6770930E+002, 4.1050336E+001, 8.7840000E+001, 1.6920000E+000, 0.0000000E+000, 2.5985539E+000, 2.3068502E+000, 1.9014012E+000, 3.6000000E+001, 4.5912461E-001
 3.6160377E+001, 1.1117024E+003, 1.7964891E+002, 2.8428571E+001, 3.4588372E+002, 2.7977003E+001, 3.2224105E+002, 1.7057998E+001, 3.2306638E+002, 1.9553872E+001, 3.3161602E+002, 2.8034707E+001, 3.4296648E+002, 3.1008663E+001, 9.2320000E+001, 1.8910000E+000, 0.0000000E+000, 2.3550243E+000, 2.1068698E+000, 1.7548635E+000, 4.0500000E+001, 4.5354875E-001
 4.0122642E+001, 1.0882106E+003, 1.8962221E+002, 3.2642857E+001, 3.2393387E+002, 1.1579505E+001, 3.1181482E+002, 4.9133794E+000, 3.1003625E+002, 8.0386463E+000, 3.1473544E+002, 1.6387404E+001, 3.2509308E+002, 2.1973456E+001, 9.6800000E+001, 2.0900000E+000, 0.0000000E+000, 2.1407901E+000, 1.9289442E+000, 1.6224294E+000, 4.5000000E+001, 4.5061406E-001
 4.4084906E+001, 1.0882106E+003, 1.8962221E+002, 3.6857143E+001, 3.1500577E+002, 5.7139056E+000, 3.0925325E+002, 2.4201896E+000, 3.0586292E+002, 2.5044645E+000, 3.0648742E+002, 6.2374483E+000, 3.1256239E+002, 1.2307535E+001, 1.0128000E+002, 2.2890000E+000, 5.0360144E-001, 1.9518957E+000, 1.7702952E+000, 1.5025365E+000, 4.9500000E+001, 4.5061406E-001
 4.8047170E+001, 1.0617292E+003, 1.9711629E+002, 4.1071429E+001, 3.1309879E+002, 4.4493402E+000, 3.0845107E+002, 2.3573798E+000, 3.0493474E+002, 1.4494070E+000, 3.0413141E+002, 1.8460958E+000, 3.0546643E+002, 4.5399606E+000, 1.0576000E+002, 2.4880000E+000, 4.4932333E-001, 1.7845992E+000, 1.6283007E+000, 1.3936693E+000, 5.4000000E+001, 4.4887343E-001
 5.2009434E+001, 1.0331426E+003, 2.0236458E+002, 4.5285714E+001, 3.1331949E+002, 4.7985471E+000, 3.0819343E+002, 2.5927453E+000, 3.0486651E+002, 1.5963432E+000, 3.0389198E+002, 1.5426334E+000, 3.0340711E+002, 1.6180040E+000, 1.1024000E+002, 2.6870000E+000, 4.0212799E-001, 1.6359590E+000, 1.5009513E+000, 1.2946773E+000, 5.8500000E+001, 4.4672902E-001
 5.5971698E+001, 1.0032104E+003, 2.0515269E+002, 4.9500000E+001, 3.1331949E+002, 4.7985471E+000, 3.0819343E+002, 2.5927453E+000, 3.0486651E+002, 1.5963432E+000, 3.0389198E+002, 1.5426334E+000, 3.0340711E+002, 1.6180040E+000, 1.1472000E+002, 2.8860000E+000, 4.0212799E-001, 1.6359590E+000, 1.5009513E+000, 1.2946773E+000, 6.3000000E+001, 4.4330109E-001
 5.9933962E+001, 1.0032104E+003, 2.0515269E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.1920000E+002, 3.0850000E+000, 3.6092854E-001, 1.5033188E+000, 1.3864005E+000, 1.2044939E+000, 6.7500000E+001, 4.3836462E-001
 6.3896226E+001, 9.7090775E+002, 2.0519204E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2368000E+002, 3.2840000E+000, 3.2482831E-001, 1.3844783E+000, 1.2830210E+000, 1.1221627E+000, 7.2000000E+001, 4.3214596E-001
 6.7858491E+001, 9.3684225E+002, 2.0249436E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2816000E+002, 3.4830000E+000, 2.9308265E-001, 1.2776252E+000, 1.1894322E+000, 1.0468198E+000, 7.6500000E+001, 4.2504331E-001
 7.1820755E+001, 9.0204475E+002, 1.9716725E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3264000E+002, 3.6820000E+000, 2.6507156E-001, 1.1812417E+000, 1.1044733E+000, 9.7771513E-001, 8.1000000E+001, 4.1742743E-001
 7.5783019E+001, 8.6730914E+002, 1.8960702E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3712000E+002, 3.8810000E+000, 2.4027624E-001, 1.0940409E+000, 1.0271527E+000, 9.1420468E-001, 8.5500000E+001, 4.0955557E-001
 7.9745283E+001, 8.6730914E+002, 1.8960702E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4160000E+002, 4.0800000E+000, 2.1826108E-001, 1.0149264E+000, 9.5661773E-001, 8.5572811E-001, 9.0000000E+001, 4.0156046E-001
 8.3707547E+001, 8.3328411E+002, 1.8084595E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4608000E+002, 4.2790000E+000, 1.9865791E-001, 9.4295962E-001, 8.9212938E-001, 8.0179188E-001, 9.4500000E+001, 4.0156046E-001
 8.7669811E+001, 8.0073862E+002, 1.7145103E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5056000E+002, 4.4780000E+000, 1.8115490E-001, 8.7733413E-001, 8.3304320E-001, 7.5196184E-001, 9.9000000E+001, 3.9347919E-001
 9.1632075E+001, 7.6984795E+002, 1.6229945E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5504000E+002, 4.6770000E+000, 1.6548642E-001, 8.1735448E-001, 7.7879557E-001, 7.0585501E-001, 1.0350000E+002, 3.8529589E-001
 9.5594340E+001, 7.4166747E+002, 1.5337871E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5952000E+002, 4.8760000E+000, 1.6548642E-001, 8.1735448E-001, 7.7879557E-001, 7.0585501E-001, 1.0800000E+002, 3.7698218E-001
 9.9556604E+001, 7.4166747E+002, 1.5337871E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.6400000E+002, 5.0750000E+000, 1.5313167E-001, 7.5557709E-001, 7.2281288E-001, 6.5980829E-001, 1.1250000E+002, 3.6852287E-001
 1.0351887E+002, 7.1592666E+002, 1.4490910E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.6848000E+002, 5.2740000E+000, 1.4112176E-001, 7.0883619E-001, 6.8035203E-001, 6.2330819E-001, 1.1700000E+002, 3.5992588E-001
 1.0748113E+002, 6.9246514E+002, 1.3661281E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.7296000E+002, 5.4730000E+000, 1.3026320E-001, 6.6582947E-001, 6.4109229E-001, 5.8934544E-001, 1.2150000E+002, 3.5121833E-001
