cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 3.7000000E+001, 1.1821930E+003, 1.2295752E+003, 4.2593460E+000, 5.9206392E+001, 1.3999702E+002, 6.5357885E-001, 6.6700837E-002, 6.8345058E-002, 1.7635768E-002, 2.9701620E-002, 1.2156281E-001, 1.3878096E-002, 6.8019004E-001, 1.7482278E-002, 8.4388831E-004
 3.9000000E+001, 1.1859283E+003, 1.2318839E+003, 4.3480651E+000, 6.7434776E+001, 1.5781076E+002, 7.1888297E-001, 6.8906187E-002, 6.8309308E-002, 1.6498880E-002, 2.5161973E-002, 1.2063838E-001, 1.2980578E-002, 6.8557935E-001, 1.6389711E-002, 8.1968940E-004
 4.1000000E+001, 1.1865944E+003, 1.2302384E+003, 4.4218427E+000, 7.7928595E+001, 1.7814109E+002, 7.9499939E-001, 7.1603594E-002, 6.8025604E-002, 1.5215754E-002, 2.1047298E-002, 1.1922112E-001, 1.1967772E-002, 6.9106550E-001, 1.5142084E-002, 7.9016411E-004
 4.3000000E+001, 1.1830674E+003, 1.2231391E+003, 4.4774521E+000, 9.0194108E+001, 2.0118293E+002, 8.8373190E-001, 7.4964995E-002, 6.7400170E-002, 1.3774469E-002, 1.7368268E-002, 1.1715914E-001, 1.0830331E-002, 6.9673490E-001, 1.3726747E-002, 7.5438379E-004
 4.5000000E+001, 1.1748226E+003, 1.2102240E+003, 4.5128031E+000, 1.0309294E+002, 2.2464312E+002, 9.9182563E-001, 7.8992652E-002, 6.6404470E-002, 1.2212879E-002, 1.4159170E-002, 1.1443851E-001, 9.5981557E-003, 7.0252414E-001, 1.2182111E-002, 7.1302158E-004
 4.7000000E+001, 1.1616508E+003, 1.1913293E+003, 4.5325420E+000, 1.1532671E+002, 2.4655616E+002, 1.0926479E+000, 8.3646761E-002, 6.5007089E-002, 1.0621342E-002, 1.1415599E-002, 1.1108213E-001, 8.3426031E-003, 7.0832000E-001, 1.0600694E-002, 6.6799495E-004
 4.9000000E+001, 1.1438221E+003, 1.1668779E+003, 4.5430607E+000, 1.2627882E+002, 2.6662816E+002, 1.1739059E+000, 8.8823110E-002, 6.3222745E-002, 9.0814983E-003, 9.1046341E-003, 1.0717627E-001, 7.1281163E-003, 7.1400798E-001, 9.0667110E-003, 6.2135177E-004
 5.1000000E+001, 1.1210793E+003, 1.1368764E+003, 4.5378035E+000, 1.3577904E+002, 2.8406278E+002, 1.2562244E+000, 9.4549191E-002, 6.1031525E-002, 7.6093009E-003, 7.1788819E-003, 1.0270334E-001, 5.9673030E-003, 7.1961642E-001, 7.5971728E-003, 5.7336901E-004
 5.3000000E+001, 1.0942270E+003, 1.1028183E+003, 4.5213441E+000, 1.4361922E+002, 2.9755025E+002, 1.3186180E+000, 1.0061394E-001, 5.8527619E-002, 6.2604290E-003, 5.5916680E-003, 9.7850183E-002, 4.9040581E-003, 7.2501804E-001, 6.2493365E-003, 5.2601498E-004
 5.5000000E+001, 1.0642276E+003, 1.0660790E+003, 4.4962950E+000, 1.4962291E+002, 3.0658691E+002, 1.3725798E+000, 1.0678317E-001, 5.5825192E-002, 5.0757882E-003, 4.3163682E-003, 9.2822384E-002, 3.9706004E-003, 7.3007684E-001, 5.0652547E-003, 4.8103381E-004
