s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 4.2001652E+001, 2.7278966E+001,-7.2075320E+000,-2.0064947E+001,-3.1012599E-001, 1.4842560E-002, 0.0000000E+000, 0.0000000E+000,-1.4632135E-001,-2.8879651E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 4.4000057E+001, 2.7470737E+001,-7.2806214E+000,-2.0200559E+001,-3.0189030E-001, 1.4899387E-002, 0.0000000E+000, 0.0000000E+000,-1.4255641E-001,-2.9743451E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 4.6001144E+001, 2.7108847E+001,-7.1892655E+000,-2.0069137E+001,-3.1507679E-001, 1.4894698E-002, 0.0000000E+000, 0.0000000E+000,-3.1033703E-001,-4.4973792E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 4.8001392E+001, 2.7267634E+001,-7.2238857E+000,-1.9001012E+001,-2.9729413E-001, 1.4878679E-002, 0.0000000E+000, 0.0000000E+000, 8.7819591E-001, 7.6032044E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 5.0000965E+001, 2.7252943E+001,-7.2327286E+000,-2.0675231E+001,-3.0519671E-001, 1.4826172E-002, 0.0000000E+000, 0.0000000E+000,-7.8957292E-001,-9.4538716E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 5.2000111E+001, 2.7330922E+001,-7.2576965E+000,-1.8608889E+001,-2.9890199E-001, 1.4908468E-002, 0.0000000E+000, 0.0000000E+000, 1.3171062E+000, 1.1803425E+000, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 5.4000122E+001, 2.7337302E+001,-7.2547582E+000,-2.0036530E+001,-3.1615642E-001, 1.4883043E-002, 0.0000000E+000, 0.0000000E+000,-1.0364177E-001,-2.5525977E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 5.6001076E+001, 2.7341729E+001,-7.2431109E+000,-2.0706182E+001,-3.2111319E-001, 1.4927312E-002, 0.0000000E+000, 0.0000000E+000,-7.2933931E-001,-9.1375046E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 5.8001614E+001, 2.7165649E+001,-7.1872968E+000,-1.9612431E+001,-2.9840178E-001, 1.4948025E-002, 0.0000000E+000, 0.0000000E+000, 2.5147062E-001, 8.2467805E-002, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 6.0000000E+001, 2.7391472E+001,-7.2951380E+000,-2.0028889E+001,-3.0488019E-001, 1.4876586E-002, 0.0000000E+000, 0.0000000E+000,-5.1039417E-002,-2.2255866E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
