s,kg/m2/s,kW/m2,kW/m2,C,C,m/s
Time,"MLRPUA","HEAT_FLUX","MLRPUA_ideal","T_SURF_MEAN","T_SURF_MAX","w"
 0.0000000E+000, 0.0000000E+000, 1.6674557E-004, 1.5173847E-007, 1.6000000E+001, 1.6000000E+001,-4.1576141E-003
 2.3045655E-002, 2.8571554E-004,-8.5377487E-003,-7.7693513E-006, 1.7119821E+001, 1.7119821E+001,-4.1244895E-003
 4.6091309E-002, 5.7112785E-004,-1.7201572E-002,-1.5653431E-005, 1.8238453E+001, 1.8238453E+001,-3.9835268E-003
 6.9136964E-002, 8.5593502E-004,-1.9562287E-002,-1.7801681E-005, 1.9354713E+001, 1.9354713E+001,-2.5478553E-003
 9.2182618E-002, 1.1398377E-003,-1.2555279E-002,-1.1425304E-005, 2.0467428E+001, 2.0467428E+001, 1.0483197E-004
 1.1522827E-001, 1.4225402E-003, 1.9799008E-002, 1.8017097E-005, 2.1575440E+001, 2.1575440E+001, 3.0492459E-003
 1.3827393E-001, 1.7037521E-003, 8.7546421E-002, 7.9667243E-005, 2.2677609E+001, 2.2677609E+001, 6.4150648E-003
 1.6131958E-001, 1.9831891E-003, 1.9815471E-001, 1.8032079E-004, 2.3772822E+001, 2.3772822E+001, 1.0241163E-002
 1.8436524E-001, 2.2605741E-003, 3.5631238E-001, 3.2424427E-004, 2.4859992E+001, 2.4859992E+001, 1.4264188E-002
 2.0741089E-001, 2.5356385E-003, 5.6111333E-001, 5.1061313E-004, 2.5938067E+001, 2.5938067E+001, 1.8407791E-002
 2.3045655E-001, 2.8081230E-003, 9.8162864E-001, 8.9328206E-004, 2.7006030E+001, 2.7006030E+001, 2.2562742E-002
 2.5350220E-001, 3.0777786E-003, 1.2584882E+000, 1.1452242E-003, 2.8062906E+001, 2.8062906E+001, 2.5730336E-002
 2.7654785E-001, 3.3443673E-003, 1.5430534E+000, 1.4041786E-003, 2.9107762E+001, 2.9107762E+001, 2.6824290E-002
 2.9959351E-001, 3.6076631E-003, 1.8013512E+000, 1.6392295E-003, 3.0139712E+001, 3.0139712E+001, 2.7358558E-002
 3.2263916E-001, 3.8674523E-003, 2.0436602E+000, 1.8597308E-003, 3.1157918E+001, 3.1157918E+001, 2.8939326E-002
 3.4568482E-001, 4.1235342E-003, 2.2706387E+000, 2.0662812E-003, 3.2161594E+001, 3.2161594E+001, 3.1971356E-002
 3.6873047E-001, 4.3757216E-003, 2.4755073E+000, 2.2527116E-003, 3.3150005E+001, 3.3150005E+001, 3.6934341E-002
 3.9177613E-001, 4.6238410E-003, 2.6570544E+000, 2.4179195E-003, 3.4122474E+001, 3.4122474E+001, 4.3279946E-002
 4.1482178E-001, 4.8677330E-003, 2.8129383E+000, 2.5597738E-003, 3.5078373E+001, 3.5078373E+001, 5.0340088E-002
 4.3786744E-001, 5.1072526E-003, 2.9469889E+000, 2.6817599E-003, 3.6017135E+001, 3.6017135E+001, 5.8042496E-002
 4.5707705E-001, 5.3034668E-003, 4.0910791E+000, 3.7228819E-003, 3.6786168E+001, 3.6786168E+001, 6.4508562E-002
 4.7628666E-001, 5.4964835E-003, 4.1900324E+000, 3.8129295E-003, 3.7542669E+001, 3.7542669E+001, 7.2608917E-002
 4.9210536E-001, 5.6529843E-003, 4.2199060E+000, 3.8401145E-003, 3.8156051E+001, 3.8156051E+001, 7.9079033E-002
 5.0792405E-001, 5.8072441E-003, 4.2729647E+000, 3.8883979E-003, 3.8760650E+001, 3.8760650E+001, 8.6718989E-002
 5.2374274E-001, 5.9592354E-003, 4.3086407E+000, 3.9208630E-003, 3.9356358E+001, 3.9356358E+001, 9.6038923E-002
 5.3956143E-001, 6.1089333E-003, 4.3474967E+000, 3.9562220E-003, 3.9943077E+001, 3.9943077E+001, 1.0141933E-001
 5.5266910E-001, 6.2312228E-003, 4.2359218E+000, 3.8546888E-003, 4.0422373E+001, 4.0422373E+001, 1.0399976E-001
 5.6577677E-001, 6.3519120E-003, 4.1055728E+000, 3.7360713E-003, 4.0895397E+001, 4.0895397E+001, 1.1043568E-001
 5.7888444E-001, 6.4709914E-003, 3.9875112E+000, 3.6286352E-003, 4.1362111E+001, 4.1362111E+001, 1.2039131E-001
 5.9044705E-001, 6.5746914E-003, 3.9097951E+000, 3.5579135E-003, 4.1768549E+001, 4.1768549E+001, 1.3061732E-001
 6.0200965E-001, 6.6771278E-003, 4.5128443E+000, 4.1066883E-003, 4.2170033E+001, 4.2170033E+001, 1.4129633E-001
 6.1357226E-001, 6.7782965E-003, 4.4854122E+000, 4.0817251E-003, 4.2566549E+001, 4.2566549E+001, 1.5169538E-001
 6.2303919E-001, 6.8601827E-003, 4.4848811E+000, 4.0812418E-003, 4.2887490E+001, 4.2887490E+001, 1.5969390E-001
 6.3250611E-001, 6.9412157E-003, 4.4796962E+000, 4.0765235E-003, 4.3205087E+001, 4.3205087E+001, 1.6642220E-001
 6.4197304E-001, 7.0213943E-003, 4.4837949E+000, 4.0802534E-003, 4.3519336E+001, 4.3519336E+001, 1.7339019E-001
 6.4936480E-001, 7.0834032E-003, 4.4956881E+000, 4.0910761E-003, 4.3762371E+001, 4.3762371E+001, 1.8043858E-001
 6.5675656E-001, 7.1448907E-003, 4.5161371E+000, 4.1096848E-003, 4.4003362E+001, 4.4003362E+001, 1.8975972E-001
 6.6414831E-001, 7.2058567E-003, 4.5464267E+000, 4.1372483E-003, 4.4242309E+001, 4.4242309E+001, 2.0099060E-001
 6.7154007E-001, 7.2663011E-003, 4.5770812E+000, 4.1651439E-003, 4.4479213E+001, 4.4479213E+001, 2.1492829E-001
 6.7893183E-001, 7.3262242E-003, 4.6043834E+000, 4.1899889E-003, 4.4714072E+001, 4.4714072E+001, 2.3261640E-001
 6.8632359E-001, 7.3856262E-003, 5.3718050E+000, 4.8883425E-003, 4.4946890E+001, 4.4946890E+001, 2.5505465E-001
 6.9371535E-001, 7.4445074E-003, 5.3996617E+000, 4.9136922E-003, 4.5177666E+001, 4.5177666E+001, 2.8583845E-001
 7.0110711E-001, 7.5028684E-003, 5.4265019E+000, 4.9381168E-003, 4.5406404E+001, 4.5406404E+001, 3.2784186E-001
 7.0849887E-001, 7.5607096E-003, 5.4513007E+000, 4.9606836E-003, 4.5633104E+001, 4.5633104E+001, 3.8341533E-001
 7.1481119E-001, 7.6096933E-003, 5.4790866E+000, 4.9859688E-003, 4.5825088E+001, 4.5825088E+001, 4.4511990E-001
 7.2112351E-001, 7.6582989E-003, 5.5047394E+000, 5.0093129E-003, 4.6015591E+001, 4.6015591E+001, 5.2430551E-001
 7.2743583E-001, 7.7065269E-003, 5.5243045E+000, 5.0271171E-003, 4.6204614E+001, 4.6204614E+001, 6.2462406E-001
 7.3374815E-001, 7.7543781E-003, 5.5399905E+000, 5.0413914E-003, 4.6392159E+001, 4.6392159E+001, 7.4522005E-001
 7.4006047E-001, 7.8018530E-003, 5.5568631E+000, 5.0567454E-003, 4.6578230E+001, 4.6578230E+001, 8.8931365E-001
 7.4637279E-001, 7.8489523E-003, 5.5613496E+000, 5.0608281E-003, 4.6762829E+001, 4.6762829E+001, 1.0526855E+000
 7.5268511E-001, 7.8956767E-003, 6.2876191E+000, 5.7217333E-003, 4.6945959E+001, 4.6945959E+001, 1.2285496E+000
 7.5899743E-001, 7.9420270E-003, 6.2845234E+000, 5.7189163E-003, 4.7127622E+001, 4.7127622E+001, 1.4022212E+000
