s,kg/m2/s,kW/m2,kW/m2,C,C,m/s
Time,"MLRPUA","HEAT_FLUX","MLRPUA_ideal","T_SURF_MEAN","T_SURF_MAX","w"
 0.0000000E+000, 0.0000000E+000, 2.6207071E-004, 3.1309588E-007, 1.6000000E+001, 1.6000000E+001,-4.1576141E-003
 2.3045655E-002, 3.2027790E-004,-1.0963262E-002,-1.3097809E-005, 1.7437794E+001, 1.7437794E+001,-4.1247055E-003
 4.6091309E-002, 6.4021590E-004,-2.2231568E-002,-2.6560054E-005, 1.8874063E+001, 1.8874063E+001,-3.7982000E-003
 6.9136964E-002, 9.5947554E-004,-2.4104819E-002,-2.8798028E-005, 2.0307286E+001, 2.0307286E+001,-7.3683185E-004
 9.2182618E-002, 1.2777212E-003,-8.9546321E-003,-1.0698099E-005, 2.1735957E+001, 2.1735957E+001, 3.4632075E-003
 1.1522827E-001, 1.5946217E-003, 4.9379331E-002, 5.8993487E-005, 2.3158589E+001, 2.3158589E+001, 8.2627551E-003
 1.3827393E-001, 1.9098512E-003, 1.6511005E-001, 1.9725698E-004, 2.4573720E+001, 2.4573720E+001, 1.3301914E-002
 1.6131958E-001, 2.2230910E-003, 3.4986887E-001, 4.1798833E-004, 2.5979919E+001, 2.5979919E+001, 1.8443244E-002
 1.8436524E-001, 2.5340306E-003, 6.0610186E-001, 7.2410989E-004, 2.7375792E+001, 2.7375792E+001, 2.3666527E-002
 2.0741089E-001, 2.8423689E-003, 9.2775595E-001, 1.1083900E-003, 2.8759987E+001, 2.8759987E+001, 2.8944467E-002
 2.3045655E-001, 3.1478153E-003, 1.6448856E+000, 1.9651448E-003, 3.0131199E+001, 3.0131199E+001, 3.2729045E-002
 2.5350220E-001, 3.4500905E-003, 2.0228603E+000, 2.4167112E-003, 3.1488176E+001, 3.1488176E+001, 3.2923797E-002
 2.7654785E-001, 3.7489279E-003, 2.3516904E+000, 2.8095646E-003, 3.2829719E+001, 3.2829719E+001, 3.2374133E-002
 2.9959351E-001, 4.0440740E-003, 2.6141617E+000, 3.1231390E-003, 3.4154692E+001, 3.4154692E+001, 3.2753000E-002
 3.2263916E-001, 4.3352893E-003, 2.8368092E+000, 3.3891359E-003, 3.5462018E+001, 3.5462018E+001, 3.5034179E-002
 3.4568482E-001, 4.6223488E-003, 3.0336588E+000, 3.6243121E-003, 3.6750688E+001, 3.6750688E+001, 4.1404863E-002
 3.6873047E-001, 4.9050427E-003, 3.2027487E+000, 3.8263238E-003, 3.8019760E+001, 3.8019760E+001, 4.9940313E-002
 3.9177613E-001, 5.1831766E-003, 3.3477177E+000, 3.9995183E-003, 3.9268361E+001, 3.9268361E+001, 5.8996408E-002
