cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori,r_rad3,TC_03,TC_30,TC_41,TC_51,TC_61,TC_03_RMS,TC_30_RMS,TC_41_RMS,TC_51_RMS,TC_61_RMS
 1.0000000E+000, 1.2748509E+003, 1.3011166E+003, 9.2036868E-003, 2.0000948E+001, 2.1639375E+001, 3.8822893E-004, 1.9532277E-002, 7.5760063E-002, 2.8965933E-002, 1.0841313E-001, 1.8319831E-001, 2.8965933E-002, 5.5516435E-001, 0.0000000E+000,-4.0000000E+000, 3.7625689E+001, 2.7115212E+001, 0.0000000E+000, 5.4366930E-001, 1.6155494E+001, 1.9359303E+000,-4.0000000E+000, 1.1281121E+003, 6.1189506E+002, 5.8436182E+002, 5.4385196E+002, 5.0846779E+002, 4.3210675E+001, 9.6160657E+001, 8.7611980E+001, 8.0125714E+001, 7.2235521E+001
 3.0000000E+000, 1.2748509E+003, 1.3011166E+003, 6.3318047E-001, 2.0000948E+001, 2.1639375E+001, 5.3357130E-002, 1.9532277E-002, 7.5760063E-002, 2.8965933E-002, 1.0841313E-001, 1.8319831E-001, 2.8965933E-002, 5.5516435E-001, 0.0000000E+000,-3.0000000E+000, 3.7625689E+001, 2.7115212E+001, 2.5423729E+000, 6.6909985E-001, 1.8462585E+001, 1.5029650E+000,-2.0000000E+000, 1.2384867E+003, 1.1645957E+003, 1.0261986E+003, 8.4773429E+002, 7.1373448E+002, 1.9837723E+001, 1.3125092E+002, 1.3621103E+002, 1.2000480E+002, 9.7701928E+001
 5.0000000E+000, 1.3361734E+003, 1.3661814E+003, 6.3318047E-001, 2.1876769E+001, 2.3797362E+001, 5.3357130E-002, 2.1741153E-002, 7.8168417E-002, 2.7679042E-002, 8.3276318E-002, 1.8682324E-001, 2.7679042E-002, 5.7463279E-001, 0.0000000E+000,-2.0000000E+000, 3.7625689E+001, 2.7115212E+001, 5.0847458E+000, 7.2062223E-001, 2.0770544E+001, 1.5029650E+000, 0.0000000E+000, 1.2396898E+003, 1.2662942E+003, 1.1355744E+003, 9.3767035E+002, 7.8203356E+002, 1.6816974E+001, 1.0614249E+002, 1.1494358E+002, 1.0170405E+002, 8.4700096E+001
 7.0000000E+000, 1.3361734E+003, 1.3661814E+003, 1.4464248E+000, 2.1876769E+001, 2.3797362E+001, 6.6402826E-002, 2.1741153E-002, 7.8168417E-002, 2.7679042E-002, 8.3276318E-002, 1.8682324E-001, 2.7679042E-002, 5.7463279E-001, 0.0000000E+000,-1.0000000E+000, 3.7625689E+001, 2.7115212E+001, 7.6271186E+000, 7.3581185E-001, 2.3079112E+001, 1.0060168E+000, 2.0000000E+000, 1.2396898E+003, 1.2662942E+003, 1.1355744E+003, 9.3767035E+002, 7.8203356E+002, 1.6816974E+001, 1.0614249E+002, 1.1494358E+002, 1.0170405E+002, 8.4700096E+001
 9.0000000E+000, 1.3641068E+003, 1.3960886E+003, 1.4464248E+000, 2.7160862E+001, 2.9528881E+001, 6.6402826E-002, 2.6697443E-002, 7.7324003E-002, 2.9196509E-002, 5.9493751E-002, 1.8673359E-001, 2.9196509E-002, 5.9135819E-001, 0.0000000E+000, 0.0000000E+000, 3.7921574E+001, 2.7434693E+001, 1.0169492E+001, 7.3581185E-001, 2.5388123E+001, 1.0060168E+000, 4.0000000E+000, 1.1759465E+003, 6.6585251E+002, 6.4677678E+002, 6.1043879E+002, 5.7178798E+002, 3.8021381E+001, 8.6668383E+001, 8.7926059E+001, 8.2281170E+001, 7.1139434E+001
 1.1000000E+001, 1.3641068E+003, 1.3960886E+003, 2.1135723E+000, 2.7160862E+001, 2.9528881E+001, 9.1239297E-002, 2.6697443E-002, 7.7324003E-002, 2.9196509E-002, 5.9493751E-002, 1.8673359E-001, 2.9196509E-002, 5.9135819E-001, 0.0000000E+000, 1.0000000E+000, 3.7921574E+001, 2.7434693E+001, 1.2711864E+001, 7.3548059E-001, 2.7697465E+001, 8.2097651E-001, 6.0000000E+000, 1.1759465E+003, 6.6585251E+002, 6.4677678E+002, 6.1043879E+002, 5.7178798E+002, 3.8021381E+001, 8.6668383E+001, 8.7926059E+001, 8.2281170E+001, 7.1139434E+001
 1.3000000E+001, 1.3700657E+003, 1.4025060E+003, 2.1135723E+000, 3.2191633E+001, 3.4911653E+001, 9.1239297E-002, 3.4274020E-002, 7.5072533E-002, 2.9832480E-002, 3.9696034E-002, 1.8294960E-001, 2.9832480E-002, 6.0834285E-001, 0.0000000E+000, 2.0000000E+000, 3.7921574E+001, 2.7434693E+001, 1.5254237E+001, 7.2898872E-001, 3.0007063E+001, 8.2097651E-001, 8.0000000E+000, 7.3628496E+002, 3.8614986E+002, 3.9154033E+002, 4.0114642E+002, 4.0801664E+002, 2.4051322E+001, 2.7264328E+001, 3.1154247E+001, 3.9195113E+001, 4.3578919E+001
 1.5000000E+001, 1.3700657E+003, 1.4025060E+003, 2.6683628E+000, 3.2191633E+001, 3.4911653E+001, 1.2058638E-001, 3.4274020E-002, 7.5072533E-002, 2.9832480E-002, 3.9696034E-002, 1.8294960E-001, 2.9832480E-002, 6.0834285E-001, 0.0000000E+000, 3.0000000E+000, 3.7921574E+001, 2.7434693E+001, 1.7796610E+001, 7.2898872E-001, 3.2316861E+001, 5.9290760E-001, 1.0000000E+001, 7.3628496E+002, 3.8614986E+002, 3.9154033E+002, 4.0114642E+002, 4.0801664E+002, 2.4051322E+001, 2.7264328E+001, 3.1154247E+001, 3.9195113E+001, 4.3578919E+001
 1.7000000E+001, 1.3795416E+003, 1.4129758E+003, 3.1396312E+000, 4.0889736E+001, 4.4356023E+001, 1.5680634E-001, 4.1196209E-002, 7.4953318E-002, 2.6154550E-002, 2.5635295E-002, 1.7912333E-001, 2.6154550E-002, 6.2678275E-001, 0.0000000E+000, 4.0000000E+000, 3.7921574E+001, 2.7434693E+001, 2.0338983E+001, 7.1874137E-001, 3.4626819E+001, 4.9736361E-001, 1.2000000E+001, 4.5121383E+002, 3.1317384E+002, 3.1631794E+002, 3.2229675E+002, 3.3084115E+002, 1.2009474E+001, 9.3836390E+000, 1.1574648E+001, 1.6022463E+001, 2.3208675E+001
 1.9000000E+001, 1.3905367E+003, 1.4253286E+003, 3.1396312E+000, 6.2534080E+001, 6.7900933E+001, 1.5680634E-001, 4.7754135E-002, 7.5850459E-002, 2.0084944E-002, 1.6199168E-002, 1.7493744E-001, 2.0084944E-002, 6.4508891E-001, 0.0000000E+000, 5.0000000E+000, 2.3136353E+001, 1.5261952E+001, 2.2881356E+001, 7.0290681E-001, 3.6936908E+001, 4.9736361E-001, 1.4000000E+001, 4.5121383E+002, 3.1317384E+002, 3.1631794E+002, 3.2229675E+002, 3.3084115E+002, 1.2009474E+001, 9.3836390E+000, 1.1574648E+001, 1.6022463E+001, 2.3208675E+001
 2.1000000E+001, 1.3905367E+003, 1.4253286E+003, 3.5408434E+000, 6.2534080E+001, 6.7900933E+001, 2.0070168E-001, 4.7754135E-002, 7.5850459E-002, 2.0084944E-002, 1.6199168E-002, 1.7493744E-001, 2.0084944E-002, 6.4508891E-001, 0.0000000E+000, 6.0000000E+000, 2.3136353E+001, 1.5261952E+001, 2.5423729E+001, 7.0290681E-001, 3.9247104E+001, 3.7733691E-001, 1.6000000E+001, 2.9909485E+002, 2.9613058E+002, 2.9694011E+002, 2.9825844E+002, 3.0109390E+002, 8.1928039E-001, 2.3623264E+000, 4.4883944E+000, 5.7063010E+000, 9.1048442E+000
 2.3000000E+001, 1.3855672E+003, 1.4205297E+003, 3.5408434E+000, 9.2938428E+001, 1.0096925E+002, 2.0070168E-001, 5.5689886E-002, 7.5836599E-002, 1.3618875E-002, 1.0013788E-002, 1.6852965E-001, 1.3618875E-002, 6.6269232E-001, 0.0000000E+000, 7.0000000E+000, 2.3136353E+001, 1.5261952E+001, 2.7966102E+001, 6.8076654E-001, 4.1557389E+001, 3.7733691E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.5000000E+001, 1.3855672E+003, 1.4205297E+003, 3.8542411E+000, 9.2938428E+001, 1.0096925E+002, 2.5221899E-001, 5.5689886E-002, 7.5836599E-002, 1.3618875E-002, 1.0013788E-002, 1.6852965E-001, 1.3618875E-002, 6.6269232E-001, 0.0000000E+000, 8.0000000E+000, 1.1320031E+001, 7.0739174E+000, 3.0508475E+001, 6.5352068E-001, 4.3867750E+001, 3.2327937E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.7000000E+001, 1.3526707E+003, 1.3854887E+003, 3.8542411E+000, 1.2165039E+002, 1.3195604E+002, 2.5221899E-001, 6.5989313E-002, 7.3504224E-002, 8.4940293E-003, 6.0721834E-003, 1.5881792E-001, 8.4940293E-003, 6.7862831E-001, 0.0000000E+000, 9.0000000E+000, 1.1320031E+001, 7.0739174E+000, 3.3050847E+001, 6.5352068E-001, 4.6178175E+001, 2.9239563E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.9000000E+001, 1.3526707E+003, 1.3854887E+003, 4.0970761E+000, 1.2165039E+002, 1.3195604E+002, 3.0303043E-001, 6.5989313E-002, 7.3504224E-002, 8.4940293E-003, 6.0721834E-003, 1.5881792E-001, 8.4940293E-003, 6.7862831E-001, 0.0000000E+000, 1.0000000E+001, 1.1320031E+001, 7.0739174E+000, 3.5593220E+001, 6.2278077E-001, 4.8488654E+001, 2.5385824E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.1000000E+001, 1.2977854E+003, 1.3267712E+003, 4.0970761E+000, 1.4167677E+002, 1.5313045E+002, 3.0303043E-001, 7.7756324E-002, 6.9222317E-002, 5.0825051E-003, 3.6387869E-003, 1.4690941E-001, 5.0825051E-003, 6.9230815E-001, 0.0000000E+000, 1.1000000E+001, 1.1320031E+001, 7.0739174E+000, 3.8135593E+001, 5.8993428E-001, 5.0799181E+001, 2.5385824E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.3000000E+001, 1.2977854E+003, 1.3267712E+003, 4.2742816E+000, 1.4167677E+002, 1.5313045E+002, 3.5192287E-001, 7.7756324E-002, 6.9222317E-002, 5.0825051E-003, 3.6387869E-003, 1.4690941E-001, 5.0825051E-003, 6.9230815E-001, 0.0000000E+000, 1.2000000E+001, 6.0830268E+000, 4.1934455E+000, 4.0677966E+001, 5.8993428E-001, 5.3109749E+001, 2.0250253E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.5000000E+001, 1.2292300E+003, 1.2536153E+003, 4.2742816E+000, 1.5158517E+002, 1.6311150E+002, 3.5192287E-001, 9.0128739E-002, 6.3765939E-002, 2.9610940E-003, 2.1846507E-003, 1.3393268E-001, 2.9610940E-003, 7.0406580E-001, 0.0000000E+000, 1.3000000E+001, 6.0830268E+000, 4.1934455E+000, 4.3220339E+001, 5.5614843E-001, 5.5420353E+001, 2.0250253E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.7000000E+001, 1.2292300E+003, 1.2536153E+003, 4.4094522E+000, 1.5158517E+002, 1.6311150E+002, 4.0084502E-001, 9.0128739E-002, 6.3765939E-002, 2.9610940E-003, 2.1846507E-003, 1.3393268E-001, 2.9610940E-003, 7.0406580E-001, 0.0000000E+000, 1.4000000E+001, 6.0830268E+000, 4.1934455E+000, 4.5762712E+001, 5.2231668E-001, 5.7730989E+001, 1.7824996E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.9000000E+001, 1.1554717E+003, 1.1753308E+003, 4.4094522E+000, 1.5426438E+002, 1.6525980E+002, 4.0084502E-001, 1.0218187E-001, 5.7914082E-002, 1.7342025E-003, 1.3104693E-003, 1.2105097E-001, 1.7342025E-003, 7.1407420E-001, 0.0000000E+000, 1.5000000E+001, 3.4875474E-002,-1.2747315E-001, 4.8305085E+001, 5.2231668E-001, 6.0041652E+001, 1.6381786E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.1000000E+001, 1.1554717E+003, 1.1753308E+003, 4.4993229E+000, 1.5426438E+002, 1.6525980E+002, 4.4952849E-001, 1.0218187E-001, 5.7914082E-002, 1.7342025E-003, 1.3104693E-003, 1.2105097E-001, 1.7342025E-003, 7.1407420E-001, 0.0000000E+000,NaN,NaN,NaN, 5.0847458E+001, 4.8894493E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.3000000E+001, 1.0811585E+003, 1.0969419E+003, 4.5623581E+000, 1.5196070E+002, 1.6219982E+002, 4.9481216E-001, 1.1359075E-001, 5.2088955E-002, 1.0147817E-003, 8.0195665E-004, 1.0872376E-001, 1.0147817E-003, 7.2276502E-001, 0.0000000E+000,NaN,NaN,NaN, 5.3389831E+001, 4.5628941E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.5000000E+001, 1.0105265E+003, 1.0229225E+003, 4.5623581E+000, 1.4739051E+002, 1.5691115E+002, 4.9481216E-001, 1.2390002E-001, 4.6670154E-002, 6.0889041E-004, 4.9294684E-004, 9.7516601E-002, 6.0889041E-004, 7.3020250E-001, 0.0000000E+000,NaN,NaN,NaN, 5.5932203E+001, 4.5628941E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.7000000E+001, 1.0105265E+003, 1.0229225E+003, 4.5919640E+000, 1.4739051E+002, 1.5691115E+002, 5.3884946E-001, 1.2390002E-001, 4.6670154E-002, 6.0889041E-004, 4.9294684E-004, 9.7516601E-002, 6.0889041E-004, 7.3020250E-001, 0.0000000E+000,NaN,NaN,NaN, 5.8474576E+001, 4.2463640E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.9000000E+001, 9.4492081E+002, 9.5457970E+002, 4.5919640E+000, 1.4110514E+002, 1.4990557E+002, 5.3884946E-001, 1.3310350E-001, 4.1752479E-002, 3.6921926E-004, 3.1153359E-004, 8.7472939E-002, 3.6921926E-004, 7.3662111E-001, 0.0000000E+000,NaN,NaN,NaN, 6.1016949E+001, 3.9429110E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.1000000E+001, 9.4492081E+002, 9.5457970E+002, 4.6069591E+000, 1.4110514E+002, 1.4990557E+002, 5.7841123E-001, 1.3310350E-001, 4.1752479E-002, 3.6921926E-004, 3.1153359E-004, 8.7472939E-002, 3.6921926E-004, 7.3662111E-001, 0.0000000E+000,NaN,NaN,NaN, 6.3559322E+001, 3.6552857E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.3000000E+001, 8.8593472E+002, 8.9349346E+002, 4.6069591E+000, 1.3420660E+002, 1.4232601E+002, 5.7841123E-001, 1.4106352E-001, 3.7455644E-002, 2.3035036E-004, 1.9782983E-004, 7.8766948E-002, 2.3035036E-004, 7.4205536E-001, 0.0000000E+000,NaN,NaN,NaN, 6.6101695E+001, 3.6552857E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.5000000E+001, 8.8593472E+002, 8.9349346E+002, 4.5954754E+000, 1.3420660E+002, 1.4232601E+002, 6.1897006E-001, 1.4106352E-001, 3.7455644E-002, 2.3035036E-004, 1.9782983E-004, 7.8766948E-002, 2.3035036E-004, 7.4205536E-001, 0.0000000E+000,NaN,NaN,NaN, 6.8644068E+001, 3.3859121E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.7000000E+001, 8.3181990E+002, 8.3773553E+002, 4.5954754E+000, 1.2719058E+002, 1.3471041E+002, 6.1897006E-001, 1.4814429E-001, 3.3608281E-002, 1.4493949E-004, 1.2826185E-004, 7.1010085E-002, 1.4493949E-004, 7.4681920E-001, 0.0000000E+000,NaN,NaN,NaN, 7.1186441E+001, 3.1351570E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.9000000E+001, 8.3181990E+002, 8.3773553E+002, 4.5752261E+000, 1.2719058E+002, 1.3471041E+002, 6.6025593E-001, 1.4814429E-001, 3.3608281E-002, 1.4493949E-004, 1.2826185E-004, 7.1010085E-002, 1.4493949E-004, 7.4681920E-001, 0.0000000E+000,NaN,NaN,NaN, 7.3728814E+001, 3.1351570E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
