cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.2009434E+001, 1.2944971E+003, 1.4560668E+002, 4.5285714E+001, 3.3823992E+002, 1.4559367E+001, 3.2138442E+002, 5.6020998E+000, 3.1499237E+002, 4.9909529E+000, 3.1313609E+002, 1.0542793E+001, 3.1641195E+002, 1.6061808E+001, 1.1024000E+002, 2.6870000E+000, 7.7971305E-001, 3.2916219E+000, 3.0312653E+000, 2.6595745E+000, 5.8500000E+001, 8.9777815E-001
 5.5971698E+001, 1.2687231E+003, 1.6458681E+002, 4.9500000E+001, 3.3823992E+002, 1.4559367E+001, 3.2138442E+002, 5.6020998E+000, 3.1499237E+002, 4.9909529E+000, 3.1313609E+002, 1.0542793E+001, 3.1641195E+002, 1.6061808E+001, 1.1472000E+002, 2.8860000E+000, 7.7971305E-001, 3.2916219E+000, 3.0312653E+000, 2.6595745E+000, 6.3000000E+001, 8.9435070E-001
 5.9933962E+001, 1.2687231E+003, 1.6458681E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.1920000E+002, 3.0850000E+000, 7.0160346E-001, 3.0293547E+000, 2.8090839E+000, 2.4835651E+000, 6.7500000E+001, 8.8707140E-001
 6.3896226E+001, 1.2412152E+003, 1.8029441E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2368000E+002, 3.2840000E+000, 6.3333109E-001, 2.7944865E+000, 2.6075459E+000, 2.3218334E+000, 7.2000000E+001, 8.7671267E-001
 6.7858491E+001, 1.2109937E+003, 1.9280567E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2816000E+002, 3.4830000E+000, 5.7338690E-001, 2.5835293E+000, 2.4244267E+000, 2.1730037E+000, 7.6500000E+001, 8.6438991E-001
 7.1820755E+001, 1.1793506E+003, 2.0215150E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3264000E+002, 3.6820000E+000, 5.2052976E-001, 2.3934937E+000, 2.2578694E+000, 2.0358822E+000, 8.1000000E+001, 8.5101223E-001
 7.5783019E+001, 1.1469747E+003, 2.0841750E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3712000E+002, 3.8810000E+000, 4.7373921E-001, 2.2217673E+000, 2.1061439E+000, 1.9094863E+000, 8.5500000E+001, 8.3708997E-001
 7.9745283E+001, 1.1469747E+003, 2.0841750E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4160000E+002, 4.0800000E+000, 4.3216825E-001, 2.0660094E+000, 1.9676577E+000, 1.7928822E+000, 9.0000000E+001, 8.2278522E-001
 8.3707547E+001, 1.1146827E+003, 2.1123816E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4608000E+002, 4.2790000E+000, 3.9510820E-001, 1.9243120E+000, 1.8409548E+000, 1.6852125E+000, 9.4500000E+001, 8.2278522E-001
 8.7669811E+001, 1.0825805E+003, 2.1214379E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5056000E+002, 4.4780000E+000, 3.6196338E-001, 1.7950480E+000, 1.7247628E+000, 1.5855980E+000, 9.9000000E+001, 8.0805504E-001
