cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 1.0000000E+000, 5.7755318E+002, 5.7338240E+002,-2.1379113E-002, 3.5143622E+001, 3.9355935E+001, 4.6615742E-002, 5.1892322E-002, 3.0885597E-002, 1.4435583E-002, 4.6299599E-001, 4.2707060E-002, 8.9814541E-003, 3.8379922E-001, 9.7124124E-003, 1.2418341E-003
 3.0000000E+000, 6.1909355E+002, 6.1604764E+002, 3.8293093E-003, 3.0882893E+001, 3.4867579E+001, 1.1721816E-001, 5.7078676E-002, 3.4673494E-002, 1.6069070E-002, 4.0342298E-001, 4.7833743E-002, 9.9973782E-003, 4.2612836E-001, 1.1263008E-002, 1.4420382E-003
 5.0000000E+000, 7.0166951E+002, 7.0021799E+002, 1.8888224E-001, 4.6743586E+001, 5.4861117E+001, 1.6976094E-001, 6.2972742E-002, 4.1637089E-002, 1.8392210E-002, 3.1456303E-001, 5.6751863E-002, 1.1440129E-002, 4.8870914E-001, 1.3809797E-002, 1.7826258E-003
 7.0000000E+000, 7.2626211E+002, 7.2535696E+002, 4.8434642E-001, 5.3423774E+001, 6.3083303E+001, 1.9800828E-001, 6.3903154E-002, 4.3602383E-002, 1.8916322E-002, 2.9361865E-001, 5.9170161E-002, 1.1765098E-002, 5.0331514E-001, 1.4447723E-002, 1.8709332E-003
 9.0000000E+000, 7.9165775E+002, 7.9256380E+002, 8.1911777E-001, 7.5375601E+001, 9.0452960E+001, 2.2174057E-001, 6.4993703E-002, 4.8906143E-002, 2.0072363E-002, 2.4512301E-001, 6.5503131E-002, 1.2480599E-002, 5.3680344E-001, 1.5966097E-002, 2.0887697E-003
 1.1000000E+001, 8.2921512E+002, 8.3141805E+002, 1.1498412E+000, 8.4492965E+001, 1.0305567E+002, 2.4624346E-001, 6.4954958E-002, 5.2024808E-002, 2.0567694E-002, 2.2074064E-001, 6.9095735E-002, 1.2786047E-002, 5.5351836E-001, 1.6699715E-002, 2.2004092E-003
 1.3000000E+001, 8.6418448E+002, 8.6769958E+002, 1.4591120E+000, 9.0631334E+001, 1.1304081E+002, 2.7289615E-001, 6.4582115E-002, 5.4970458E-002, 2.0928128E-002, 1.9983251E-001, 7.2413797E-002, 1.3007415E-002, 5.6779729E-001, 1.7297750E-002, 2.2960405E-003
 1.5000000E+001, 8.9837498E+002, 9.0319191E+002, 1.7453051E+000, 9.6961665E+001, 1.2430294E+002, 3.0356178E-001, 6.3998184E-002, 5.7841529E-002, 2.1162620E-002, 1.8106700E-001, 7.5568965E-002, 1.3150166E-002, 5.8061986E-001, 1.7775115E-002, 2.3783861E-003
 1.7000000E+001, 9.3113537E+002, 9.3726247E+002, 2.0098270E+000, 1.0126687E+002, 1.3406572E+002, 3.3777230E-001, 6.3462507E-002, 6.0565683E-002, 2.1215767E-002, 1.6398413E-001, 7.8455143E-002, 1.3179771E-002, 5.9247059E-001, 1.8074930E-002, 2.4405889E-003
 1.9000000E+001, 9.6173270E+002, 9.6905463E+002, 2.2539032E+000, 1.0365626E+002, 1.4255969E+002, 3.7472478E-001, 6.3132296E-002, 6.3048260E-002, 2.1105926E-002, 1.4841819E-001, 8.0987711E-002, 1.3107829E-002, 6.0350485E-001, 1.8208775E-002, 2.4829000E-003
 2.1000000E+001, 9.8976305E+002, 9.9799090E+002, 2.4786602E+000, 1.0405167E+002, 1.5021348E+002, 4.1307682E-001, 6.3079786E-002, 6.5227791E-002, 2.0902079E-002, 1.3413128E-001, 8.3147480E-002, 1.2977535E-002, 6.1384092E-001, 1.8241650E-002, 2.5116521E-003
 2.3000000E+001, 1.0156784E+003, 1.0246919E+003, 2.6851015E+000, 1.0416045E+002, 1.5781320E+002, 4.5350298E-001, 6.3303135E-002, 6.7152644E-002, 2.0587713E-002, 1.2086694E-001, 8.4974725E-002, 1.2778506E-002, 6.2367840E-001, 1.8157296E-002, 2.5254916E-003
 2.5000000E+001, 1.0382281E+003, 1.0476758E+003, 2.8735336E+000, 1.0353721E+002, 1.6502425E+002, 5.0090621E-001, 6.3937086E-002, 6.8747578E-002, 2.0125109E-002, 1.0869697E-001, 8.6369053E-002, 1.2487265E-002, 6.3305870E-001, 1.7915816E-002, 2.5192726E-003
 2.7000000E+001, 1.0575398E+003, 1.0670517E+003, 3.0452655E+000, 1.0305633E+002, 1.7264485E+002, 5.5286992E-001, 6.4946184E-002, 7.0025141E-002, 1.9547935E-002, 9.7540484E-002, 8.7364387E-002, 1.2124840E-002, 6.4198831E-001, 1.7543975E-002, 2.4958972E-003
 2.9000000E+001, 1.0742884E+003, 1.0834167E+003, 3.2015468E+000, 1.0289406E+002, 1.8108653E+002, 6.0447407E-001, 6.6204963E-002, 7.1023527E-002, 1.8936789E-002, 8.7339871E-002, 8.8049697E-002, 1.1741552E-002, 6.5037119E-001, 1.7125392E-002, 2.4646913E-003
 3.1000000E+001, 1.0893736E+003, 1.0980692E+003, 3.3455822E+000, 1.0433063E+002, 1.9030285E+002, 6.5240310E-001, 6.7494569E-002, 7.1863862E-002, 1.8316003E-002, 7.8162957E-002, 8.8563372E-002, 1.1352450E-002, 6.5805066E-001, 1.6680931E-002, 2.4289713E-003
 3.3000000E+001, 1.1022092E+003, 1.1103224E+003, 3.4805013E+000, 1.0509664E+002, 1.9839652E+002, 6.9425535E-001, 6.8913688E-002, 7.2505842E-002, 1.7671462E-002, 6.9892314E-002, 8.8856051E-002, 1.0948763E-002, 6.6516246E-001, 1.6197935E-002, 2.3869960E-003
 3.5000000E+001, 1.1079187E+003, 1.1156641E+003, 3.6040568E+000, 1.0597175E+002, 2.0273019E+002, 7.3941628E-001, 6.9658518E-002, 7.2756143E-002, 1.7354894E-002, 6.6064215E-002, 8.8932441E-002, 1.0750578E-002, 6.6850731E-001, 1.5956056E-002, 2.3652156E-003
 3.7000000E+001, 1.1202457E+003, 1.1263011E+003, 3.7152235E+000, 1.1210251E+002, 2.1854706E+002, 7.9286196E-001, 7.2389694E-002, 7.3108760E-002, 1.6246057E-002, 5.5801466E-002, 8.8651633E-002, 1.0057092E-002, 6.7803874E-001, 1.5051368E-002, 2.2763589E-003
 3.9000000E+001, 1.1239777E+003, 1.1280669E+003, 3.8146747E+000, 1.1723422E+002, 2.3020656E+002, 8.4486167E-001, 7.4710212E-002, 7.2890167E-002, 1.5480763E-002, 4.9924163E-002, 8.7981090E-002, 9.5790781E-003, 6.8392430E-001, 1.4403476E-002, 2.2076199E-003
 4.1000000E+001, 1.1251240E+003, 1.1265880E+003, 3.9055053E+000, 1.2350598E+002, 2.4330468E+002, 8.8848422E-001, 7.7276245E-002, 7.2437615E-002, 1.4686638E-002, 4.4676218E-002, 8.7051237E-002, 9.0833546E-003, 6.8948729E-001, 1.3715317E-002, 2.1320471E-003
 4.3000000E+001, 1.1241001E+003, 1.1226424E+003, 3.9843658E+000, 1.3028368E+002, 2.5648501E+002, 9.3111955E-001, 8.0011758E-002, 7.1809422E-002, 1.3877534E-002, 3.9939796E-002, 8.5930661E-002, 8.5785028E-003, 6.9476746E-001, 1.3002741E-002, 2.0519540E-003
 4.5000000E+001, 1.1225585E+003, 1.1195558E+003, 4.0499356E+000, 1.3391183E+002, 2.6302721E+002, 9.7493410E-001, 8.1486520E-002, 7.1398755E-002, 1.3477529E-002, 3.7725578E-002, 8.5273933E-002, 8.3290468E-003, 6.9733308E-001, 1.2648416E-002, 2.0111403E-003
 4.7000000E+001, 1.1179681E+003, 1.1120176E+003, 4.1017179E+000, 1.4187493E+002, 2.7571761E+002, 1.0246520E+000, 8.4549586E-002, 7.0445174E-002, 1.2708070E-002, 3.3549420E-002, 8.3843243E-002, 7.8494056E-003, 7.0229352E-001, 1.1965379E-002, 1.9309340E-003
 4.9000000E+001, 1.1080600E+003, 1.0975381E+003, 4.1430460E+000, 1.5681635E+002, 2.9629597E+002, 1.0731475E+000, 8.9306766E-002, 6.8803663E-002, 1.1564360E-002, 2.7960560E-002, 8.1485256E-002, 7.1367725E-003, 7.0930416E-001, 1.0938317E-002, 1.8080490E-003
