cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 7.3904287E+002, 6.1432641E+001,-9.5000000E+000, 1.1698116E+003, 1.3659401E+002, 1.0937633E+003, 1.9736123E+002, 1.0056820E+003, 2.4570574E+002, 8.3807334E+002, 2.2790682E+002, 6.4709843E+002, 1.4435802E+002, 5.2000000E+001, 1.0000000E-001, 0.0000000E+000, 7.8091182E+000, 6.9301007E+000, 6.1655531E+000, 0.0000000E+000, 5.9277778E-001
 4.4622642E+000, 7.8421523E+002, 7.0228147E+001,-5.2857143E+000, 1.0989596E+003, 1.2129135E+002, 1.1766768E+003, 1.4625155E+002, 1.0855774E+003, 2.2248273E+002, 8.8436208E+002, 2.2979634E+002, 6.8277381E+002, 1.5403517E+002, 5.6480000E+001, 2.9900000E-001, 0.0000000E+000, 6.9513025E+000, 6.2192105E+000, 5.5440796E+000, 4.5000000E+000, 5.6449665E-001
 8.4245283E+000, 8.7431961E+002, 8.9966162E+001,-1.0714286E+000, 9.8507887E+002, 1.0591557E+002, 1.2162315E+003, 1.0448502E+002, 1.1580648E+003, 1.8121888E+002, 9.3857883E+002, 2.2370486E+002, 7.1756274E+002, 1.7173386E+002, 6.0960000E+001, 4.9800000E-001, 0.0000000E+000, 6.2113764E+000, 5.6066238E+000, 5.0126397E+000, 9.0000000E+000, 5.8087712E-001
 1.2386792E+001, 9.1138018E+002, 9.9640525E+001, 3.1428571E+000, 1.1275260E+003, 1.2238927E+002, 1.1958002E+003, 1.3144625E+002, 1.0759308E+003, 2.0535195E+002, 8.7777870E+002, 2.0773003E+002, 6.9076779E+002, 1.5636331E+002, 6.5440000E+001, 6.9700000E-001, 0.0000000E+000, 5.5698519E+000, 5.0736258E+000, 4.5528354E+000, 1.3500000E+001, 6.9135162E-001
 1.6349057E+001, 9.7495915E+002, 1.1139666E+002, 7.3571429E+000, 1.2024641E+003, 1.3770261E+002, 1.1090603E+003, 1.7901405E+002, 9.8584807E+002, 2.2499332E+002, 8.0478164E+002, 1.9398176E+002, 6.5685919E+002, 1.4526594E+002, 6.9920000E+001, 8.9600000E-001, 0.0000000E+000, 5.2811287E+000, 4.8325338E+000, 4.3453864E+000, 1.8000000E+001, 7.8765395E-001
 2.0311321E+001, 1.0297693E+003, 1.1905550E+002, 1.1571429E+001, 1.0231870E+003, 2.0176328E+002, 8.0029728E+002, 1.9934591E+002, 7.3447154E+002, 1.9330259E+002, 6.5453829E+002, 1.6734267E+002, 5.7807349E+002, 1.2920766E+002, 7.4400000E+001, 1.0950000E+000, 0.0000000E+000, 4.7596195E+000, 4.3941793E+000, 3.9686462E+000, 2.2500000E+001, 7.9549769E-001
 2.4273585E+001, 1.0538653E+003, 1.2145811E+002, 1.5785714E+001, 7.7421287E+002, 1.8713006E+002, 5.6676952E+002, 1.4435303E+002, 5.5262647E+002, 1.4861845E+002, 5.3363366E+002, 1.3200675E+002, 5.0032580E+002, 1.0049464E+002, 7.8880000E+001, 1.2940000E+000, 0.0000000E+000, 4.3034646E+000, 4.0067209E+000, 3.6356494E+000, 2.7000000E+001, 7.7460614E-001
 2.8235849E+001, 1.0952370E+003, 1.2303353E+002, 2.0000000E+001, 6.8774382E+002, 1.6394084E+002, 4.9745944E+002, 1.1016599E+002, 4.9531232E+002, 1.2584738E+002, 4.8498971E+002, 1.1600466E+002, 4.6811808E+002, 9.2600150E+001, 8.3360000E+001, 1.4930000E+000, 0.0000000E+000, 3.9031707E+000, 3.6626961E+000, 3.3394832E+000, 3.1500000E+001, 7.2428475E-001
 3.2198113E+001, 1.1130647E+003, 1.2283706E+002, 2.4214286E+001, 5.7039467E+002, 1.1600288E+002, 4.1584167E+002, 5.9322373E+001, 4.0857814E+002, 7.9470519E+001, 4.1765630E+002, 8.5109410E+001, 4.1299699E+002, 7.1843847E+001, 8.7840000E+001, 1.6920000E+000, 0.0000000E+000, 3.5507448E+000, 3.3560247E+000, 3.0746695E+000, 3.6000000E+001, 6.9700825E-001
