Soot volume fraction (ppm),10_cm,5_cm,0_cm
2.50E-02,1.81E+01,1.31E+01,1.11E+01
7.50E-02,8.36E-01,2.64E+00,1.90E+00
1.25E-01,3.59E-01,1.26E+00,8.64E-01
1.75E-01,1.91E-01,7.31E-01,5.83E-01
2.25E-01,1.08E-01,3.83E-01,3.71E-01
2.75E-01,7.56E-02,2.60E-01,2.97E-01
3.25E-01,6.33E-02,1.81E-01,2.59E-01
3.75E-01,4.44E-02,1.49E-01,2.03E-01
4.25E-01,4.22E-02,1.07E-01,2.18E-01
4.75E-01,2.78E-02,8.89E-02,1.80E-01
5.25E-01,1.78E-02,8.78E-02,1.72E-01
5.75E-01,1.33E-02,7.56E-02,1.59E-01
6.25E-01,1.22E-02,7.22E-02,1.38E-01
6.75E-01,1.00E-02,6.11E-02,1.40E-01
7.25E-01,1.00E-02,4.56E-02,1.40E-01
7.75E-01,7.78E-03,5.78E-02,1.30E-01
8.25E-01,5.56E-03,4.33E-02,1.40E-01
8.75E-01,2.22E-03,4.33E-02,1.38E-01
9.25E-01,3.33E-03,3.78E-02,1.42E-01
9.75E-01,7.78E-03,3.44E-02,1.42E-01
1.02E+00,4.44E-03,3.56E-02,1.32E-01
1.08E+00,1.11E-03,2.33E-02,1.21E-01
1.12E+00,3.33E-03,3.11E-02,1.33E-01
1.18E+00,2.22E-03,2.56E-02,1.66E-01
1.23E+00,0.00E+00,3.11E-02,1.36E-01
1.27E+00,1.11E-03,3.11E-02,1.21E-01
1.33E+00,1.11E-03,3.11E-02,1.37E-01
1.38E+00,1.11E-03,2.00E-02,1.31E-01
1.43E+00,2.22E-03,2.89E-02,1.31E-01
1.48E+00,1.11E-03,3.00E-02,1.42E-01
1.52E+00,0.00E+00,1.89E-02,1.18E-01
1.58E+00,1.11E-03,2.22E-02,1.18E-01
1.62E+00,1.11E-03,1.78E-02,1.29E-01
1.68E+00,0.00E+00,2.00E-02,1.04E-01
