Soot volume fraction (ppm),10_cm,5_cm,0_cm
2.50E-02,1.51E+01,1.22E+01,1.29E+01
7.50E-02,2.76E+00,4.14E+00,3.03E+00
1.25E-01,9.24E-01,1.46E+00,1.26E+00
1.75E-01,4.92E-01,6.94E-01,6.79E-01
2.25E-01,2.34E-01,4.03E-01,4.51E-01
2.75E-01,1.26E-01,2.40E-01,3.31E-01
3.25E-01,1.14E-01,1.90E-01,2.57E-01
3.75E-01,5.00E-02,1.52E-01,2.12E-01
4.25E-01,2.78E-02,1.07E-01,1.54E-01
4.75E-01,2.56E-02,8.00E-02,1.24E-01
5.25E-01,2.78E-02,5.89E-02,1.20E-01
5.75E-01,1.44E-02,5.56E-02,8.00E-02
6.25E-01,1.44E-02,5.56E-02,8.33E-02
6.75E-01,1.33E-02,4.67E-02,7.11E-02
7.25E-01,1.44E-02,4.67E-02,4.00E-02
7.75E-01,1.22E-02,1.89E-02,4.89E-02
8.25E-01,1.22E-02,1.78E-02,3.33E-02
8.75E-01,8.89E-03,1.78E-02,4.78E-02
9.25E-01,1.00E-02,1.56E-02,2.89E-02
9.75E-01,8.89E-03,1.33E-02,2.89E-02
1.02E+00,1.22E-02,7.78E-03,1.00E-02
1.08E+00,7.78E-03,3.33E-03,1.22E-02
1.12E+00,1.56E-02,2.22E-03,1.11E-02
1.18E+00,3.33E-03,6.67E-03,6.67E-03
1.23E+00,1.11E-03,2.22E-03,6.67E-03
1.27E+00,2.22E-03,6.67E-03,2.22E-03
1.33E+00,0.00E+00,0.00E+00,3.33E-03
1.38E+00,0.00E+00,0.00E+00,2.22E-03
1.43E+00,0.00E+00,0.00E+00,1.11E-03
1.48E+00,0.00E+00,0.00E+00,1.11E-03
1.52E+00,0.00E+00,0.00E+00,1.11E-03
1.58E+00,0.00E+00,0.00E+00,0.00E+00
1.62E+00,0.00E+00,0.00E+00,0.00E+00
1.68E+00,0.00E+00,0.00E+00,0.00E+00
