Soot volume fraction (ppm),10_cm,5_cm,0_cm
2.50E-02,1.12E+01,4.99E+00,3.86E+00
7.50E-02,2.62E+00,3.89E+00,4.19E+00
1.25E-01,1.72E+00,3.01E+00,3.02E+00
1.75E-01,1.33E+00,2.33E+00,1.95E+00
2.25E-01,8.20E-01,1.46E+00,1.34E+00
2.75E-01,5.95E-01,9.96E-01,9.87E-01
3.25E-01,4.83E-01,7.47E-01,7.17E-01
3.75E-01,3.44E-01,5.62E-01,4.89E-01
4.25E-01,2.22E-01,4.64E-01,3.93E-01
4.75E-01,1.56E-01,2.84E-01,2.93E-01
5.25E-01,1.17E-01,2.45E-01,2.56E-01
5.75E-01,6.75E-02,1.86E-01,2.40E-01
6.25E-01,5.49E-02,1.19E-01,1.89E-01
6.75E-01,5.60E-02,1.03E-01,1.50E-01
7.25E-01,3.32E-02,7.20E-02,1.26E-01
7.75E-01,3.32E-02,5.83E-02,1.21E-01
8.25E-01,1.83E-02,4.80E-02,1.12E-01
8.75E-01,2.86E-02,4.23E-02,1.21E-01
9.25E-01,1.94E-02,3.43E-02,9.95E-02
9.75E-01,1.26E-02,2.86E-02,1.08E-01
1.02E+00,1.37E-02,3.20E-02,8.69E-02
1.08E+00,4.57E-03,2.63E-02,9.26E-02
1.12E+00,6.86E-03,2.06E-02,7.89E-02
1.18E+00,3.43E-03,2.29E-02,6.63E-02
1.23E+00,5.72E-03,1.26E-02,6.98E-02
1.27E+00,3.43E-03,1.72E-02,7.20E-02
1.33E+00,2.29E-03,2.17E-02,8.35E-02
1.38E+00,0.00E+00,1.60E-02,7.55E-02
1.43E+00,0.00E+00,2.29E-02,5.95E-02
1.48E+00,2.29E-03,1.83E-02,6.29E-02
1.52E+00,0.00E+00,1.49E-02,4.80E-02
1.58E+00,1.14E-03,1.14E-02,6.40E-02
1.62E+00,1.14E-03,1.49E-02,6.29E-02
1.68E+00,0.00E+00,1.37E-02,5.38E-02
1.73E+00,1.14E-03,1.14E-02,3.77E-02
1.77E+00,1.14E-03,1.49E-02,3.77E-02
1.83E+00,0.00E+00,9.15E-03,4.92E-02
1.88E+00,0.00E+00,5.72E-03,2.97E-02
1.93E+00,0.00E+00,4.57E-03,1.83E-02
1.98E+00,0.00E+00,4.57E-03,2.29E-02
2.03E+00,0.00E+00,0.00E+00,1.03E-02
2.08E+00,0.00E+00,1.14E-03,1.14E-02
2.12E+00,0.00E+00,3.43E-03,1.26E-02
2.17E+00,0.00E+00,0.00E+00,3.43E-03
2.23E+00,0.00E+00,3.43E-03,9.15E-03
2.28E+00,0.00E+00,0.00E+00,3.43E-03
2.33E+00,0.00E+00,1.14E-03,1.14E-03
2.38E+00,0.00E+00,0.00E+00,0.00E+00
2.43E+00,0.00E+00,0.00E+00,4.57E-03
2.48E+00,0.00E+00,0.00E+00,3.43E-03
2.53E+00,0.00E+00,0.00E+00,4.57E-03
2.58E+00,0.00E+00,0.00E+00,2.29E-03
2.62E+00,0.00E+00,0.00E+00,2.29E-03
2.68E+00,0.00E+00,0.00E+00,0.00E+00
2.73E+00,0.00E+00,0.00E+00,0.00E+00
2.78E+00,0.00E+00,0.00E+00,0.00E+00
2.83E+00,0.00E+00,0.00E+00,0.00E+00
2.88E+00,0.00E+00,0.00E+00,0.00E+00
2.93E+00,0.00E+00,0.00E+00,0.00E+00
2.98E+00,0.00E+00,0.00E+00,0.00E+00
3.03E+00,0.00E+00,0.00E+00,0.00E+00
3.08E+00,0.00E+00,0.00E+00,0.00E+00
3.12E+00,0.00E+00,0.00E+00,0.00E+00
3.18E+00,0.00E+00,0.00E+00,0.00E+00
3.23E+00,0.00E+00,0.00E+00,0.00E+00
3.28E+00,0.00E+00,0.00E+00,0.00E+00
3.33E+00,0.00E+00,0.00E+00,0.00E+00
3.38E+00,0.00E+00,0.00E+00,0.00E+00
3.43E+00,0.00E+00,0.00E+00,0.00E+00
3.48E+00,0.00E+00,0.00E+00,0.00E+00
3.53E+00,0.00E+00,0.00E+00,0.00E+00
3.58E+00,0.00E+00,0.00E+00,0.00E+00
3.62E+00,0.00E+00,0.00E+00,0.00E+00
3.68E+00,0.00E+00,0.00E+00,0.00E+00
3.73E+00,0.00E+00,0.00E+00,0.00E+00
3.78E+00,0.00E+00,0.00E+00,0.00E+00
3.83E+00,0.00E+00,0.00E+00,0.00E+00
3.88E+00,0.00E+00,0.00E+00,0.00E+00
3.93E+00,0.00E+00,0.00E+00,0.00E+00
3.98E+00,0.00E+00,0.00E+00,0.00E+00
4.03E+00,0.00E+00,0.00E+00,0.00E+00
4.08E+00,0.00E+00,0.00E+00,0.00E+00
4.12E+00,0.00E+00,0.00E+00,0.00E+00
4.18E+00,0.00E+00,0.00E+00,0.00E+00
4.22E+00,0.00E+00,0.00E+00,0.00E+00
4.28E+00,0.00E+00,0.00E+00,0.00E+00
4.33E+00,0.00E+00,0.00E+00,0.00E+00
4.38E+00,0.00E+00,0.00E+00,0.00E+00
4.43E+00,0.00E+00,0.00E+00,0.00E+00
4.47E+00,0.00E+00,0.00E+00,0.00E+00
4.53E+00,0.00E+00,0.00E+00,0.00E+00
4.58E+00,0.00E+00,0.00E+00,0.00E+00
4.62E+00,0.00E+00,0.00E+00,0.00E+00
4.68E+00,0.00E+00,0.00E+00,0.00E+00
4.72E+00,0.00E+00,0.00E+00,0.00E+00
4.78E+00,0.00E+00,0.00E+00,0.00E+00
