Soot volume fraction (ppm),10_cm,5_cm,0_cm
2.50E-02,1.89E+01,1.51E+01,6.76E+00
7.50E-02,2.52E-01,1.56E+00,1.72E+00
1.25E-01,1.35E-01,6.79E-01,1.27E+00
1.75E-01,7.23E-02,3.49E-01,1.03E+00
2.25E-01,6.08E-02,2.47E-01,8.05E-01
2.75E-01,3.56E-02,2.11E-01,6.74E-01
3.25E-01,4.36E-02,1.69E-01,6.63E-01
3.75E-01,3.33E-02,1.27E-01,6.51E-01
4.25E-01,2.52E-02,1.20E-01,5.20E-01
4.75E-01,3.10E-02,9.29E-02,4.61E-01
5.25E-01,3.90E-02,8.83E-02,4.01E-01
5.75E-01,2.52E-02,8.03E-02,3.70E-01
6.25E-01,2.52E-02,7.80E-02,4.22E-01
6.75E-01,1.61E-02,7.57E-02,3.57E-01
7.25E-01,1.38E-02,6.19E-02,3.61E-01
7.75E-01,1.61E-02,6.08E-02,2.96E-01
8.25E-01,1.49E-02,5.73E-02,2.96E-01
8.75E-01,1.49E-02,5.62E-02,2.80E-01
9.25E-01,8.03E-03,5.85E-02,2.39E-01
9.75E-01,6.88E-03,6.31E-02,2.43E-01
1.02E+00,1.38E-02,4.82E-02,2.16E-01
1.08E+00,4.59E-03,5.96E-02,1.62E-01
1.12E+00,5.73E-03,5.51E-02,1.88E-01
1.18E+00,1.38E-02,4.82E-02,2.02E-01
1.23E+00,6.88E-03,3.90E-02,1.61E-01
1.27E+00,2.29E-03,3.56E-02,1.74E-01
1.33E+00,3.44E-03,2.41E-02,1.49E-01
1.38E+00,3.44E-03,2.98E-02,9.86E-02
1.43E+00,8.03E-03,3.44E-02,8.49E-02
1.48E+00,8.03E-03,2.52E-02,8.37E-02
1.52E+00,8.03E-03,2.41E-02,9.06E-02
1.58E+00,5.73E-03,2.06E-02,8.26E-02
1.62E+00,4.59E-03,2.52E-02,7.34E-02
1.68E+00,4.59E-03,2.52E-02,5.39E-02
1.73E+00,3.44E-03,1.38E-02,5.73E-02
1.77E+00,5.73E-03,2.06E-02,4.70E-02
1.83E+00,4.59E-03,1.15E-02,5.62E-02
1.88E+00,5.73E-03,1.26E-02,2.87E-02
1.93E+00,4.59E-03,1.03E-02,2.75E-02
1.98E+00,1.15E-03,1.03E-02,2.87E-02
2.03E+00,0.00E+00,1.38E-02,2.87E-02
2.08E+00,5.73E-03,9.18E-03,3.33E-02
2.12E+00,4.59E-03,9.18E-03,1.72E-02
2.17E+00,4.59E-03,9.18E-03,1.15E-02
2.23E+00,2.29E-03,1.03E-02,1.03E-02
2.28E+00,3.44E-03,8.03E-03,5.73E-03
2.33E+00,3.44E-03,8.03E-03,3.44E-03
2.38E+00,4.59E-03,4.59E-03,1.15E-03
2.43E+00,2.29E-03,2.29E-03,3.44E-03
2.48E+00,0.00E+00,8.03E-03,1.15E-03
2.53E+00,3.44E-03,3.44E-03,3.44E-03
2.58E+00,3.44E-03,3.44E-03,0.00E+00
2.62E+00,2.29E-03,4.59E-03,0.00E+00
2.68E+00,2.29E-03,2.29E-03,0.00E+00
2.73E+00,5.73E-03,1.15E-03,0.00E+00
2.78E+00,0.00E+00,1.15E-03,0.00E+00
2.83E+00,2.29E-03,1.15E-03,0.00E+00
2.88E+00,1.15E-03,5.73E-03,0.00E+00
2.93E+00,2.29E-03,1.15E-03,0.00E+00
2.98E+00,3.44E-03,0.00E+00,0.00E+00
3.03E+00,0.00E+00,0.00E+00,0.00E+00
3.08E+00,1.15E-03,1.15E-03,0.00E+00
3.12E+00,1.15E-03,1.15E-03,0.00E+00
3.18E+00,1.15E-03,0.00E+00,0.00E+00
3.23E+00,0.00E+00,0.00E+00,0.00E+00
3.28E+00,2.29E-03,1.15E-03,0.00E+00
3.33E+00,3.44E-03,1.15E-03,0.00E+00
3.38E+00,0.00E+00,1.15E-03,0.00E+00
3.43E+00,0.00E+00,0.00E+00,0.00E+00
3.48E+00,0.00E+00,0.00E+00,0.00E+00
3.53E+00,0.00E+00,0.00E+00,0.00E+00
3.58E+00,0.00E+00,0.00E+00,0.00E+00
3.62E+00,0.00E+00,0.00E+00,0.00E+00
3.68E+00,0.00E+00,0.00E+00,0.00E+00
