s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_MMA
 0.000E+00, 0.000E+00,-8.388E-04,-1.653E-11, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-8.388E-04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.011E+00, 1.074E+00,-2.872E-01, 9.696E-03,-5.122E-02, 2.599E-04, 0.000E+00, 0.000E+00, 7.422E-01, 7.457E-01, 0.000E+00, 2.468E-05, 0.000E+00, 0.000E+00, 1.328E-13
 4.005E+00, 3.283E+00,-9.222E-01,-9.920E-02,-1.663E-01, 3.168E-03, 0.000E+00, 0.000E+00, 2.093E+00, 2.098E+00, 0.000E+00, 7.341E-05, 0.000E+00, 0.000E+00, 1.348E-13
 6.004E+00, 5.496E+00,-1.552E+00,-6.737E-01,-3.499E-01, 1.139E-02, 0.000E+00, 0.000E+00, 2.933E+00, 2.931E+00, 0.000E+00, 1.220E-04, 0.000E+00, 0.000E+00, 1.431E-13
 8.000E+00, 7.723E+00,-2.192E+00,-2.014E+00,-5.454E-01, 2.482E-02, 0.000E+00, 0.000E+00, 3.028E+00, 2.996E+00, 0.000E+00, 1.707E-04, 0.000E+00, 0.000E+00, 2.492E-13
 1.000E+01, 9.942E+00,-2.839E+00,-3.261E+00,-7.974E-01, 4.385E-02, 0.000E+00, 0.000E+00, 3.122E+00, 3.089E+00, 0.000E+00, 2.194E-04, 0.000E+00, 0.000E+00, 2.870E-12
 1.200E+01, 1.217E+01,-3.490E+00,-5.513E+00,-1.004E+00, 6.825E-02, 0.000E+00, 0.000E+00, 2.278E+00, 2.230E+00, 0.000E+00, 2.682E-04, 0.000E+00, 0.000E+00, 5.835E-11
 1.400E+01, 1.439E+01,-4.136E+00,-7.308E+00,-1.221E+00, 9.599E-02, 0.000E+00, 0.000E+00, 1.872E+00, 1.824E+00, 0.000E+00, 3.169E-04, 0.000E+00, 0.000E+00, 2.374E-09
 1.600E+01, 1.659E+01,-4.763E+00,-1.034E+01,-1.342E+00, 1.261E-01, 0.000E+00, 0.000E+00, 3.227E-01, 2.734E-01, 0.000E+00, 3.656E-04, 0.000E+00, 0.000E+00, 3.558E-08
 1.800E+01, 1.878E+01,-5.416E+00,-9.064E+00,-1.568E+00, 1.559E-01, 0.000E+00, 0.000E+00, 2.947E+00, 2.886E+00, 0.000E+00, 4.143E-04, 0.000E+00, 0.000E+00, 5.633E-07
 2.000E+01, 2.116E+01,-6.158E+00,-1.260E+01,-1.631E+00, 1.928E-01, 0.000E+00, 0.000E+00, 1.039E+00, 9.678E-01, 0.000E+00, 4.631E-04, 0.000E+00, 0.000E+00, 4.469E-06
 2.200E+01, 2.390E+01,-6.924E+00,-1.320E+01,-1.915E+00, 2.279E-01, 0.000E+00, 0.000E+00, 2.139E+00, 2.090E+00, 0.000E+00, 5.178E-04, 0.000E+00, 0.000E+00, 1.829E-05
 2.400E+01, 2.714E+01,-7.863E+00,-1.473E+01,-2.322E+00, 2.710E-01, 0.000E+00, 0.000E+00, 2.568E+00, 2.493E+00, 0.000E+00, 5.783E-04, 0.000E+00, 0.000E+00, 4.013E-05
 2.600E+01, 3.024E+01,-8.768E+00,-1.922E+01,-2.334E+00, 3.160E-01, 0.000E+00, 0.000E+00, 3.299E-01, 2.303E-01, 0.000E+00, 6.389E-04, 0.000E+00, 0.000E+00, 4.389E-05
 2.800E+01, 3.361E+01,-9.727E+00,-2.017E+01,-2.610E+00, 3.603E-01, 0.000E+00, 0.000E+00, 1.589E+00, 1.470E+00, 0.000E+00, 6.995E-04, 0.000E+00, 0.000E+00, 6.804E-05
 3.000E+01, 3.646E+01,-1.067E+01,-2.130E+01,-2.676E+00, 3.997E-01, 0.000E+00, 0.000E+00, 2.297E+00, 2.209E+00, 0.000E+00, 7.601E-04, 0.000E+00, 0.000E+00, 9.218E-05
 3.200E+01, 4.012E+01,-1.175E+01,-2.351E+01,-2.959E+00, 4.437E-01, 0.000E+00, 0.000E+00, 2.489E+00, 2.336E+00, 0.000E+00, 8.207E-04, 0.000E+00, 0.000E+00, 9.305E-05
 3.400E+01, 4.310E+01,-1.265E+01,-2.641E+01,-3.199E+00, 4.845E-01, 0.000E+00, 0.000E+00, 1.516E+00, 1.336E+00, 0.000E+00, 8.812E-04, 0.000E+00, 0.000E+00, 1.013E-04
 3.600E+01, 4.495E+01,-1.336E+01,-2.782E+01,-3.083E+00, 5.172E-01, 0.000E+00, 0.000E+00, 1.341E+00, 1.202E+00, 0.000E+00, 9.418E-04, 0.000E+00, 0.000E+00, 1.110E-04
 3.800E+01, 4.969E+01,-1.460E+01,-3.073E+01,-3.183E+00, 5.698E-01, 0.000E+00, 0.000E+00, 1.914E+00, 1.751E+00, 0.000E+00, 1.002E-03, 0.000E+00, 0.000E+00, 1.430E-04
 4.000E+01, 5.374E+01,-1.586E+01,-3.358E+01,-3.521E+00, 5.858E-01, 0.000E+00, 0.000E+00, 1.584E+00, 1.364E+00, 0.000E+00, 1.063E-03, 0.000E+00, 0.000E+00, 1.892E-04
 4.200E+01, 5.650E+01,-1.682E+01,-3.478E+01,-3.625E+00, 6.146E-01, 0.000E+00, 0.000E+00, 2.012E+00, 1.887E+00, 0.000E+00, 1.103E-03, 0.000E+00, 0.000E+00, 2.383E-04
 4.400E+01, 5.888E+01,-1.757E+01,-3.795E+01,-3.801E+00, 6.317E-01, 0.000E+00, 0.000E+00, 4.480E-01, 1.935E-01, 0.000E+00, 1.123E-03, 0.000E+00, 0.000E+00, 3.117E-04
 4.600E+01, 6.337E+01,-1.929E+01,-3.894E+01,-3.659E+00, 6.360E-01, 0.000E+00, 0.000E+00, 2.317E+00, 2.116E+00, 0.000E+00, 1.143E-03, 0.000E+00, 0.000E+00, 3.840E-04
 4.800E+01, 6.560E+01,-1.948E+01,-4.028E+01,-4.183E+00, 6.627E-01, 0.000E+00, 0.000E+00, 2.515E+00, 2.320E+00, 0.000E+00, 1.162E-03, 0.000E+00, 0.000E+00, 4.690E-04
 5.000E+01, 6.939E+01,-2.132E+01,-4.409E+01,-3.905E+00, 6.483E-01, 0.000E+00, 0.000E+00, 1.070E+00, 7.212E-01, 0.000E+00, 1.182E-03, 0.000E+00, 0.000E+00, 5.463E-04
 5.200E+01, 7.278E+01,-2.208E+01,-4.671E+01,-4.458E+00, 6.909E-01, 0.000E+00, 0.000E+00, 5.817E-01, 2.254E-01, 0.000E+00, 1.202E-03, 0.000E+00, 0.000E+00, 6.598E-04
