s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"Flux-1","Flux-2","Flux-3","Flux-4","Flux-5","Flux-6","Flux-7","Flux-8","Flux-9","Flux-10","Flux-11","Flux-12","Flux-13","Flux-14","Flux-15","Flux-16","Flux-17","Flux-18","Flux-19","Flux-20","Flux-21","Flux-22","Flux-23","Flux-24","Flux-25","Flux-26","Flux-27","Flux-28","Flux-29","Flux-30","Flux-31","Flux-32","Flux-33","Flux-34","Flux-35","Flux-36","Flux-37","Flux-38","Flux-39","Flux-40","Flux-41","Flux-42","Flux-43","Flux-44","Flux-45","Flux-46","Flux-47","Flux-48","Flux-49","Flux-50","Temp-1","Temp-2","Temp-3","Temp-4","Temp-5","Temp-6","Temp-7","Temp-8","Temp-9","Temp-10","Temp-11","Temp-12","Temp-13","Temp-14","Temp-15","Temp-16","Temp-17","Temp-18","Temp-19","Temp-20","Temp-21","Temp-22","Temp-23","Temp-24","Temp-25","Temp-26","Temp-27","Temp-28","Temp-29","Temp-30","Temp-31","Temp-32","Temp-33","Temp-34","Temp-35","Temp-36","Temp-37","Temp-38","Temp-39","Temp-40","Temp-41","Temp-42","Temp-43","Temp-44","Temp-45","Temp-46","Temp-47","Temp-48","Temp-49","Temp-50","HF_y-25z20","HF_y-15z20","HF_y0z20","HF_y15z20","HF_y25z20","HF_y-25z50","HF_y-15z50","HF_y0z50","HF_y15z50","HF_y25z50","HF_y-25z75","HF_y-15z75","HF_y0z75","HF_y15z75","HF_y25z75","HF_y-25z100","HF_y-15z100","HF_y0z100","HF_y15z100","HF_y25z100"
 0.000E+00,-7.007E-04,-1.512E-03,-1.823E-03,-8.482E-04,-4.661E-04,-2.771E-04,-3.156E-05,-2.200E-05,-1.394E-05,-8.567E-06,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11,-4.653E-11, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.001E+00, 8.860E+00, 1.239E+00, 4.448E-01, 2.278E-01, 1.816E-01, 9.066E-02, 3.318E-02, 2.520E-02, 3.495E-02, 3.915E-02, 3.209E-02, 2.350E-02, 1.449E-02, 7.312E-03, 2.715E-03, 8.706E-04, 1.931E-04,-2.530E-05,-1.154E-04,-1.663E-04,-1.624E-04,-1.360E-04,-5.265E-05, 8.113E-05, 3.409E-04, 6.633E-04, 1.137E-03, 1.545E-03, 2.117E-03, 2.633E-03, 3.024E-03, 2.913E-03, 2.898E-03, 2.700E-03, 2.329E-03, 1.670E-03, 1.240E-03, 8.277E-04, 4.758E-04, 1.571E-04,-1.002E-05,-1.215E-04,-2.086E-04,-2.633E-04,-2.731E-04,-2.681E-04,-2.622E-04,-2.590E-04,-2.012E-04,-1.648E-04, 4.106E+01, 2.291E+01, 2.098E+01, 2.046E+01, 2.037E+01, 2.019E+01, 2.007E+01, 2.005E+01, 2.007E+01, 2.008E+01, 2.007E+01, 2.005E+01, 2.003E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.001E+00, 2.807E+01, 4.732E+00, 2.021E+00, 1.440E+00, 1.386E+00, 1.043E+00, 6.918E-01, 5.532E-01, 5.190E-01, 4.853E-01, 3.956E-01, 2.921E-01, 1.979E-01, 1.188E-01, 1.126E-01, 9.069E-02, 7.975E-02, 5.887E-02, 4.021E-02, 2.172E-02, 2.072E-02, 3.693E-03, 5.196E-03, 7.117E-03, 6.841E-03, 9.635E-03, 1.386E-02, 1.865E-02, 2.403E-02, 2.892E-02, 3.248E-02, 3.343E-02, 3.279E-02, 3.048E-02, 2.650E-02, 2.132E-02, 1.655E-02, 1.220E-02, 8.596E-03, 5.719E-03, 3.767E-03, 2.545E-03, 1.637E-03, 1.041E-03, 6.915E-04, 4.724E-04, 3.329E-04, 2.351E-04, 1.705E-04, 1.256E-04, 1.268E+02, 3.664E+01, 2.742E+01, 2.503E+01, 2.465E+01, 2.337E+01, 2.219E+01, 2.173E+01, 2.157E+01, 2.147E+01, 2.117E+01, 2.084E+01, 2.055E+01, 2.032E+01, 2.031E+01, 2.024E+01, 2.020E+01, 2.013E+01, 2.008E+01, 2.004E+01, 2.004E+01, 2.001E+01, 2.001E+01, 2.002E+01, 2.002E+01, 2.003E+01, 2.004E+01, 2.006E+01, 2.007E+01, 2.009E+01, 2.010E+01, 2.010E+01, 2.010E+01, 2.009E+01, 2.008E+01, 2.006E+01, 2.005E+01, 2.004E+01, 2.003E+01, 2.002E+01, 2.001E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+00, 3.563E+01, 1.127E+01, 4.154E+00, 2.543E+00, 2.381E+00, 1.811E+00, 1.180E+00, 9.849E-01, 9.733E-01, 9.257E-01, 8.374E-01, 7.046E-01, 5.571E-01, 4.180E-01, 3.341E-01, 2.782E-01, 2.592E-01, 2.393E-01, 2.222E-01, 2.132E-01, 1.956E-01, 1.703E-01, 1.623E-01, 1.597E-01, 1.577E-01, 1.476E-01, 1.490E-01, 1.480E-01, 1.499E-01, 1.536E-01, 1.536E-01, 1.461E-01, 1.449E-01, 1.301E-01, 1.158E-01, 9.875E-02, 8.235E-02, 6.998E-02, 5.632E-02, 4.494E-02, 3.475E-02, 2.720E-02, 1.721E-02, 1.162E-02, 5.794E-03, 4.722E-03, 2.069E-03, 1.023E-03, 7.635E-04, 5.767E-04, 1.986E+02, 6.753E+01, 3.846E+01, 3.166E+01, 3.084E+01, 2.827E+01, 2.554E+01, 2.458E+01, 2.445E+01, 2.422E+01, 2.374E+01, 2.307E+01, 2.237E+01, 2.172E+01, 2.143E+01, 2.118E+01, 2.109E+01, 2.096E+01, 2.085E+01, 2.075E+01, 2.069E+01, 2.055E+01, 2.054E+01, 2.056E+01, 2.056E+01, 2.051E+01, 2.053E+01, 2.052E+01, 2.053E+01, 2.054E+01, 2.054E+01, 2.051E+01, 2.050E+01, 2.045E+01, 2.039E+01, 2.033E+01, 2.027E+01, 2.022E+01, 2.017E+01, 2.013E+01, 2.009E+01, 2.007E+01, 2.004E+01, 2.002E+01, 2.001E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.000E+00, 4.143E+01, 1.485E+01, 6.675E+00, 4.060E+00, 3.585E+00, 2.623E+00, 1.767E+00, 1.388E+00, 1.374E+00, 1.392E+00, 1.301E+00, 1.123E+00, 9.149E-01, 7.433E-01, 5.995E-01, 5.221E-01, 4.616E-01, 4.320E-01, 3.943E-01, 3.619E-01, 3.403E-01, 3.153E-01, 2.878E-01, 2.736E-01, 2.649E-01, 2.673E-01, 2.629E-01, 2.642E-01, 2.695E-01, 2.690E-01, 2.583E-01, 2.452E-01, 2.281E-01, 2.267E-01, 2.159E-01, 2.045E-01, 1.856E-01, 1.673E-01, 1.436E-01, 1.245E-01, 1.120E-01, 1.044E-01, 9.527E-02, 8.853E-02, 8.445E-02, 8.211E-02, 8.443E-02, 8.703E-02, 7.883E-02, 7.205E-02, 2.612E+02, 9.670E+01, 5.240E+01, 4.048E+01, 3.874E+01, 3.396E+01, 2.940E+01, 2.760E+01, 2.749E+01, 2.733E+01, 2.668E+01, 2.566E+01, 2.452E+01, 2.352E+01, 2.286E+01, 2.247E+01, 2.223E+01, 2.205E+01, 2.186E+01, 2.172E+01, 2.161E+01, 2.143E+01, 2.132E+01, 2.126E+01, 2.122E+01, 2.120E+01, 2.119E+01, 2.119E+01, 2.121E+01, 2.122E+01, 2.120E+01, 2.115E+01, 2.110E+01, 2.106E+01, 2.100E+01, 2.092E+01, 2.083E+01, 2.074E+01, 2.064E+01, 2.055E+01, 2.048E+01, 2.044E+01, 2.039E+01, 2.036E+01, 2.032E+01, 2.030E+01, 2.030E+01, 2.028E+01, 2.025E+01, 2.022E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 4.123E+01, 2.222E+01, 1.004E+01, 5.908E+00, 4.933E+00, 3.639E+00, 2.466E+00, 1.947E+00, 1.793E+00, 1.729E+00, 1.620E+00, 1.413E+00, 1.189E+00, 9.617E-01, 8.091E-01, 7.178E-01, 6.484E-01, 6.105E-01, 5.896E-01, 5.604E-01, 5.267E-01, 4.955E-01, 4.800E-01, 4.672E-01, 4.653E-01, 4.641E-01, 4.650E-01, 4.685E-01, 4.558E-01, 4.465E-01, 4.400E-01, 4.325E-01, 4.205E-01, 4.073E-01, 3.856E-01, 3.610E-01, 3.346E-01, 3.118E-01, 2.909E-01, 2.734E-01, 2.569E-01, 2.351E-01, 2.147E-01, 1.965E-01, 1.858E-01, 1.796E-01, 1.728E-01, 1.615E-01, 1.506E-01, 1.383E-01, 2.965E+02, 1.424E+02, 7.518E+01, 5.370E+01, 4.885E+01, 4.124E+01, 3.438E+01, 3.146E+01, 3.081E+01, 3.056E+01, 2.982E+01, 2.846E+01, 2.698E+01, 2.565E+01, 2.478E+01, 2.421E+01, 2.378E+01, 2.353E+01, 2.331E+01, 2.311E+01, 2.293E+01, 2.272E+01, 2.260E+01, 2.251E+01, 2.247E+01, 2.245E+01, 2.245E+01, 2.246E+01, 2.244E+01, 2.241E+01, 2.237E+01, 2.230E+01, 2.221E+01, 2.213E+01, 2.200E+01, 2.185E+01, 2.169E+01, 2.155E+01, 2.139E+01, 2.127E+01, 2.117E+01, 2.105E+01, 2.093E+01, 2.084E+01, 2.078E+01, 2.075E+01, 2.073E+01, 2.070E+01, 2.065E+01, 2.060E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+01, 4.449E+01, 2.733E+01, 1.365E+01, 9.067E+00, 6.931E+00, 4.755E+00, 3.312E+00, 2.616E+00, 2.340E+00, 2.222E+00, 2.040E+00, 1.820E+00, 1.532E+00, 1.258E+00, 1.073E+00, 9.444E-01, 8.373E-01, 7.727E-01, 7.200E-01, 6.674E-01, 6.324E-01, 6.131E-01, 5.843E-01, 5.532E-01, 5.468E-01, 5.481E-01, 5.415E-01, 5.451E-01, 5.533E-01, 5.579E-01, 5.419E-01, 5.152E-01, 4.818E-01, 4.425E-01, 4.043E-01, 3.662E-01, 3.326E-01, 2.932E-01, 2.660E-01, 2.439E-01, 2.289E-01, 2.145E-01, 1.996E-01, 1.906E-01, 1.816E-01, 1.823E-01, 1.828E-01, 1.834E-01, 1.784E-01, 1.707E-01, 3.317E+02, 1.849E+02, 9.905E+01, 7.105E+01, 6.186E+01, 5.000E+01, 4.062E+01, 3.643E+01, 3.522E+01, 3.467E+01, 3.352E+01, 3.186E+01, 2.995E+01, 2.811E+01, 2.685E+01, 2.603E+01, 2.543E+01, 2.506E+01, 2.475E+01, 2.441E+01, 2.415E+01, 2.392E+01, 2.374E+01, 2.358E+01, 2.354E+01, 2.354E+01, 2.349E+01, 2.349E+01, 2.350E+01, 2.348E+01, 2.337E+01, 2.321E+01, 2.305E+01, 2.288E+01, 2.268E+01, 2.247E+01, 2.225E+01, 2.204E+01, 2.185E+01, 2.170E+01, 2.158E+01, 2.146E+01, 2.135E+01, 2.127E+01, 2.122E+01, 2.120E+01, 2.120E+01, 2.118E+01, 2.114E+01, 2.107E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.400E+01, 4.605E+01, 2.869E+01, 1.774E+01, 1.139E+01, 8.634E+00, 6.079E+00, 4.212E+00, 3.173E+00, 2.744E+00, 2.563E+00, 2.360E+00, 2.046E+00, 1.759E+00, 1.443E+00, 1.205E+00, 1.075E+00, 9.640E-01, 8.904E-01, 8.381E-01, 7.940E-01, 7.426E-01, 6.984E-01, 6.748E-01, 6.292E-01, 6.068E-01, 5.858E-01, 5.838E-01, 5.958E-01, 5.985E-01, 5.960E-01, 5.964E-01, 5.749E-01, 5.445E-01, 5.229E-01, 4.916E-01, 4.545E-01, 4.234E-01, 3.953E-01, 3.792E-01, 3.751E-01, 3.541E-01, 3.454E-01, 3.363E-01, 3.162E-01, 3.034E-01, 2.948E-01, 2.886E-01, 2.790E-01, 2.720E-01, 2.650E-01, 3.598E+02, 2.205E+02, 1.317E+02, 9.239E+01, 7.697E+01, 6.071E+01, 4.854E+01, 4.227E+01, 3.993E+01, 3.882E+01, 3.733E+01, 3.509E+01, 3.279E+01, 3.055E+01, 2.891E+01, 2.792E+01, 2.709E+01, 2.655E+01, 2.615E+01, 2.578E+01, 2.542E+01, 2.509E+01, 2.487E+01, 2.460E+01, 2.449E+01, 2.441E+01, 2.438E+01, 2.442E+01, 2.443E+01, 2.442E+01, 2.437E+01, 2.422E+01, 2.402E+01, 2.383E+01, 2.359E+01, 2.332E+01, 2.308E+01, 2.283E+01, 2.263E+01, 2.249E+01, 2.234E+01, 2.224E+01, 2.211E+01, 2.197E+01, 2.188E+01, 2.184E+01, 2.180E+01, 2.174E+01, 2.168E+01, 2.160E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.600E+01, 4.840E+01, 3.450E+01, 2.332E+01, 1.456E+01, 9.346E+00, 6.650E+00, 4.997E+00, 3.732E+00, 3.163E+00, 2.933E+00, 2.613E+00, 2.275E+00, 1.902E+00, 1.588E+00, 1.323E+00, 1.145E+00, 1.001E+00, 8.982E-01, 8.494E-01, 7.932E-01, 7.372E-01, 7.121E-01, 6.749E-01, 6.607E-01, 6.575E-01, 6.537E-01, 6.419E-01, 6.351E-01, 6.287E-01, 6.322E-01, 6.167E-01, 5.915E-01, 5.660E-01, 5.274E-01, 4.917E-01, 4.627E-01, 4.264E-01, 3.905E-01, 3.587E-01, 3.359E-01, 3.330E-01, 3.132E-01, 2.983E-01, 2.881E-01, 2.768E-01, 2.652E-01, 2.563E-01, 2.442E-01, 2.333E-01, 2.199E-01, 3.857E+02, 2.555E+02, 1.653E+02, 1.144E+02, 8.887E+01, 6.934E+01, 5.574E+01, 4.752E+01, 4.423E+01, 4.279E+01, 4.074E+01, 3.811E+01, 3.540E+01, 3.276E+01, 3.070E+01, 2.944E+01, 2.839E+01, 2.769E+01, 2.725E+01, 2.675E+01, 2.628E+01, 2.595E+01, 2.568E+01, 2.544E+01, 2.534E+01, 2.528E+01, 2.522E+01, 2.523E+01, 2.520E+01, 2.519E+01, 2.510E+01, 2.489E+01, 2.466E+01, 2.438E+01, 2.409E+01, 2.381E+01, 2.352E+01, 2.324E+01, 2.301E+01, 2.284E+01, 2.272E+01, 2.257E+01, 2.244E+01, 2.232E+01, 2.222E+01, 2.215E+01, 2.210E+01, 2.202E+01, 2.194E+01, 2.186E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
