s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_MMA
 9.000E+01, 4.034E+02,-1.370E+02,-2.360E+02,-2.174E+01, 8.661E-01, 0.000E+00, 0.000E+00, 1.137E+01, 9.561E+00, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 1.182E-02
 9.200E+01, 4.455E+02,-1.508E+02,-2.637E+02,-2.324E+01, 8.834E-01, 0.000E+00, 0.000E+00, 1.017E+01, 8.647E+00, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 1.335E-02
 9.400E+01, 4.955E+02,-1.698E+02,-3.042E+02,-2.455E+01, 8.446E-01, 0.000E+00, 0.000E+00,-2.265E-01,-2.233E+00, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 1.553E-02
 9.600E+01, 5.866E+02,-1.966E+02,-3.534E+02,-2.797E+01, 8.696E-01, 0.000E+00, 0.000E+00, 1.165E+01, 9.490E+00, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 1.838E-02
 9.800E+01, 6.923E+02,-2.419E+02,-4.025E+02,-3.114E+01, 8.738E-01, 0.000E+00, 0.000E+00, 2.063E+01, 1.767E+01, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 2.265E-02
 1.000E+02, 8.294E+02,-2.792E+02,-5.034E+02,-3.332E+01, 8.341E-01, 0.000E+00, 0.000E+00, 1.694E+01, 1.429E+01, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 2.668E-02
 1.020E+02, 9.577E+02,-3.309E+02,-5.841E+02,-3.558E+01, 7.990E-01, 0.000E+00, 0.000E+00, 1.071E+01, 7.908E+00, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 3.178E-02
 1.040E+02, 1.171E+03,-4.076E+02,-6.886E+02,-3.917E+01, 8.209E-01, 0.000E+00, 0.000E+00, 3.848E+01, 3.668E+01, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 3.915E-02
 1.060E+02, 1.376E+03,-4.840E+02,-8.547E+02,-4.192E+01, 7.810E-01, 0.000E+00, 0.000E+00,-5.648E+00,-4.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 4.850E-02
 1.080E+02, 1.666E+03,-5.735E+02,-1.040E+03,-4.168E+01, 7.297E-01, 0.000E+00, 0.000E+00, 1.313E+01, 1.206E+01, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 5.712E-02
 1.100E+02, 1.867E+03,-6.482E+02,-1.167E+03,-4.340E+01, 6.603E-01, 0.000E+00, 0.000E+00, 8.173E+00, 8.884E+00, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 6.597E-02
 1.120E+02, 2.027E+03,-7.060E+02,-1.264E+03,-4.652E+01, 6.246E-01, 0.000E+00, 0.000E+00, 6.027E+00, 1.085E+01, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 7.367E-02
 1.140E+02, 2.278E+03,-7.866E+02,-1.422E+03,-4.651E+01, 5.814E-01, 0.000E+00, 0.000E+00, 1.781E+01, 2.263E+01, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 8.380E-02
 1.160E+02, 2.369E+03,-8.140E+02,-1.495E+03,-4.677E+01, 5.360E-01, 0.000E+00, 0.000E+00, 6.287E+00, 1.333E+01, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 8.873E-02
 1.180E+02, 2.507E+03,-8.644E+02,-1.599E+03,-4.636E+01, 5.328E-01, 0.000E+00, 0.000E+00,-7.119E+00,-1.974E+00, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 9.343E-02
 1.200E+02, 2.569E+03,-8.943E+02,-1.607E+03,-4.667E+01, 5.443E-01, 0.000E+00, 0.000E+00, 1.470E+01, 2.139E+01, 0.000E+00, 1.383E-03, 0.000E+00, 0.000E+00, 9.748E-02
 1.220E+02, 2.613E+03,-8.904E+02,-1.672E+03,-4.462E+01, 5.402E-01, 0.000E+00, 0.000E+00, 2.727E+00, 6.406E+00, 0.000E+00, 1.311E-03, 0.000E+00, 0.000E+00, 9.873E-02
 1.240E+02, 2.691E+03,-9.231E+02,-1.716E+03,-4.579E+01, 4.593E-01, 0.000E+00, 0.000E+00,-9.017E-01, 7.150E+00, 0.000E+00, 1.166E-03, 0.000E+00, 0.000E+00, 1.052E-01
 1.260E+02, 2.741E+03,-9.485E+02,-1.727E+03,-4.584E+01, 3.884E-01, 0.000E+00, 0.000E+00, 1.358E+01, 1.973E+01, 0.000E+00, 1.021E-03, 0.000E+00, 0.000E+00, 1.064E-01
 1.280E+02, 2.666E+03,-9.277E+02,-1.713E+03,-4.483E+01, 3.080E-01, 0.000E+00, 0.000E+00,-2.461E+01,-1.844E+01, 0.000E+00, 8.759E-04, 0.000E+00, 0.000E+00, 1.060E-01
 1.300E+02, 2.669E+03,-9.111E+02,-1.700E+03,-4.488E+01, 2.330E-01, 0.000E+00, 0.000E+00, 8.887E+00, 1.308E+01, 0.000E+00, 7.310E-04, 0.000E+00, 0.000E+00, 1.031E-01
 1.320E+02, 2.682E+03,-9.274E+02,-1.724E+03,-4.585E+01, 1.788E-01, 0.000E+00, 0.000E+00,-2.197E+01,-1.579E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.035E-01
 1.340E+02, 2.628E+03,-9.099E+02,-1.635E+03,-4.653E+01, 1.618E-01, 0.000E+00, 0.000E+00, 2.997E+01, 3.639E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.034E-01
 1.360E+02, 2.683E+03,-9.215E+02,-1.703E+03,-4.543E+01, 1.529E-01, 0.000E+00, 0.000E+00, 4.857E+00, 1.320E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.023E-01
 1.380E+02, 2.641E+03,-9.031E+02,-1.698E+03,-4.614E+01, 1.690E-01, 0.000E+00, 0.000E+00,-1.196E+01,-5.842E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.032E-01
 1.400E+02, 2.657E+03,-9.192E+02,-1.691E+03,-4.550E+01, 1.518E-01, 0.000E+00, 0.000E+00,-9.939E+00, 7.836E-01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.050E-01
 1.420E+02, 2.642E+03,-9.154E+02,-1.670E+03,-4.487E+01, 1.685E-01, 0.000E+00, 0.000E+00, 5.886E+00, 1.169E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.058E-01
 1.440E+02, 2.696E+03,-9.236E+02,-1.719E+03,-4.290E+01, 1.631E-01, 0.000E+00, 0.000E+00, 5.438E+00, 1.102E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.085E-01
 1.460E+02, 2.667E+03,-9.069E+02,-1.697E+03,-4.598E+01, 1.656E-01, 0.000E+00, 0.000E+00, 4.421E+00, 1.709E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.050E-01
 1.480E+02, 2.770E+03,-9.468E+02,-1.770E+03,-4.630E+01, 1.807E-01, 0.000E+00, 0.000E+00,-1.809E+00, 7.304E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.085E-01
 1.500E+02, 2.759E+03,-9.510E+02,-1.774E+03,-4.311E+01, 1.492E-01, 0.000E+00, 0.000E+00,-1.354E+01,-8.687E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.115E-01
