s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00,-1.351E-03, 2.133E-10, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.351E-03, 0.000E+00, 0.000E+00, 0.000E+00
 2.004E+00, 1.074E+00,-2.873E-01, 1.181E-02,-6.489E-02, 3.443E-04, 0.000E+00, 0.000E+00, 7.298E-01, 7.339E-01, 0.000E+00, 2.452E-05, 0.000E+00
 4.001E+00, 3.302E+00,-9.313E-01,-1.425E-02,-2.630E-01, 4.500E-03, 0.000E+00, 0.000E+00, 2.095E+00, 2.098E+00, 0.000E+00, 7.322E-05, 0.000E+00
 6.001E+00, 5.522E+00,-1.561E+00,-5.074E-01,-5.419E-01, 1.650E-02, 0.000E+00, 0.000E+00, 2.933E+00, 2.928E+00, 0.000E+00, 1.219E-04, 0.000E+00
 8.002E+00, 7.749E+00,-2.199E+00,-3.449E+00,-7.518E-01, 3.536E-02, 0.000E+00, 0.000E+00, 1.405E+00, 1.385E+00, 0.000E+00, 1.706E-04, 0.000E+00
 1.000E+01, 9.977E+00,-2.850E+00,-3.802E+00,-1.066E+00, 6.402E-02, 0.000E+00, 0.000E+00, 2.344E+00, 2.324E+00, 0.000E+00, 2.194E-04, 0.000E+00
 1.200E+01, 1.219E+01,-3.497E+00,-6.965E+00,-1.428E+00, 1.017E-01, 0.000E+00, 0.000E+00, 4.079E-01, 3.977E-01, 0.000E+00, 2.681E-04, 0.000E+00
 1.400E+01, 1.435E+01,-4.122E+00,-7.833E+00,-1.917E+00, 1.434E-01, 0.000E+00, 0.000E+00, 6.289E-01, 6.213E-01, 0.000E+00, 3.168E-04, 0.000E+00
 1.600E+01, 1.657E+01,-4.770E+00,-8.271E+00,-2.099E+00, 1.897E-01, 0.000E+00, 0.000E+00, 1.635E+00, 1.618E+00, 0.000E+00, 3.656E-04, 0.000E+00
 1.800E+01, 1.862E+01,-5.375E+00,-1.001E+01,-2.514E+00, 2.316E-01, 0.000E+00, 0.000E+00, 9.678E-01, 9.500E-01, 0.000E+00, 4.143E-04, 0.000E+00
 2.000E+01, 2.094E+01,-6.182E+00,-1.172E+01,-2.616E+00, 2.761E-01, 0.000E+00, 0.000E+00, 7.001E-01, 6.974E-01, 0.000E+00, 4.630E-04, 0.000E+00
 2.200E+01, 2.344E+01,-6.739E+00,-1.234E+01,-2.831E+00, 3.185E-01, 0.000E+00, 0.000E+00, 1.886E+00, 1.851E+00, 0.000E+00, 5.177E-04, 0.000E+00
 2.400E+01, 2.592E+01,-7.476E+00,-1.525E+01,-2.986E+00, 3.683E-01, 0.000E+00, 0.000E+00, 5.835E-01, 5.680E-01, 0.000E+00, 5.783E-04, 0.000E+00
 2.600E+01, 2.856E+01,-8.346E+00,-1.713E+01,-2.998E+00, 4.108E-01, 0.000E+00, 0.000E+00, 5.281E-01, 4.977E-01, 0.000E+00, 6.388E-04, 0.000E+00
