s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00,-1.543E-03,-8.607E-11, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.543E-03, 0.000E+00, 0.000E+00, 0.000E+00
 2.001E+00, 1.093E+00,-3.580E-01, 1.121E-02,-2.427E-01, 2.663E-03, 0.000E+00, 0.000E+00, 5.023E-01, 5.064E-01, 0.000E+00, 2.442E-05, 0.000E+00
 4.001E+00, 3.266E+00,-1.110E+00, 4.256E-02,-9.428E-01, 2.654E-02, 0.000E+00, 0.000E+00, 1.268E+00, 1.282E+00, 0.000E+00, 7.316E-05, 0.000E+00
 6.000E+00, 5.434E+00,-1.838E+00, 3.613E-02,-1.496E+00, 6.430E-02, 0.000E+00, 0.000E+00, 2.146E+00, 2.201E+00, 0.000E+00, 1.219E-04, 0.000E+00
 8.000E+00, 7.582E+00,-2.572E+00,-4.045E-01,-1.850E+00, 1.032E-01, 0.000E+00, 0.000E+00, 2.810E+00, 2.859E+00, 0.000E+00, 1.706E-04, 0.000E+00
 1.000E+01, 9.768E+00,-3.327E+00,-1.409E+00,-2.240E+00, 1.400E-01, 0.000E+00, 0.000E+00, 2.882E+00, 2.933E+00, 0.000E+00, 2.194E-04, 0.000E+00
 1.200E+01, 1.201E+01,-4.110E+00,-3.280E+00,-2.600E+00, 1.749E-01, 0.000E+00, 0.000E+00, 2.120E+00, 2.190E+00, 0.000E+00, 2.681E-04, 0.000E+00
 1.400E+01, 1.416E+01,-4.849E+00,-5.033E+00,-2.872E+00, 2.066E-01, 0.000E+00, 0.000E+00, 1.510E+00, 1.608E+00, 0.000E+00, 3.168E-04, 0.000E+00
 1.600E+01, 1.639E+01,-5.625E+00,-6.182E+00,-3.077E+00, 2.350E-01, 0.000E+00, 0.000E+00, 1.592E+00, 1.743E+00, 0.000E+00, 3.656E-04, 0.000E+00
 1.800E+01, 1.851E+01,-6.367E+00,-7.247E+00,-3.040E+00, 2.553E-01, 0.000E+00, 0.000E+00, 1.963E+00, 2.117E+00, 0.000E+00, 4.143E-04, 0.000E+00
 2.000E+01, 2.090E+01,-7.214E+00,-8.545E+00,-3.261E+00, 2.838E-01, 0.000E+00, 0.000E+00, 1.984E+00, 2.160E+00, 0.000E+00, 4.630E-04, 0.000E+00
 2.200E+01, 2.327E+01,-8.048E+00,-1.051E+01,-3.810E+00, 3.097E-01, 0.000E+00, 0.000E+00, 1.030E+00, 1.212E+00, 0.000E+00, 5.177E-04, 0.000E+00
 2.400E+01, 2.595E+01,-8.981E+00,-1.159E+01,-4.158E+00, 3.334E-01, 0.000E+00, 0.000E+00, 1.328E+00, 1.562E+00, 0.000E+00, 5.783E-04, 0.000E+00
 2.600E+01, 2.860E+01,-9.901E+00,-1.286E+01,-4.163E+00, 3.536E-01, 0.000E+00, 0.000E+00, 1.821E+00, 2.027E+00, 0.000E+00, 6.389E-04, 0.000E+00
 2.800E+01, 3.144E+01,-1.090E+01,-1.461E+01,-4.193E+00, 3.703E-01, 0.000E+00, 0.000E+00, 1.815E+00, 2.113E+00, 0.000E+00, 6.995E-04, 0.000E+00
 3.000E+01, 3.426E+01,-1.191E+01,-1.580E+01,-4.350E+00, 3.861E-01, 0.000E+00, 0.000E+00, 2.311E+00, 2.590E+00, 0.000E+00, 7.601E-04, 0.000E+00
 3.200E+01, 3.661E+01,-1.273E+01,-1.906E+01,-4.327E+00, 3.955E-01, 0.000E+00, 0.000E+00, 5.935E-01, 8.912E-01, 0.000E+00, 8.207E-04, 0.000E+00
