s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5290144E-003, 1.0103503E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5290143E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0007737E+000, 3.2611452E+000, 0.0000000E+000,-7.2017884E-001,-2.2566042E-001,-3.5013812E-002, 4.1721310E-004, 0.0000000E+000,-2.8164734E-002, 2.4814752E+000, 2.2525446E+000, 3.2112000E-001, 0.0000000E+000, 7.7768099E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5663912E-006
 2.0004704E+000, 7.7315966E+000, 0.0000000E+000,-2.1870017E+000,-3.9980248E+000,-2.5923277E-002, 1.8023366E-003, 0.0000000E+000,-5.8099201E-002, 1.4727842E+000, 1.4643499E+000, 3.2112000E-001, 0.0000000E+000, 1.5908321E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9569107E-005
 3.0007968E+000, 8.9361712E+000, 0.0000000E+000,-2.6073827E+000,-6.3799097E+000,-1.7097000E-002, 2.8285833E-003, 0.0000000E+000,-6.2350994E-002,-1.2285307E-001,-1.2774056E-001, 3.2112000E-001, 0.0000000E+000, 1.7566202E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1608495E-005
 4.0008087E+000, 9.1426349E+000, 0.0000000E+000,-2.6853753E+000,-6.2290579E+000,-1.7802485E-002, 3.7024323E-003, 0.0000000E+000,-6.4106314E-002, 1.5040448E-001, 1.4999540E-001, 3.2112000E-001, 0.0000000E+000, 1.7807243E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1905004E-005
 5.0006871E+000, 9.1771316E+000, 0.0000000E+000,-2.7014523E+000,-6.3755626E+000,-1.9892675E-002, 4.4443344E-003, 0.0000000E+000,-6.4766753E-002, 3.7517175E-002, 1.9901564E-002, 3.2112000E-001, 0.0000000E+000, 1.7840180E-004, 0.0000000E+000, 0.0000000E+000, 1.2306581E-007, 0.0000000E+000, 2.1945521E-005
 6.0005479E+000, 9.1694517E+000, 0.0000000E+000,-2.6893341E+000,-6.2481434E+000,-1.8703339E-002, 5.0863710E-003, 0.0000000E+000,-6.4271339E-002, 1.5906604E-001, 1.5408587E-001, 3.2112000E-001, 0.0000000E+000, 1.7844644E-004, 0.0000000E+000, 0.0000000E+000, 4.3293514E-003, 0.0000000E+000, 2.1951012E-005
 7.0003819E+000, 9.1476508E+000, 0.0000000E+000,-2.6942650E+000,-6.4203730E+000,-1.8908762E-002, 5.6551765E-003, 0.0000000E+000,-6.4259622E-002,-3.6204614E-002,-4.4500477E-002, 3.2112000E-001, 0.0000000E+000, 1.7845248E-004, 0.0000000E+000, 0.0000000E+000, 1.2967634E-002, 0.0000000E+000, 2.1951755E-005
 8.0004148E+000, 9.1451054E+000, 0.0000000E+000,-2.6819861E+000,-6.4496815E+000,-1.8563131E-002, 6.1577565E-003, 0.0000000E+000,-6.3737220E-002,-5.4408910E-002,-6.2704896E-002, 3.2112000E-001, 0.0000000E+000, 1.7845330E-004, 0.0000000E+000, 0.0000000E+000, 2.1607122E-002, 0.0000000E+000, 2.1951856E-005
 9.0008011E+000, 9.1366714E+000, 0.0000000E+000,-2.6176132E+000,-6.0607387E+000,-1.8294774E-002, 6.5115903E-003, 0.0000000E+000,-6.3065413E-002, 3.8423799E-001, 3.8347102E-001, 3.2112000E-001, 0.0000000E+000, 1.7845341E-004, 0.0000000E+000, 0.0000000E+000, 3.0249015E-002, 0.0000000E+000, 2.1951869E-005
 1.0000698E+001, 9.1507804E+000, 0.0000000E+000,-2.5907446E+000,-6.6125064E+000,-2.0061368E-002, 6.7938277E-003, 0.0000000E+000,-6.2118948E-002,-1.1879554E-001,-1.2785698E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.8890488E-002, 0.0000000E+000, 2.1951871E-005
