XO2,eta,Chi_R
0.208,  0.00,  2.80
0.208,  0.39,  0.06
0.208,  0.86,  0.08
0.208,  0.97,  0.08
0.208,  0.99,  0.09
0.208,  0.99,  0.09
0.207,  0.99,  0.09
0.202,  0.99,  0.09
0.197,  0.99,  0.08
0.192,  0.99,  0.08
0.187,  0.98,  0.08
0.182,  0.99,  0.07
0.178,  0.99,  0.07
0.174,  0.99,  0.07
0.170,  0.99,  0.06
0.166,  0.98,  0.06
0.162,  0.98,  0.05
0.159,  1.00,  0.05
0.155,  0.99,  0.04
0.152,  1.00,  0.04
0.149,  1.00,  0.04
0.146,  1.00,  0.04
0.143,  1.00,  0.04
0.141,  0.99,  0.04
0.138,  1.00,  0.03
0.135,  0.99,  0.03
0.133,  0.93,  0.03
0.131,  0.96,  0.02
0.128,  0.94,  0.02
0.126,  0.88,  0.02
0.124,  0.87,  0.01
0.122,  0.87,  0.01
0.120,  0.90,  0.01
0.118,  0.74,  0.00
0.116,  0.48,  0.00
0.115,  0.25,  0.00
0.113,  0.13,  0.00
0.111,  0.09,  0.01
0.110,  0.08,  0.01
0.108,  0.05,  0.01
0.106,  0.04,  0.01
0.105,  0.03,  0.00
0.103,  0.01,  0.01
0.102,  0.00,  0.15
0.101,  0.00,  0.04
0.099,  0.00,  0.00
0.098,  0.00,  0.00
0.097,  0.00,  0.00
0.096,  0.00,  0.00
0.094,  0.00,  0.00
0.093,  0.00,  0.00
0.092,  0.00,  0.00
0.091,  0.00,  0.00
0.090,  0.00,  0.00
0.089,  0.00,  0.00
0.088,  0.00,  0.00
0.087,  0.00,  0.00
0.086,  0.00,  0.00
0.085,  0.00,  0.00
0.084,  0.00,  0.00
0.083,  0.00,  0.00
0.082,  0.00,  0.00
0.081,  0.00,  0.00
0.080,  0.00,  0.00
0.079,  0.00,  0.00
0.078,  0.00,  0.00
