cm,kW,kW,cm,K,K,K,K,K,K,K,K,K,K,K,K,K,K,cm,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_0p5D,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_0p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,r_Vel,U_0p5D,U_1p0D,U_1p5D,U_2p0D,U_2p5D,U_3p0D,U_3p5D,W_0p5D,W_1p0D,W_1p5D,W_2p0D,W_2p5D,W_3p0D,W_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 1.9000000E+001, 5.7189562E+000, 1.1829352E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 7.3181818E+000,-1.5075726E-001,-1.1140863E-001,-9.0913236E-002,-7.7810099E-002,-4.8690229E-002,-2.4037954E-002,-1.1629135E-002, 1.2990888E-001, 4.8159532E-001, 7.0692608E-001, 1.0367061E+000, 1.3463958E+000, 1.6147862E+000, 1.7505080E+000,-2.0500000E+000, 3.4571333E-001, 2.1734727E-001, 1.6162593E-001, 1.1560555E-001, 7.7931171E-002, 7.8022985E-002, 1.0585306E-001, 8.7178871E-002, 6.1244737E-002, 3.0099646E-002
 2.1000000E+001, 5.5086387E+000, 1.1787350E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 9.4090909E+000,-1.0156938E-001,-6.1996657E-002,-8.8848302E-002,-9.0007465E-002,-7.9796247E-002,-7.0951227E-002,-5.0103969E-002, 2.4879707E-001, 1.4663167E-001, 2.1503792E-001, 4.2707564E-001, 7.0146718E-001, 9.5961503E-001, 1.1564078E+000,-2.0000000E-002, 5.2056389E-001, 4.7773694E-001, 4.2345456E-001, 2.2792925E-001, 9.9797568E-002, 2.6800708E-002, 5.0180328E-002, 7.9195963E-002, 1.0859631E-001, 3.9275831E-002
 2.3000000E+001, 5.3268358E+000, 1.1678358E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.1500000E+001,-9.1306768E-002,-8.5699116E-002,-9.2307647E-002,-1.0968675E-001,-1.0518485E-001,-9.6365220E-002,-8.3831539E-002, 8.1206485E-003, 1.3047075E-001, 1.5645183E-001, 1.7487354E-001, 2.7912623E-001, 3.9869188E-001, 6.2085849E-001, 2.0500000E+000, 3.7929662E-001, 2.6166146E-001, 1.9424787E-001, 1.2981696E-001, 8.0683254E-002, 5.8592902E-002, 1.1636881E-001, 1.0619369E-001, 7.0459388E-002, 3.6184186E-002
 2.5000000E+001, 5.1437135E+000, 1.1478021E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 8.4815492E-002, 8.0726380E-002, 7.6837439E-002, 7.0443764E-002, 5.9110659E-002, 1.3784441E-002, 3.0496398E-002, 3.6929536E-002, 3.8661575E-002, 2.7997140E-002
 2.7000000E+001, 5.0008331E+000, 1.1257197E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 6.1500000E+000, 1.7883497E-002, 2.6369607E-002, 3.3398369E-002, 4.1412896E-002, 4.1754191E-002, 6.4923263E-003, 1.6939418E-002, 2.2567718E-002, 2.5300220E-002, 2.3222362E-002
 2.9000000E+001, 4.8493291E+000, 1.1083489E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.2000000E+000, 3.0534144E-003, 4.5213323E-003, 1.1458926E-002, 2.3196026E-002, 2.7811317E-002, 8.7228699E-004, 5.9458008E-003, 1.3489068E-002, 1.8118176E-002, 1.8747927E-002
 3.1000000E+001, 4.6934613E+000, 1.1089238E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.0250000E+001, 2.1895119E-004, 4.2877415E-004, 2.9053809E-003, 1.0392877E-002, 1.6756771E-002, 7.4779990E-005, 8.5460276E-004, 6.6607675E-003, 1.2289790E-002, 1.4299800E-002
 3.3000000E+001, 4.5061214E+000, 1.1127449E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2300000E+001, 2.0687959E-005, 1.3685523E-005, 3.6306273E-004, 3.2733282E-003, 8.8865644E-003, 9.9631491E-006, 2.7988882E-005, 1.5159185E-003, 6.7469518E-003, 9.8162887E-003
 3.5000000E+001, 4.2933263E+000, 1.1269951E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4350000E+001, 1.3072498E-006, 1.1907638E-006, 3.2600915E-005, 8.2764703E-004, 4.1251971E-003, 7.3955358E-007, 1.2618043E-006, 2.3899237E-004, 3.3253784E-003, 5.7747579E-003
 3.7000000E+001, 4.0397300E+000, 1.1397852E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.6400000E+001, 4.4213807E-007, 1.1505582E-006, 2.6505248E-006, 1.7883737E-004, 2.2014421E-003, 9.6844146E-007, 1.8742113E-006, 6.8897289E-006, 7.0247098E-004, 3.0108638E-003
