Time,Chi_r
0.501, 0.244
1.000, 0.292
1.500, 0.302
2.000, 0.322
2.500, 0.333
3.000, 0.333
3.500, 0.327
4.000, 0.321
4.500, 0.323
5.000, 0.314
5.500, 0.319
6.000, 0.316
6.500, 0.318
7.000, 0.330
7.500, 0.310
8.000, 0.315
8.500, 0.314
9.000, 0.317
9.500, 0.288
10.000, 0.300
10.500, 0.316
11.000, 0.326
11.500, 0.309
12.000, 0.296
12.500, 0.287
13.000, 0.317
13.501, 0.308
14.000, 0.309
14.500, 0.309
15.000, 0.294
15.500, 0.303
16.000, 0.320
16.500, 0.309
17.000, 0.312
17.500, 0.314
18.000, 0.310
18.500, 0.312
19.000, 0.315
19.500, 0.327
20.000, 0.314
