XO2,eta,Chi_R
0.208,  0.00,  2.80
0.208,  0.39,  0.15
0.208,  0.87,  0.21
0.208,  0.98,  0.22
0.208,  1.00,  0.23
0.208,  1.00,  0.23
0.207,  1.00,  0.23
0.202,  1.00,  0.23
0.197,  1.00,  0.23
0.192,  1.00,  0.22
0.187,  1.00,  0.22
0.182,  1.00,  0.21
0.178,  1.00,  0.21
0.174,  1.00,  0.20
0.170,  1.00,  0.20
0.166,  1.00,  0.20
0.162,  1.00,  0.19
0.159,  1.00,  0.19
0.155,  1.00,  0.18
0.152,  1.00,  0.18
0.149,  1.00,  0.18
0.146,  1.00,  0.17
0.143,  1.00,  0.16
0.141,  1.00,  0.16
0.138,  1.00,  0.16
0.136,  0.99,  0.15
0.133,  0.99,  0.14
0.131,  0.99,  0.14
0.128,  0.99,  0.13
0.126,  0.99,  0.12
0.124,  0.99,  0.11
0.122,  0.99,  0.11
0.120,  0.98,  0.09
0.118,  0.99,  0.08
0.116,  0.99,  0.07
0.115,  1.00,  0.06
0.113,  0.99,  0.06
0.111,  0.99,  0.05
0.110,  0.99,  0.05
0.108,  0.95,  0.04
0.106,  0.95,  0.04
0.105,  0.95,  0.03
0.103,  0.92,  0.03
0.102,  0.82,  0.02
0.101,  0.86,  0.02
0.099,  0.86,  0.01
0.098,  0.65,  0.01
0.097,  0.40,  0.01
0.096,  0.31,  0.00
0.094,  0.18,  0.00
0.093,  0.04,  0.00
0.092,  0.00,  0.00
0.091,  0.00,  0.00
0.090,  0.00,  0.00
0.089,  0.00,  0.00
0.088,  0.00,  0.00
0.087,  0.00,  0.00
0.086,  0.00,  0.00
0.085,  0.00,  0.00
0.084,  0.00,  0.00
0.083,  0.00,  0.00
0.082,  0.00,  0.00
0.081,  0.00,  0.00
0.080,  0.00,  0.00
0.079,  0.00,  0.00
0.078,  0.00,  0.00
