s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7935936E-003, 1.1589909E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7935935E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000138E+000, 3.0216598E+000, 0.0000000E+000,-8.1541501E-001,-1.4193618E-001,-1.1373689E-001, 1.8450586E-004, 0.0000000E+000,-6.5841126E-002, 2.0483601E+000, 1.8849151E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3825788E-005, 9.5385241E-006
 2.0003510E+000, 7.5631430E+000, 0.0000000E+000,-2.5499720E+000,-3.4655571E+000,-7.3275552E-002, 7.1817993E-004, 0.0000000E+000,-1.4656357E-001, 1.3267635E+000, 1.3284929E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7194439E-004, 1.9565527E-005
 3.0000050E+000, 8.8621354E+000, 0.0000000E+000,-2.9802846E+000,-5.6655014E+000,-6.7170173E-002, 1.1786276E-003, 0.0000000E+000,-1.5302648E-001, 2.0741439E-003,-2.6685906E-003, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8989475E-004, 2.1608096E-005
 4.0002036E+000, 9.2658746E+000, 0.0000000E+000,-3.0521037E+000,-4.9649714E+000,-7.0382884E-002, 1.6380841E-003, 0.0000000E+000,-1.5283593E-001, 1.0341317E+000, 1.0272188E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9250323E-004, 2.1904914E-005
 5.0001950E+000, 9.1235557E+000, 0.0000000E+000,-2.8908899E+000,-5.2189664E+000,-6.9194281E-002, 1.9792604E-003, 0.0000000E+000,-1.5434448E-001, 8.0869803E-001, 7.9213989E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1492180E-008, 1.9285999E-004, 2.1945510E-005
 6.0002484E+000, 9.0549035E+000, 0.0000000E+000,-2.9446502E+000,-6.6245770E+000,-6.9927175E-002, 2.3006117E-003, 0.0000000E+000,-1.5434836E-001,-7.2378261E-001,-7.3629870E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3237871E-003, 1.9290833E-004, 2.1951011E-005
 7.0000205E+000, 9.1157652E+000, 0.0000000E+000,-2.9321886E+000,-5.9425230E+000,-6.7767626E-002, 2.6837442E-003, 0.0000000E+000,-1.5278343E-001, 3.6498077E-002, 2.3186192E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2962855E-002, 1.9291487E-004, 2.1951755E-005
 8.0002060E+000, 9.0793283E+000, 0.0000000E+000,-2.8733028E+000,-5.4770526E+000,-6.4998346E-002, 2.9092644E-003, 0.0000000E+000,-1.5152135E-001, 5.3163689E-001, 5.1536252E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1602636E-002, 1.9291576E-004, 2.1951856E-005
