s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0302785E-003, 9.6043922E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0302785E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0020134E-001, 1.7516281E+000, 0.0000000E+000,-3.8327975E-001, 1.4719138E-002,-1.1187236E-001,-6.1672989E-005, 0.0000000E+000, 0.0000000E+000, 1.2442863E+000, 1.2711335E+000, 1.6769878E-002, 7.7168972E-005,-3.0768739E-114,-2.2338290E-103
 1.0002468E+000, 5.8957672E+000, 0.0000000E+000,-1.5057381E+000,-2.2791297E-001,-6.1337320E-002,-1.1673446E-004, 0.0000000E+000, 0.0000000E+000, 4.0592596E+000, 4.1006621E+000, 4.4147836E-002, 1.9984897E-004,-7.9033719E-098,-1.2891178E-090
 1.5002691E+000, 9.9772786E+000, 0.0000000E+000,-2.6732822E+000,-5.6057691E+000,-5.3349152E-002,-1.3007634E-004, 0.0000000E+000, 0.0000000E+000, 1.5742338E+000, 1.6447481E+000, 5.9352688E-002, 2.6856575E-004,-1.2391690E-090,-2.4951243E-084
 2.0000660E+000, 1.2226605E+001, 0.0000000E+000,-3.6709270E+000,-8.1065186E+000,-4.5952664E-002,-1.3149432E-004, 0.0000000E+000, 0.0000000E+000, 3.1177384E-001, 4.0307535E-001, 6.6094819E-002, 2.9904137E-004,-2.2682534E-086,-1.7085138E-080
 2.5000899E+000, 1.4296164E+001, 0.0000000E+000,-4.0073015E+000,-9.4917827E+000,-3.0953071E-002,-1.3203725E-004, 0.0000000E+000, 0.0000000E+000, 6.2586511E-001, 7.6599463E-001, 6.8769571E-002, 3.1113150E-004,-1.5830402E-083,-6.4559802E-078
 3.0002551E+000, 1.3869002E+001, 0.0000000E+000,-4.2011873E+000,-9.0521160E+000,-3.2864790E-002,-1.2953211E-004, 0.0000000E+000, 0.0000000E+000, 4.3151584E-001, 5.8270466E-001, 6.9782748E-002, 3.1571094E-004,-1.6935609E-081,-4.4596272E-076
 3.5004170E+000, 1.4163077E+001, 0.0000000E+000,-4.1870540E+000,-9.0988362E+000,-3.3707991E-002,-1.3031231E-004, 0.0000000E+000, 0.0000000E+000, 6.9038828E-001, 8.4334813E-001, 7.0159498E-002, 3.1741358E-004,-5.1897351E-080,-9.7775065E-075
 4.0002079E+000, 1.4214105E+001, 0.0000000E+000,-4.4402393E+000,-9.0270975E+000,-3.6349305E-002,-1.2962356E-004, 0.0000000E+000, 0.0000000E+000, 5.0862580E-001, 7.1028901E-001, 7.0298565E-002, 3.1804217E-004,-6.5436488E-079,-9.4203337E-074
