s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 1.5000349E+001, 9.1304685E+000, 0.0000000E+000,-2.3846154E+000,-6.9721207E+000,-7.3080664E-002, 6.7855856E-003, 0.0000000E+000,-1.2491090E-001,-4.1362157E-001,-4.1747360E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 8.2083535E-002, 0.0000000E+000, 2.1951872E-005
 1.6000282E+001, 9.0701338E+000, 0.0000000E+000,-2.2699501E+000,-6.2259647E+000,-6.8385340E-002, 6.7104918E-003, 0.0000000E+000,-1.2103305E-001, 3.9516404E-001, 3.9151112E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 9.0724397E-002, 0.0000000E+000, 2.1951872E-005
 1.7000149E+001, 9.1543102E+000, 0.0000000E+000,-2.2721611E+000,-6.8891670E+000,-6.5646230E-002, 6.7657761E-003, 0.0000000E+000,-1.1821713E-001,-1.8464266E-001,-1.8411549E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 9.9363373E-002, 0.0000000E+000, 2.1951872E-005
 1.8000204E+001, 9.1251808E+000, 0.0000000E+000,-2.1823712E+000,-7.0403053E+000,-6.2403832E-002, 6.6922935E-003, 0.0000000E+000,-1.1558715E-001,-2.7037456E-001,-2.6879437E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.0800309E-001, 0.0000000E+000, 2.1951872E-005
 1.9000040E+001, 9.1306788E+000, 0.0000000E+000,-2.1256978E+000,-6.6995371E+000,-6.0507042E-002, 6.6636574E-003, 0.0000000E+000,-1.1332716E-001, 1.3993481E-001, 1.3827336E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.1664266E-001, 0.0000000E+000, 2.1951872E-005
 2.0000019E+001, 9.1419985E+000, 0.0000000E+000,-2.0629973E+000,-6.9035137E+000,-5.7471663E-002, 6.5857609E-003, 0.0000000E+000,-1.1002214E-001, 1.4370050E-002, 1.4579462E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.2528178E-001, 0.0000000E+000, 2.1951872E-005
 2.1000278E+001, 9.0764292E+000, 0.0000000E+000,-1.9593226E+000,-6.8364842E+000,-5.6661625E-002, 6.6010536E-003, 0.0000000E+000,-1.0670486E-001, 1.2140349E-001, 1.2385703E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.3392292E-001, 0.0000000E+000, 2.1951872E-005
 2.2000242E+001, 9.1132121E+000, 0.0000000E+000,-1.9398468E+000,-7.3331072E+000,-5.2775392E-002, 6.5174666E-003, 0.0000000E+000,-1.0378606E-001,-3.1831251E-001,-3.0978588E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.4256383E-001, 0.0000000E+000, 2.1951872E-005
 2.3000278E+001, 9.0841783E+000, 0.0000000E+000,-1.8656981E+000,-6.5788205E+000,-5.0074937E-002, 6.4702040E-003, 0.0000000E+000,-1.0012969E-001, 4.9116323E-001, 4.9592526E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.5120407E-001, 0.0000000E+000, 2.1951872E-005
 2.4000238E+001, 9.1766027E+000, 0.0000000E+000,-1.8031160E+000,-7.3809253E+000,-4.6958649E-002, 6.3615680E-003, 0.0000000E+000,-9.5484393E-002,-1.5305021E-001,-1.4352002E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.5984384E-001, 0.0000000E+000, 2.1951872E-005
