s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_METHANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5290144E-003, 1.0103503E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5290143E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003238E+000, 3.2849270E+000, 0.0000000E+000,-3.0008424E-001,-2.2375684E-001,-3.1050415E-002, 2.2159499E-004, 0.0000000E+000,-1.8838052E-002, 2.9496967E+000, 2.7114191E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0760128E-005, 9.5623817E-006
 2.0004063E+000, 7.7221148E+000, 0.0000000E+000,-9.2540591E-001,-5.3109300E+000,-2.0136983E-002, 8.2792262E-004, 0.0000000E+000,-3.5230828E-002, 1.4563885E+000, 1.4312390E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4479630E-004, 1.9567482E-005
 3.0005977E+000, 8.8988645E+000, 0.0000000E+000,-1.0854390E+000,-7.8531860E+000,-1.3420069E-002, 1.1411318E-003, 0.0000000E+000,-3.7128141E-002,-6.8450604E-002,-8.9167512E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5989868E-004, 2.1608386E-005
 4.0006709E+000, 9.1264799E+000, 0.0000000E+000,-1.1181705E+000,-8.0419481E+000,-1.3852753E-002, 1.4310126E-003, 0.0000000E+000,-3.8378953E-002,-6.0200467E-002,-8.4439403E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6209345E-004, 2.1904984E-005
 5.0004010E+000, 9.1627470E+000, 0.0000000E+000,-1.1592116E+000,-7.8657439E+000,-1.2539699E-002, 1.6928572E-003, 0.0000000E+000,-3.8728751E-002, 1.2171821E-001, 8.8215925E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7607011E-008, 1.6239340E-004, 2.1945518E-005
 6.0006347E+000, 9.1422678E+000, 0.0000000E+000,-1.1499279E+000,-7.6084630E+000,-1.4400950E-002, 1.9077545E-003, 0.0000000E+000,-3.8202551E-002, 3.6903581E-001, 3.3318117E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3276848E-003, 1.6243405E-004, 2.1951011E-005
 7.0006537E+000, 9.1357711E+000, 0.0000000E+000,-1.1485989E+000,-8.3464008E+000,-1.4482347E-002, 2.1008035E-003, 0.0000000E+000,-3.8093444E-002,-3.9467090E-001,-4.0970362E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2968918E-002, 1.6243955E-004, 2.1951755E-005
 8.0004301E+000, 9.1198648E+000, 0.0000000E+000,-1.1346241E+000,-7.9200443E+000,-1.4163066E-002, 2.2614031E-003, 0.0000000E+000,-3.7819598E-002, 4.4586471E-002, 1.5475118E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1607882E-002, 1.6244030E-004, 2.1951856E-005
