s,mol/mol
Time,XO2
 0.0000000E+000, 2.0755882E-001
 1.0008055E+000, 2.0755882E-001
 2.0005635E+000, 2.0755882E-001
 3.0007001E+000, 2.0755882E-001
 4.0002475E+000, 2.0755882E-001
 5.0004731E+000, 2.0755882E-001
 6.0003414E+000, 2.0753386E-001
 7.0000029E+000, 2.0251729E-001
 8.0005057E+000, 1.9705505E-001
 9.0005238E+000, 1.9189422E-001
 1.0000510E+001, 1.8699942E-001
 1.1000511E+001, 1.8232673E-001
 1.2000544E+001, 1.7791501E-001
 1.3000671E+001, 1.7372545E-001
 1.4000616E+001, 1.6972364E-001
 1.5000131E+001, 1.6588985E-001
 1.6000494E+001, 1.6223547E-001
 1.7000527E+001, 1.5873971E-001
 1.8000083E+001, 1.5541112E-001
 1.9000104E+001, 1.5220321E-001
 2.0000171E+001, 1.4912997E-001
 2.1000700E+001, 1.4619033E-001
 2.2000547E+001, 1.4336458E-001
 2.3000717E+001, 1.4062949E-001
 2.4000737E+001, 1.3802659E-001
 2.5000424E+001, 1.3549604E-001
 2.6000336E+001, 1.3305709E-001
 2.7000191E+001, 1.3071314E-001
 2.8000737E+001, 1.2845947E-001
 2.9000328E+001, 1.2627133E-001
 3.0000791E+001, 1.2417382E-001
 3.1000097E+001, 1.2213450E-001
 3.2000805E+001, 1.2015067E-001
 3.3000098E+001, 1.1824370E-001
 3.4000918E+001, 1.1640141E-001
 3.5001279E+001, 1.1460012E-001
 3.6001044E+001, 1.1286831E-001
 3.7000811E+001, 1.1117731E-001
 3.8000570E+001, 1.0954106E-001
 3.9002113E+001, 1.0795973E-001
 4.0001084E+001, 1.0641484E-001
 4.1004172E+001, 1.0492014E-001
 4.2003219E+001, 1.0346453E-001
 4.3006592E+001, 1.0204594E-001
 4.4001469E+001, 1.0066836E-001
 4.5004767E+001, 9.9327708E-002
 4.6002668E+001, 9.8025696E-002
 4.7000569E+001, 9.6758595E-002
 4.8006029E+001, 9.5509586E-002
 4.9004432E+001, 9.4303957E-002
 5.0001509E+001, 9.3130975E-002
 5.1005368E+001, 9.1981511E-002
 5.2002445E+001, 9.0866232E-002
 5.3006304E+001, 8.9769512E-002
 5.4006627E+001, 8.8711186E-002
 5.5005561E+001, 8.7664631E-002
 5.6005155E+001, 8.6647844E-002
 5.7004749E+001, 8.5657115E-002
 5.8002290E+001, 8.4690220E-002
 5.9004576E+001, 8.3737265E-002
 6.0002306E+001, 8.2816555E-002
 6.1005193E+001, 8.1906147E-002
 6.2004911E+001, 8.1016687E-002
 6.3000009E+001, 8.0154922E-002
 6.4000736E+001, 7.9302726E-002
 6.5000000E+001, 7.8473810E-002
